"universidad";"tipo_institucion";"carrera";"tipo_carrera";"url";"selector";"metodo_usado";"perfil_egreso";"error";"largo_perfil"
"AIEP";"Instituto Profesional";"Ingenieria en Informatica";"Profesional";"https://www.aiep.cl/admision/carrera/ingenieria-en-informatica/";"";"requests";"El/la Ingeniero/a en Informática es un/a profesional preparado/a para diseñar, desarrollar e implementar sistemas y soluciones informáticas que respondan a las necesidades tecnológicas de las organizaciones. Su formación le permite abordar el ciclo completo del desarrollo de software, incorporando la programación informática , metodologías de trabajo, pruebas, aseguramiento de la calidad y criterios de seguridad de la información. Asimismo, está capacitado/a para realizar análisis y diseño de sistemas , integrando componentes tecnológicos, bases de datos y plataformas digitales, con una visión orientada al usuario y al cumplimiento de estándares técnicos. Podrá formular, evaluar y gestionar proyectos informáticos, colaborando en equipos multidisciplinarios y apoyando la toma de decisiones tecnológicas alineadas a los requerimientos del cliente y a los objetivos de la organización. Su quehacer profesional se desarrolla en un contexto de constante evolución tecnológica, aportando a la mejora de procesos, la eficiencia operativa y la transformación digital de las organizaciones, actuando conforme a principios éticos, de calidad técnica y actualización permanente.";"";"1178"
"Duoc UC";"Instituto Profesional";"Ingenieria en Informatica";"Profesional";"https://www.duoc.cl/carreras/ingenieria-en-informatica/";"#ficha-tecnica";"requests";"Descripción del Perfil de Egreso El(la) Ingeniero(a) en Informática de Duoc UC diseña, desarrolla, implementa y despliega soluciones informáticas, resolviendo problemas complejos en su área de especialización profesional. En este contexto, evalúa y aplica estándares, marcos de trabajo y regulatorios, tecnologías y metodologías. Cuenta con una cultura de innovación y trabaja colaborativamente para evaluar y gestionar proyectos informáticos interdisciplinarios, integrando la capacidad analítica y pensamiento crítico, que le permite comprender y resolver las necesidades de las organizaciones. Integra en su que hacer la ética profesional y el aprendizaje permanente. Se comunica a través de distintos medios en diversos contextos en un entorno global. Posee una formación centrada en las personas, con una mirada trascendente, desde la visión cristiana, que da sentido a la vida y contribuye al bien común de la sociedad. Descripción del Campo Ocupacional El campo laboral de Ingeniería en Informática mención en Desarrollo de Software, considera organizaciones de todo tipo, en donde la transformación digital esté presente. Él o la profesional podrá desenvolverse en áreas como la ingeniería de requisitos, calidad de software, bases de datos, Desarrollo Front End, Desarrollo Back End, Desarrollo FullStack, Project Manager o Scrum Master. En su desempeño interactúa con equipos multidisciplinarios en diversas industrias, startups o de forma independiente, realizando proyectos o asesorías de consultoría en el área de desarrollo de software. Competencias del Perfil de Egreso Competencias de la Carrera Diseñar y generar soluciones de software innovadoras y de calidad, aplicando el ciclo de vida de éste, según las características del proyecto, las mejores prácticas de la industria y sus estándares de calidad. Diseñar y generar soluciones que permitan resolver los requerimientos de información en el contexto de las organizaciones, considerando bases de datos relacionales y no relacionales. Diseñar y adaptar los procesos de ingeniería de requisitos, a través del uso de metodologías de vanguardia y estándares de la industria, para el desarrollo de soluciones TI complejas, innovadoras y de calidad. Evaluar y gestionar proyectos en su área de especialización profesional, durante todo el ciclo de vida, de acuerdo a buenas prácticas y utilizando metodologías y herramientas de software, para cumplir con los requerimientos de la organización en contextos tradicionales y ágiles. Diseñar soluciones de software, abarcando todo el ciclo de vida de éste, de acuerdo a estándares, marcos de trabajo y regulatorios, tecnologías y metodologías que promueven la innovación, con foco en la calidad, seguridad y sostenibilidad del proyecto. Desarrollar proyectos de software innovadores para plataformas y dispositivos móviles, por medio de marcos de trabajo, herramientas de desarrollo, lenguajes de programación y buenas prácticas de la industria del desarrollo de software.";"";"2983"
"IACC";"Instituto Profesional";"Ingenieria en Informatica";"Profesional";"https://www.iacc.cl/carrera/ingenieria-en-informatica/?origen=google_ads_carreras&utm_campaign=39844489-_Search_CARRERA_ING_INFORMATICA&utm_source=ppc&utm_medium=google&utm_term=cpl&utm_content=ingenieria-en-informatica&utm_term=ingenier%C3%ADa%20en%20sistemas%20universidades&utm_campaign=IACC_Search_Carrera_Ingenieria_Inform%C3%A1tica&utm_source=adwords&utm_medium=ppc&hsa_acc=3643935547&hsa_cam=21457092417&hsa_grp=167767224914&hsa_ad=705590150535&hsa_src=g&hsa_tgt=kwd-589776510461&hsa_kw=ingenier%C3%ADa%20en%20sistemas%20universidades&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=21457092417&gbraid=0AAAAAqi2tcnc4mlF6prfKC1hCFytIsM7a&gclid=CjwKCAjw46HPBhAMEiwASZpLRHfuoZDNIblNry7ovo2v8t2FkJLsAKlMxZYtNTqT4XptYu05OZwVSxoCjDsQAvD_BwE";"";"requests";"El egresado de la carrera de Ingeniería en Informática del Instituto Profesional IACC será un profesional que podrá generar y evaluar soluciones integrales, gestionar personas y recursos, liderar equipos de trabajo en diversos contextos, definir y planificar estrategias para innovar en procesos propios de su área profesional. Demostrará sólidos conocimientos ligados al área de la arquitectura de software, sistemas informáticos, aplicaciones y bases de datos, elementos asociados al soporte técnico de software, al desarrollo de proyectos tecnológicos, a la industria 4.0 , la normativa legal vigente, buenas prácticas de la industria, además de estándares de calidad y seguridad en ambientes dinámicos y globalizados. También poseerá conocimientos especializados propios de su campo disciplinar, a fin de aportar soluciones a los requerimientos del mercado laboral. Este profesional podrá generar soluciones a diversas problemáticas de los sectores productivos y de servicios, a través del levantamiento de información relevante para el diseño, determinación, programación, configuración y evaluación de sistemas informáticos y arquitecturas de software , bases de datos, aplicaciones e integración de sistemas de información, estableciendo niveles de seguridad adecuados para satisfacer los requerimientos de las organizaciones, la creación de valor y la innovación; a través de la utilización de herramientas tecnológicas aplicadas a su área de desempeño. También evaluará el soporte técnico de software , utilizando herramientas y técnicas específicas para la generación de soluciones innovadoras a diversas problemáticas asociadas a la continuidad operacional, mantención y gestión de incidencias según parámetros establecidos, requerimientos del cliente, buenas prácticas de la industria, normativa legal vigente , estándares de calidad y seguridad. Asimismo, podrá gestionar proyectos de tecnologías de información de acuerdo con las necesidades de la organización, evaluando su diseño y desarrollo , liderando e implementando estrategias de innovación y mejora de procesos de negocios, a partir de los requerimientos, buenas prácticas de la industria, normativa legal vigente, estándares de calidad y seguridad, metodologías, herramientas de gobierno y gestión TI. Por ello, podrá integrar o liderar equipos multidisciplinarios , tanto del sector público como privado, desarrollar la resolución de problemas de forma autónoma, gestionar la información con conocimiento y pensamiento crítico, adaptación al cambio, innovación y comunicación efectiva. Debido al sello distintivo de IACC , contará con la capacidad de autogestión y actualización disciplinar permanente lo que le permitirá revisar de manera integral, su desempeño y evolución de su ejercicio profesional, en el marco del compromiso ético – social, lo que favorece el manejo de las tecnologías relacionadas con la industria 4.0 y la transformación digital como elementos distintivos de la formación. Capacidades del Perfil de egreso Capacidades sello y de empleabilidad: Autogestión, competente para el mundo del trabajo, compromiso ético social, comunicación efectiva, resolución de problemas, trabajo colaborativo, gestión de la información y el conocimiento, manejo de tecnologías de la información y comunicación (TIC), pensamiento crítico. Capacidades disciplinares: Gestionar soluciones de hardware y software , utilizando herramientas tecnológicas, a partir de los requerimientos, buenas prácticas de la industria, normativa legal vigente, estándares de calidad y seguridad. Desarrollar modelos de arquitectura de software, diseño, evaluación e implementación de sistemas informáticos, bases de datos y aplicaciones para la optimación e innovación en distintos procesos a partir del levantamiento de información realizado, liderando equipos de trabajo, estableciendo estrategias de integración de componentes y sistemas, de acuerdo con las especificaciones técnicas, requerimientos del cliente, buenas prácticas de la industria, normativa legal vigente , estándares de calidad, seguridad y el impacto de sus actividades sobre la calidad de la prestación de servicios. Evaluar el soporte técnico de software, utilizando herramientas y técnicas específicas para la generación de soluciones innovadoras a diversas problemáticas asociadas a la continuidad operacional, mantención y gestión de incidencias, liderando equipos de trabajo según requerimientos del cliente, buenas prácticas de la industria, normativa legal vigente, estándares de calidad y seguridad. Gestionar proyectos de tecnologías de información de acuerdo con las necesidades de la organización, evaluando su desarrollo, liderando e implementando estrategias de innovación y mejora de procesos de negocios; a partir de los requerimientos, buenas prácticas de la industria, normativa legal vigente, estándares de calidad y seguridad, metodologías, herramientas de gobierno y gestión TI.";"";"4929"
"INACAP";"Instituto Profesional";"Ingenieria en Informatica";"Profesional";"https://portal.inacap.cl/carreras/area-informatica-ciberseguridad-y-telecomunicaciones/ingenieria-en-informatica";"#perfil-egreso";"selenium";"Perfil de Egreso El Ingeniero en Informática del Instituto Profesional INACAP desarrolla e implementa soluciones integrales basadas en metodologías de la ingeniería de software, gestiona recursos técnicos, económicos, humanos, y marcos de desarrollo seguro. Además, lidera proyectos informáticos definidos en la planificación estratégica, brindando soluciones tecnológicas de diversa índole y siguiendo las metodologías de gestión de las Tecnologías de la Información, en función de las necesidades del sector productivo. Mediante su trabajo aporta al desarrollo del país, incorporando tecnologías de vanguardia para facilitar la transformación digital, promoviendo la eficiencia y la innovación en los procesos de distintas organizaciones. Las competencias de un Ingeniero en Informática del Instituto Profesional INACAP al egresar son: - Implementa soluciones integrales basadas en metodologías de la ingeniería de software y marcos de desarrollos seguro en función a las necesidades del sector productivo. - Lidera proyectos informáticos definidos en la planificación estratégica para dar soluciones tecnológicas de diversa índole, de acuerdo a las metodologías de desarrollo. - Realiza gestión de datos y entrenamiento en sistemas automatizados e inteligencia artificial, considerando distintas plataformas y el estándar de la industria. Las competencias transversales de INACAP te distinguirán en el mundo del trabajo y, sumadas a las competencias específicas de la carrera, servirán para integrarte al mercado laboral y desarrollarte profesionalmente. Las competencias transversales que desarrollarás en este programa de estudio son: - Resolución de Problemas, innovación y emprendimiento, enfocada a identificar y abordar problemas, oportunidades, para desarrollar soluciones tecnológicas innovadoras y emprendedoras. - Ética y Ciudadanía, enfocada en las implicaciones sociales y ambientales de la toma de decisiones y gestión de proyectos tecnológicos. - Aprendizaje Continuo, enfocado en la actualización continua de los profesionales para responder a la evolución constante de la Industria y de las tecnologías. - Trabajo Colaborativo y Comunicación, enfocado en la colaboración y comunicación efectiva con el equipo interno y los clientes, en diferentes contextos para la gestión de soluciones tecnológicas pertinentes. El egresado podrá continuar su Trayectoria Formativa articulando con cursos y/o diplomados de educación continua asociados a las tendencias del sector productivo. Este programa se alinea a las necesidades del sector productivo y de servicios, considerando la contextualización de cualificaciones sectoriales del marco Español a la realidad nacional.";"";"2681"
"IP Chile";"Instituto Profesional";"Ingenieria en Informatica";"Profesional";"https://www.ipchile.cl/carreras/ingenieria-en-informatica/";"#accordionInfoCarrera";"selenium";"Descripción de la Carrera La carrera de Informática tiene como propósito formar Ingenieros en competencias que les permitan diseñar, desarrollar y mantener sistemas de información y tecnologías de la computación, cumpliendo con normas y estándares de calidad establecidos por los proveedores de los recursos tecnológicos. Con ello, el futuro profesional, estará capacitado para resolver problemas complejos utilizando tecnologías de la información y la comunicación (TIC) y aplicando principios de la ingeniería para crear soluciones eficientes y efectivas. Campo Laboral La o el Ingeniero en Informática puede encontrar oportunidades laborales en diversas industrias, como tecnología de la información, servicios financieros, atención médica, manufactura, educación y gobierno. Se desempeñan en una variedad de roles como desarrolladores de software, analistas de sistemas, ingenieros de redes, administradores de bases de datos, consultores de tecnología, entre otros. Además, se especializa en áreas clave como redes y comunicaciones, liderazgo de proyectos informáticos, ingeniería de software, ingeniería de sistemas, inteligencia artificial y ciberseguridad. Perfil de Egreso La o el profesional Ingeniero en Informática del Instituto Profesional de Chile, orienta su quehacer en las áreas de desarrollo e implementación de soluciones tecnológicas, que potencien la seguridad y protección de datos mediante técnicas de ciberseguridad, con enfoque en la creación de soluciones tecnológicas basadas en herramientas de vanguardia que den un valor diferenciador en diversos contextos. Cuenta con habilidades y destrezas en el desarrollo y optimización de sistemas y aplicaciones, asegurando la integridad y seguridad de la información en entornos digitales. Posee competencias para proponer soluciones innovadoras basadas en tecnologías de vanguardia, integrándolas de manera efectiva en la estrategia global de una organización para resguardar su información, optimizar sus procesos y mejorar su eficiencia. Además, integra habilidades de razonamiento lógico, comunicación efectiva y uso de herramientas tecnológicas para resolver problemas complejos en el contexto de ingeniería, promoviendo un entorno inclusivo al fomentar la participación equitativa de individuos con diversas habilidades y perspectivas. Se caracteriza por demostrar compromiso y permanente consciencia social con su entorno, por la capacidad de establecer relaciones sanas de cooperación mutua con equipos multidisciplinarios, fomentando la equidad de género, la diversidad e inclusión, adaptándose con responsabilidad a las exigencias que implica el desempeño laboral y profesional, confiando en sus habilidades técnicas para participar activamente en la creación de propuestas innovadoras, demostrando vocación de servicio y un alto sentido ético profesional en sus labores.";"";"2851"
"IP Los Leones";"Instituto Profesional";"Ingenieria en Informatica y Ciberseguridad";"Profesional";"https://ipleones.cl/carreras/ingenieria-en-informatica-y-ciberseguridad/";"";"requests";"El programa de Ingeniería en Informática y Ciberseguridad forma profesionales que protegen la información y sistemas informáticos de una organización, evaluando riesgos, implementando medidas de seguridad y respondiendo a incidentes, además de liderar equipos multidisciplinarios que permitan garantizar la confidencialidad, integridad y disponibilidad de los datos digitales críticos de distintas organizaciones del sector público y privado, cumpliendo la normativa y legislación vigente a nivel nacional y bajo estándares internacionales en el área de la ciberseguridad.";"";"572"
"Instituto profesional Virginio Gomez";"Instituto Profesional";"Ingenieria en Informatica";"Profesional";"https://admision.virginiogomez.cl/carreras/ingenieria-en-informatica/";"";"requests";"Perfil de Egreso La persona titulada como Ingeniera o Ingeniero en Informática del Instituto Profesional Virginio Gómez son profesionales capaces de implantar Sistemas Informáticos en diferentes ambientes de operación, cautelando la confidencialidad de la información y estándares disciplinarios de calidad y seguridad. Evidencian una actitud flexible, perseverante y entusiasta, buscando el logro de sus objetivos con espíritu crítico, capacidad de trabajar en contextos colaborativos, globalizados y multidisciplinarios respetando la diversidad humana y el desarrollo sustentable. Descargar Malla";"";"598"
"Iplacex";"Instituto Profesional";"Ingenieria en Informatica";"Profesional";"https://www.iplacex.cl/carreras/carreras-100-online/ingenieria-en-informatica/";"";"requests";"El egresado de la carrera de Ingeniería en Informática es un profesional capaz de diseñar, implementar y gestionar soluciones tecnológicas orientadas al desarrollo de software , respondiendo a los requerimientos de organizaciones en entornos digitales y en constante evolución. Cuenta con las competencias necesarias para analizar necesidades, modelar datos y desarrollar aplicaciones multiplataforma, utilizando diversas herramientas y lenguajes de programación. Asimismo, es capaz de diseñar arquitecturas de software, integrar servicios y asegurar estándares de calidad mediante pruebas y procesos de mejora continua. También, integra conocimientos vinculados a la ciencia de datos y la ingeniería de datos , permitiéndole trabajar con grandes volúmenes de información y contribuir a la toma de decisiones basada en datos. Además, incorpora herramientas y enfoques asociados a la inteligencia artificial , fortaleciendo su capacidad para desarrollar soluciones innovadoras alineadas con las tendencias tecnológicas actuales. Asimismo, posee habilidades para gestionar proyectos tecnológicos y equipos de trabajo, aplicando metodologías ágiles y buenas prácticas de la industria, contribuyendo al desarrollo de soluciones eficientes, escalables y orientadas a resultados.";"";"1273"
"Pontificia Universidad Catolica de Valparaiso";"Universidad";"Ingenieria en Informatica";"Profesional";"https://www.pucv.cl/pucv/pregrado/ingenieria-en-informatica";"#menuPreguntas";"requests";"Reseña de la Carrera El/la ingeniero/a en informática de la Pontificia Universidad Católica de Valparaíso, es un/a profesional con un marcado sello valórico dispuesto/a a contribuir al desarrollo y al bienestar social mediante el ejercicio de su profesión. Para garantizar el eficiente e íntegro desempeño de las funciones asociadas a la labor ingenieril posee una significativa formación en ciencias básicas, ciencias de la ingeniería e ingeniería aplicada. Su formación integral basada en un conjunto sistemático de saberes cognitivos, procedimentales y actitudinales, le permite hacer un correcto uso de las nuevas tecnologías y entregar soluciones eficientes y de calidad relacionadas con el desarrollo, operación y mantenimiento de sistemas informáticos. Se caracteriza por su capacidad de aprendizaje autónomo y flexibilidad para trabajar en proyectos con equipos interdisciplinarios, con un enfoque centrado en el usuario. Perfil de Egreso Competencias de Formación Fundamental: 1. Reconoce la dimensión trascendente de la existencia humana y la antropología cristiana como respuesta valiosa al sentido de la vida. 2. Actúa éticamente, iluminado/a por la propuesta cristiana, en contextos reales, con autonomía y respeto hacia los/las demás, buscando el bien común, la promoción de los derechos humanos y la realización de la persona humana en un contexto de diversidad. 3. Comunica de manera clara y coherente sus ideas a través del castellano, su lengua materna, en un contexto académico. 4. Usa las tecnologías de la información y comunicación como herramienta del desarrollo académico y profesional. 5. Demuestra capacidad científica; de análisis, abstracción, síntesis y reflexión crítica con el objetivo de resolver problemas, construir conocimiento y desarrollar autoaprendizaje, tanto a nivel individual como en el trabajo en equipos interdisciplinarios. 6. Comunica en forma oral y escrita en idioma Inglés, con el fin de facilitar su inserción y participación en contextos multiculturales e interdisciplinares. 7. Reconoce la lectura, la relación con los demás, la actividad física, la vida sana, el cuidado medioambiental, el arte y la cultura como fuentes de desarrollo personal integral. 8. Reconoce según sus intereses, en instancias universitarias de formación para una ciudadanía responsable. Competencias Disciplinares: 9. Integra conocimientos de ciencias básicas y ciencias de la ingeniería para su aplicación a problemas de la especialidad. 10. Analiza situaciones del entorno, para detectar oportunidades y considerar los riesgos asociados, con visión emprendedora. 11. Utiliza técnicas, recursos y herramientas de ingeniería y tecnología, para aplicarlas en la resolución de problemas de su especialidad. 12. Desarrolla sistemas, procesos y/o productos para generar soluciones innovadoras que respondan a necesidades del entorno. 13. Gestiona proyectos de ingeniería en el ámbito de la especialidad. 14. Incorpora criterios sociales, culturales, ambientales, económicos, legales, éticos, de salud y de riesgos en su quehacer profesional, promoviendo un desarrollo sostenible. Competencias Profesionales: 15. Desarrolla aplicaciones informáticas, eficientes y de calidad para dar soluciones a los problemas del mundo real, con una visión centrada en el usuario. 16. Selecciona componentes que conformen la base tecnológica para implementar, operar y mantener sistemas informáticos. 17. Modela sistemas y procesos organizacionales para entregar soluciones eficientes de su especialidad. 18. Participa en equipos de trabajo, donde se propicie la colaboración, el liderazgo y la inclusión de distintos roles, para planificar y ejecutar actividades que permitan el alcance de objetivos comunes. 19. Adquiere nuevos conocimientos, de manera autónoma, para el mejoramiento continuo en el desarrollo y uso de herramientas tecnológicas. Cuerpo Docente ARAYA ZAMORANO, IGNACIO PhD in Computer Science, Universidad de Niza, Francia. Magíster en Ciencias de la Ingeniería Informática, Universidad Técnica Federico Santa María, Chile. Ingeniero Civil en Informática, Universidad Técnica Federico Santa María, Chile. ALLENDE CID, HÉCTOR Doctor en Ingeniería Informática, Universidad Técnica Federico Santa Maria, Chile. Magíster en Ciencias de la Ingeniería Informática, Universidad Técnica Federico Santa Maria, Chile. Ingeniero Civil Informático, Universidad Técnica Federico Santa Maria, Chile. ALFARO ARANCIBIA, RODRIGO Magíster en Ingeniería Industrial mención Gestión, Pontificia Universidad Católica de Valparaíso, Chile. Ingeniero Civil Industrial, Pontificia Universidad Católica de Valparaíso, Chile. CABRERA GUERRERO, GUILLERMO PhD in Engineering Science, The University of Auckland, Nueva Zelanda. Magíster en Ingeniería Industrial mención logística, Pontificia Universidad Católica de Valparaíso, Chile. Ingeniero Civil en Informática, Pontificia Universidad Católica de Valparaíso, Chile. CANO MAZUERA, SANDRA Ingeniera Electrónica, Universidad Autónoma de Occidente, Colombia Doctora en Ciencia de la Electrónica, Universidad del Cauca, Colombia CRAWFORD LABRIN, BRODERICK Doctor Ingeniería en Informática, Universidad Técnica Federico Santa María, Chile. Magíster en Administración, Universidad de Chile, Chile. Ingeniero Civil en Informática, Universidad Técnica Federico Santa María, Chile. CUBILLOS FIGUEROA, CLAUDIO Doctor en Ingeniería Informática y de Sistemas, Politécnico de Turín, Italia. Magíster en Ingeniería Industrial mención Gestión, Pontificia Universidad Católica de Valparaíso, Chile. Ingeniero Civil Industrial, Pontificia Universidad Católica de Valparaíso, Chile. HERMOSILLA MONCKTON, PAMELA Ingeniero Civil en Informática, Universidad Técnica Federico Santa María, Chile. MERCADO BERMÚDEZ, IVAN Ingeniero de Ejecución en Informática, Pontificia Universidad Católica de Valparaíso, Chile. PALMA MUÑOZ, WENCESLAO PhD in Computer Science, Universidad de Nantes, Francia. Magíster en Cs. de la Ingeniería Informática, Universidad Técnica Federico Santa María, Chile. Ingeniero de Ejecución en Informática, Pontificia Universidad Católica de Valparaíso, Chile. PÉREZ CÁCERES, LESLIE Doctorat en Sciences de l'Ingénieur et Technologie, Université Libre de Bruxelles, Bélgica. Magíster en Ciencias de la Ingeniería Informática, Universidad Técnica Federico Santa María, Chile. Ingeniera Civil Informática, Universidad Técnica Federico Santa María, Chile. QUIÑONES OTEY, DANIELA Doctorado en Ingeniería Informática; Pontificia Universidad Católica de Valparaíso, Chile. Magíster en Ciencias de la Ingeniería Informática; Pontificia Universidad Católica de Valparaíso, Chile. Ingeniera Civil en Informática; Pontificia Universidad Católica de Valparaíso, Chile. RODRÍGUEZ AGURTO, NIBALDO Doctor en Ciencias de la Ingeniería mención Automática, Universidad de Santiago, Chile. Magíster en Ingeniería Informática, Universidad de Santiago, Chile. Licenciado en Matemáticas y Computación, Universidad de Santiago, Chile. RONCAGLIOLO DE LA HORRA, SILVANA Master of Science in Computer Science, Oregon State University, USA. Ingeniero Civil en Informática, Universidad Técnica Federico Santa María, Chile. RUSU, CRISTIAN PhD en Cs. de la Ingeniería M/Informática Aplicada, Universidad Técnica de Cluj-Napoca, Rumania. Ingeniero Civil en Electrónica y Telecomunicaciones, Instituto Politécnico de Cluj-Napoca, Rumania. SOTO DE GIORGIS, RICARDO PhD in Computer Science, Universidad de Nantes, Francia. Ingeniero Civil en Informática, Pontificia Universidad Católica de Valparaíso, Chile. VILLARROEL ACEVEDO, RODOLFO Doctor Ingeniero en Informática, Univ. de Castilla-La Mancha, España. Magíster en Ingeniería Informática, U. T. Federico Santa María, Chile. Ingeniería de Ejecución en Sistemas de Información, Universidad Técnica Federico Santa María, Chile.";"";"7793"
"Santo Tomas";"Instituto Profesional";"Ingenieria en Informatica";"Profesional";"https://www.tupuedes.cl/carreras/instituto-profesional/ingenieria-en-informatica/";"";"requests";"Las y los titulados de Santo Tomás son profesionales preparados para desarrollar soluciones de software a problemáticas contextualizadas de la industria y/o sociedad, utilizando, difundiendo y evaluando tecnologías emergentes, gestionar proyectos informáticos de mediana envergadura de acuerdo a las definiciones y requerimientos de la organización en función de buenas prácticas de la industria, utilizando estándares y metodologías pertinentes, y realizar analítica de datos con la finalidad de la visualización y presentación de éstos para la toma de decisiones y mejora continua en las organizaciones. Adicionalmente, son capaces de colaborar con equipos de trabajo, generando espacios de reflexión y aprendizaje según objetivos establecidos. Pueden resolver problemas o situaciones de diversa índole, actuando de forma comprometida con otros, el grupo y el entorno. Ver perfil de egreso";"";"891"
