fila_datos,grado,n_titulos,n_tokens_aislados,tiene_eliminaciones,titulos_eliminados,tokens_eliminados,texto_original,texto_enmascarado,universidad,carrera,url
1,Ejecución,1,3,True,"[""ingeniería informática""]","[""Ejecución"", ""Informática"", ""ejecución""]","El/la Ingeniero/a de Ejecución en Computación e Informática es un/a profesional capaz de diagnosticar y resolver problemas de ingeniería informática, colaborando en la ejecución de proyectos y en la gestión de equipos de trabajo. Por lo tanto, tiene la capacidad para modelar procesos y datos, diseñar e implementar sistemas de información y administrar proyectos de software. Aplica criterios de calidad, eficiencia, innovación, responsabilidad y ética en su quehacer profesional.","El/la Ingeniero/a de en Computación e es un/a profesional capaz de diagnosticar y resolver problemas de , colaborando en la de proyectos y en la gestión de equipos de trabajo. Por lo tanto, tiene la capacidad para modelar procesos y datos, diseñar e implementar sistemas de información y administrar proyectos de software. Aplica criterios de calidad, eficiencia, innovación, responsabilidad y ética en su quehacer profesional.",Universidad de Santiago de Chile,Ingeniería de Ejecución en Computación e Informática,https://admision.usach.cl/carreras/ingenieria-de-ejecucion-en-computacion-e-informatica
2,Civil,4,1,True,"[""Ingeniería Civil Informática"", ""Ingeniería Civil en Informática y Computación"", ""Ingeniería Civil en Informática"", ""Ingeniería Civil en Informática""]","[""informática""]","Es la puerta de entrada para la formación en Ingeniería Civil Informática y sus tres carreras de especialización. A través de una sólida formación en ciencias, tecnología e ingeniería, se constituyen los pilares fundamentales de esta disciplina y se desarrollan competencias para enfrentar los desafíos de un entorno tecnológico en permanente transformación, junto con habilidades de innovación, emprendimiento y liderazgo. Esta formación inicial permite explorar distintas áreas de la informática y, posteriormente, postular a una de las tres carreras de especialización: Ingeniería Civil en Informática y Computación, Ingeniería Civil en Informática y Ciberseguridad o Ingeniería Civil en Informática e Inteligencia Artificial, construyendo así una trayectoria profesional acorde con los intereses y los desafíos del futuro.","Es la puerta de entrada para la formación en y sus tres carreras de especialización. A través de una sólida formación en ciencias, tecnología e ingeniería, se constituyen los pilares fundamentales de esta disciplina y se desarrollan competencias para enfrentar los desafíos de un entorno tecnológico en permanente transformación, junto con habilidades de innovación, emprendimiento y liderazgo. Esta formación inicial permite explorar distintas áreas de la y, posteriormente, postular a una de las tres carreras de especialización: , y Ciberseguridad o e Inteligencia Artificial, construyendo así una trayectoria profesional acorde con los intereses y los desafíos del futuro.",Universidad de Santiago de Chile,Ingeniería Civil en Informática,https://admision.usach.cl/carreras/ingenieria-civil-en-informatica-plan-comun
3,Informática,0,3,True,[],"[""Informática"", ""informática"", ""informáticos""]","Profesional integrador de tecnologías de la información y comunicación. Protagonistas de la revolución tecnológica. El/la Ingeniero/a en Informática de la Universidad de Valparaíso posee conocimientos en ciencias básicas, de la ingeniería y de la informática, caracterizándose como un profesional integrador de soluciones tecnológicas. Entre sus competencias se encuentran modelar y analizar grandes volúmenes de datos; gestionar, desarrollar e implantar soluciones eficientes de software; y diseñar e implementar sistemas de redes y telecomunicaciones. Esto le permite generar soluciones que integran información, software y hardware en diversos niveles organizacionales. Además, tiene conocimientos en la formulación de proyectos informáticos y la generación de emprendimientos basados en tecnología. Posee la capacidad de trabajar en equipos, resolver problemas con énfasis en la eficiencia, y generar soluciones innovadoras. También es capaz de pensar de manera crítica, comunicarse efectivamente en forma oral y escrita, aprender de forma autónoma y continua, y desempeñarse profesionalmente en forma ética y valórica.","Profesional integrador de tecnologías de la información y comunicación. Protagonistas de la revolución tecnológica. El/la Ingeniero/a en de la Universidad de Valparaíso posee conocimientos en ciencias básicas, de la ingeniería y de la , caracterizándose como un profesional integrador de soluciones tecnológicas. Entre sus competencias se encuentran modelar y analizar grandes volúmenes de datos; gestionar, desarrollar e implantar soluciones eficientes de software; y diseñar e implementar sistemas de redes y telecomunicaciones. Esto le permite generar soluciones que integran información, software y hardware en diversos niveles organizacionales. Además, tiene conocimientos en la formulación de proyectos y la generación de emprendimientos basados en tecnología. Posee la capacidad de trabajar en equipos, resolver problemas con énfasis en la eficiencia, y generar soluciones innovadoras. También es capaz de pensar de manera crítica, comunicarse efectivamente en forma oral y escrita, aprender de forma autónoma y continua, y desempeñarse profesionalmente en forma ética y valórica.",Universidad de Valparaíso,Ingeniería en Informática,https://admision.uv.cl/carreras/ingenieria-en-informatica
4,Civil,1,3,True,"[""Ingeniero Civil""]","[""Informático"", ""informática"", ""informáticos""]","El Ingeniero Civil Informático de la Universidad de Valparaíso posee sólidos conocimientos en ciencias básicas, de la ingeniería y de la informática, caracterizándose como un profesional integrador de Tecnologías de la Información y Comunicación (TIC), con una perspectiva sistémica amplia. Entre sus competencias se encuentran analizar, modelar y extraer conocimientos de grandes volúmenes de datos; evaluar, gestionar, desarrollar e implantar soluciones eficientes de software; y diseñar e implementar sistemas de redes y telecomunicaciones. Esto le permite generar soluciones que integran información, software y hardware en diversos niveles organizacionales. Además, tiene conocimientos en economía y evaluación de proyectos, facilitándole la formulación de proyectos informáticos y la generación de emprendimientos basados en innovación tecnológica. Posee la capacidad de trabajar en equipos multidisciplinarios, resolver problemas con énfasis en la eficiencia y optimización, y generar soluciones innovadoras. También es capaz de pensar de manera crítica, comunicarse efectivamente en forma oral y escrita, aprender de forma autónoma y continua, y desempeñarse profesionalmente en forma ética y valórica. Deciles 7-9: $4.609.882 Decil 10: $5.289.000 Se parte de la revolución tecnológica","El de la Universidad de Valparaíso posee sólidos conocimientos en ciencias básicas, de la ingeniería y de la , caracterizándose como un profesional integrador de Tecnologías de la Información y Comunicación (TIC), con una perspectiva sistémica amplia. Entre sus competencias se encuentran analizar, modelar y extraer conocimientos de grandes volúmenes de datos; evaluar, gestionar, desarrollar e implantar soluciones eficientes de software; y diseñar e implementar sistemas de redes y telecomunicaciones. Esto le permite generar soluciones que integran información, software y hardware en diversos niveles organizacionales. Además, tiene conocimientos en economía y evaluación de proyectos, facilitándole la formulación de proyectos y la generación de emprendimientos basados en innovación tecnológica. Posee la capacidad de trabajar en equipos multidisciplinarios, resolver problemas con énfasis en la eficiencia y optimización, y generar soluciones innovadoras. También es capaz de pensar de manera crítica, comunicarse efectivamente en forma oral y escrita, aprender de forma autónoma y continua, y desempeñarse profesionalmente en forma ética y valórica. Deciles 7-9: $4.609.882 Decil 10: $5.289.000 Se parte de la revolución tecnológica",Universidad de Valparaíso,Ingeniería Civil en Informática,https://admision.uv.cl/carreras/ingenieria-civil-informatica
5,Civil,0,0,False,[],[],"Admisión regular Admisión especial Malla curricular Acreditación y aranceles Campus Admisión regular Código Demre 11045 Vacantes ingreso regular 710 Puntajes de corte 2026 Último/a seleccionado/a: 833,85 Último/a matriculado/a: 832,4 Puntaje ponderado mínimo de postulación 458 Duración de la carrera 11 semestres académicos Admisión especial Nombre ingreso Cantidad de vacantes SIPEE 25 Beca de Excelencia Académica (BEA) 55 Deportistas Destacados/as 15 Estudios Medios en el Extranjero 5 Cupos PACE 2 Estudiantes de Pueblos Indígenas 30 Estudiantes en Situación de Discapacidad 2 Más Mujeres Científicas 85 Liderazgo y Trayectoria Escolar 5 Cupos Explora-UNESCO 3 Programa de Ingreso Prioritario de Establecimientos Públicos (PIPEP) 20 Malla curricular Descargar Malla Acreditación y aranceles Valor de aranceles 2026 para estudiantes nuevos Matrícula $217.600 Arancel anual 2026 $8.695.300 Campus Dirección Av. Beauchef 850, Santiago Contacto (+56) 2 2978 4417 Correo [email protected] Sitio web www.dcc.uchile.cl Powered by how to embed google maps generator and Garo Entity","Admisión regular Admisión especial Malla curricular Acreditación y aranceles Campus Admisión regular Código Demre 11045 Vacantes ingreso regular 710 Puntajes de corte 2026 Último/a seleccionado/a: 833,85 Último/a matriculado/a: 832,4 Puntaje ponderado mínimo de postulación 458 Duración de la carrera 11 semestres académicos Admisión especial Nombre ingreso Cantidad de vacantes SIPEE 25 Beca de Excelencia Académica (BEA) 55 Deportistas Destacados/as 15 Estudios Medios en el Extranjero 5 Cupos PACE 2 Estudiantes de Pueblos Indígenas 30 Estudiantes en Situación de Discapacidad 2 Más Mujeres Científicas 85 Liderazgo y Trayectoria Escolar 5 Cupos Explora-UNESCO 3 Programa de Ingreso Prioritario de Establecimientos Públicos (PIPEP) 20 Malla curricular Descargar Malla Acreditación y aranceles Valor de aranceles 2026 para estudiantes nuevos Matrícula $217.600 Arancel anual 2026 $8.695.300 Campus Dirección Av. Beauchef 850, Santiago Contacto (+56) 2 2978 4417 Correo [email protected] Sitio web www.dcc.uchile.cl Powered by how to embed google maps generator and Garo Entity",Universidad de Chile,Ingeniería Civil en Computación,https://admisionuchile.cl/career/ingenieria-civil-en-computacion/
6,Civil,2,5,True,"[""Ingeniería Civil en Computación e Informática"", ""Ingeniería Civil en Computación e Informática""]","[""informática"", ""Civil"", ""Informática"", ""informáticos"", ""informática""]","Ingeniería Civil en Computación e Informática es una carrera que a través del desarrollo de las ciencias de la computación cultiva, fomenta y mejora el avance de todas las actividades humanas para el desarrollo individual, social, productivo y económico de la sociedad. Esta carrera, se fundamenta en la misión de la Universidad de Atacama a través del cultivo, generación, desarrollo y transferencia del conocimiento en ciencia y tecnología, por medio de la investigación, innovación y formación de capital humano, altamente competentes y responsables en satisfacer las necesidades e intereses generales de la sociedad, comprometida con los procesos de inclusión y respetuosa del medio ambiente, aportando de esta manera al desarrollo sostenible de la región de Atacama y el país. Además, promueve el desarrollo de valores institucionales tales como un espíritu crítico, reflexivo y tolerante, que contribuya a forjar una cultura ciudadana inspirada en valores éticos, democráticos, cívicos y de responsabilidad social. En este contexto, el propósito de nuestra carrera es formar ingenieras e ingenieros líderes del cambio tecnológico, capaces de aplicar herramientas y conocimientos de la informática a problemáticas y necesidades de la sociedad. La carrera de Ingeniería Civil en Computación e Informática de la Universidad de Atacama se destaca por entregar una formación orientada al uso de la ciencia para la innovación tecnológica, con el fin de contribuir a la mejora de calidad de vida de nuestra sociedad a través de la transformación digital. El Ingeniero/a Civil en Computación e Informática de la Universidad de Atacama es un profesional con alto compromiso con la calidad, y una disposición permanente por mantener vigentes sus conocimientos en tecnologías y gestión. Demuestra capacidad para aplicar el conocimiento innovadoramente en su formación y reconoce el emprendimiento. Para ello durante su formación, la ingeniera/o debe desarrollar competencias en distintos ámbitos de las ciencias, lo que le otorga el grado de Licenciado en Ciencias de la Ingeniería, dando cuenta que ha recibido una formación integral en Ciencias Básicas, en Ciencias de la Ingeniería, que le permite desarrollar pensamiento lógico-deductivo, capacidad analítica e innovadora, resolver problemas de ingeniería e integrar equipos, contribuyen a completar una formación profesional integral, la cual permite que el profesional comprenda los desafíos que le impone un mundo globalizado. Finalmente, nuestras ingenieras e ingenieros se destacan por ser un profesional responsable, proactivo y formado bajo los fundamentos éticos que sustentan la disciplina. La formación entrega al profesional las competencias para gestionar y desarrollar proyectos que involucran productos de software, inteligencia artificial, sistemas de información y análisis de datos que cumplen con los estándares de calidad para satisfacer los requerimientos del entorno. Entre otras cosas, este profesional estará capacitado para comunicarse a través del idioma inglés. Esta formación integral le proporciona la preparación suficiente para actualizar y profundizar sus conocimientos y continuar estudios conducentes a un título profesional y/o de postgrado en la misma disciplina u otra afín. Las áreas de desempeño que desarrollan nuestros profesionales en su proceso de enseñanza aprendizaje son: – Capacidad de aprender y actualizarse permanentemente – Capacidad de aplicar innovadoramente el conocimiento a la práctica – Capacidad de comunicación en un segundo idioma. – Compromiso con el desarrollo Sostenible El campo de acción profesional de nuestros profesionales es amplio y diverso, brindando oportunidades en áreas de ingeniería de software encargándose de desarrollar aplicaciones y sistemas informáticos, asegurando su eficiencia y calidad. Por otra parte, en el área de ciencia de datos tendrán habilidades de analizar grandes volúmenes de información para extraer conocimientos valiosos y tomar decisiones informadas. Y por último en el área de gestión informática se enfocan en administrar y optimizar los recursos tecnológicos de una organización. En conclusión estas áreas están en constante evolución ofreciendo un amplio abanico de oportunidades y desafíos para aquellos que se dedican a las Ciencias de la Computación.","es una carrera que a través del desarrollo de las ciencias de la computación cultiva, fomenta y mejora el avance de todas las actividades humanas para el desarrollo individual, social, productivo y económico de la sociedad. Esta carrera, se fundamenta en la misión de la Universidad de Atacama a través del cultivo, generación, desarrollo y transferencia del conocimiento en ciencia y tecnología, por medio de la investigación, innovación y formación de capital humano, altamente competentes y responsables en satisfacer las necesidades e intereses generales de la sociedad, comprometida con los procesos de inclusión y respetuosa del medio ambiente, aportando de esta manera al desarrollo sostenible de la región de Atacama y el país. Además, promueve el desarrollo de valores institucionales tales como un espíritu crítico, reflexivo y tolerante, que contribuya a forjar una cultura ciudadana inspirada en valores éticos, democráticos, cívicos y de responsabilidad social. En este contexto, el propósito de nuestra carrera es formar ingenieras e ingenieros líderes del cambio tecnológico, capaces de aplicar herramientas y conocimientos de la a problemáticas y necesidades de la sociedad. La carrera de de la Universidad de Atacama se destaca por entregar una formación orientada al uso de la ciencia para la innovación tecnológica, con el fin de contribuir a la mejora de calidad de vida de nuestra sociedad a través de la transformación digital. El Ingeniero/a en Computación e de la Universidad de Atacama es un profesional con alto compromiso con la calidad, y una disposición permanente por mantener vigentes sus conocimientos en tecnologías y gestión. Demuestra capacidad para aplicar el conocimiento innovadoramente en su formación y reconoce el emprendimiento. Para ello durante su formación, la ingeniera/o debe desarrollar competencias en distintos ámbitos de las ciencias, lo que le otorga el grado de Licenciado en Ciencias de la Ingeniería, dando cuenta que ha recibido una formación integral en Ciencias Básicas, en Ciencias de la Ingeniería, que le permite desarrollar pensamiento lógico-deductivo, capacidad analítica e innovadora, resolver problemas de ingeniería e integrar equipos, contribuyen a completar una formación profesional integral, la cual permite que el profesional comprenda los desafíos que le impone un mundo globalizado. Finalmente, nuestras ingenieras e ingenieros se destacan por ser un profesional responsable, proactivo y formado bajo los fundamentos éticos que sustentan la disciplina. La formación entrega al profesional las competencias para gestionar y desarrollar proyectos que involucran productos de software, inteligencia artificial, sistemas de información y análisis de datos que cumplen con los estándares de calidad para satisfacer los requerimientos del entorno. Entre otras cosas, este profesional estará capacitado para comunicarse a través del idioma inglés. Esta formación integral le proporciona la preparación suficiente para actualizar y profundizar sus conocimientos y continuar estudios conducentes a un título profesional y/o de postgrado en la misma disciplina u otra afín. Las áreas de desempeño que desarrollan nuestros profesionales en su proceso de enseñanza aprendizaje son: – Capacidad de aprender y actualizarse permanentemente – Capacidad de aplicar innovadoramente el conocimiento a la práctica – Capacidad de comunicación en un segundo idioma. – Compromiso con el desarrollo Sostenible El campo de acción profesional de nuestros profesionales es amplio y diverso, brindando oportunidades en áreas de ingeniería de software encargándose de desarrollar aplicaciones y sistemas , asegurando su eficiencia y calidad. Por otra parte, en el área de ciencia de datos tendrán habilidades de analizar grandes volúmenes de información para extraer conocimientos valiosos y tomar decisiones informadas. Y por último en el área de gestión se enfocan en administrar y optimizar los recursos tecnológicos de una organización. En conclusión estas áreas están en constante evolución ofreciendo un amplio abanico de oportunidades y desafíos para aquellos que se dedican a las Ciencias de la Computación.",Universidad de Atacama,Ingeniería Civil en Computación e Informática,https://admision.uda.cl/index.php/ingenieria-civil-en-computacion-e-informatica/
7,Civil,0,6,True,[],"[""Civil"", ""Informática"", ""informática"", ""informáticos"", ""informáticos"", ""informática""]","Perfil de Egreso: El Ingeniero(a) Civil en Computación e Informática de la Universidad de la Serena es un profesional proactivo y consciente del impacto de su quehacer profesional en las personas, la sociedad y el medio ambiente, y cuenta con una sólida formación en ciencias de la ingeniería, y computación e informática, con énfasis en la producción de software y la aplicación de las técnicas de la inteligencia artificial. Competencias del Perfil de Egreso 1. Aplica tecnologías digitales y de la información para la gestión, desarrollo y toma de decisiones en proyectos de ingeniería en su especialidad. 2. Desarrolla su quehacer profesional de manera ética, responsable e inclusiva, conforme a principios democráticos, respetando la diversidad y la reciprocidad en el contexto social, cultural y ambiental. 3. Se comunica de manera efectiva en el idioma español, en forma simbólica en el lenguaje técnico y comprende el idioma inglés, en el contexto de su especialidad. 4. Autogestiona su aprendizaje implementando estrategias que le permitan acceder a una formación continua en un contexto de actualización en el ámbito de las ingenierías. 5. Soluciona problemas complejos de la ingeniería aplicando conocimientos científicos y tecnológicos desarrollados en base a una sólida formación en ciencias básicas, ciencias de la ingeniería y de la especialidad. 6. Utiliza metodologías de investigación en el ámbito de su disciplina, permitiendo su incorporación a equipos de trabajo interdisciplinarios de forma colaborativa. 7. Concibe y diseña sistemas computacionales e informáticos con énfasis en la innovación, emprendimiento y transferencia tecnológica, que incorpore Inteligencia Artificial y gestión de datos. 8. Implementa y opera sistemas computacionales e informáticos, con un fuerte componente científico y tecnológico aplicado, considerando las normas y la normativa legal vigente y los principios de desarrollo sustentable y sostenible. 9. Evalúa la evolución de las tecnologías de computación e informática para su adopción y/o desarrollo de soluciones con énfasis en el modelo de negocios en el ámbito de su quehacer. 10. Desarrolla y utiliza técnicas computacionales, recursos y herramientas de Ingeniería de Software e Inteligencia Artificial, con un enfoque orientado a la gestión y análisis de datos aplicados.","Perfil de Egreso: El Ingeniero(a) en Computación e de la Universidad de la Serena es un profesional proactivo y consciente del impacto de su quehacer profesional en las personas, la sociedad y el medio ambiente, y cuenta con una sólida formación en ciencias de la ingeniería, y computación e , con énfasis en la producción de software y la aplicación de las técnicas de la inteligencia artificial. Competencias del Perfil de Egreso 1. Aplica tecnologías digitales y de la información para la gestión, desarrollo y toma de decisiones en proyectos de ingeniería en su especialidad. 2. Desarrolla su quehacer profesional de manera ética, responsable e inclusiva, conforme a principios democráticos, respetando la diversidad y la reciprocidad en el contexto social, cultural y ambiental. 3. Se comunica de manera efectiva en el idioma español, en forma simbólica en el lenguaje técnico y comprende el idioma inglés, en el contexto de su especialidad. 4. Autogestiona su aprendizaje implementando estrategias que le permitan acceder a una formación continua en un contexto de actualización en el ámbito de las ingenierías. 5. Soluciona problemas complejos de la ingeniería aplicando conocimientos científicos y tecnológicos desarrollados en base a una sólida formación en ciencias básicas, ciencias de la ingeniería y de la especialidad. 6. Utiliza metodologías de investigación en el ámbito de su disciplina, permitiendo su incorporación a equipos de trabajo interdisciplinarios de forma colaborativa. 7. Concibe y diseña sistemas computacionales e con énfasis en la innovación, emprendimiento y transferencia tecnológica, que incorpore Inteligencia Artificial y gestión de datos. 8. Implementa y opera sistemas computacionales e , con un fuerte componente científico y tecnológico aplicado, considerando las normas y la normativa legal vigente y los principios de desarrollo sustentable y sostenible. 9. Evalúa la evolución de las tecnologías de computación e para su adopción y/o desarrollo de soluciones con énfasis en el modelo de negocios en el ámbito de su quehacer. 10. Desarrolla y utiliza técnicas computacionales, recursos y herramientas de Ingeniería de Software e Inteligencia Artificial, con un enfoque orientado a la gestión y análisis de datos aplicados.",Universidad de la Serena,Ingeniería Civil en Computación e Informática,https://admision.userena.cl/carreras/ingenieria-civil-en-computacion-e-informatica
8,Civil,1,1,True,"[""Ingeniería Civil en Computación""]","[""informática""]","Quienes egresan de la carrera de Ingeniería Civil en Computación de la Universidad de Talca son profesionales integrales, con enfoque en el área de la informática, capaces de idear, diseñar, desarrollar y desplegar soluciones de software innovadoras, considerando aspectos técnicos, económicos, sociales y/o ambientales. Gracias a su base formativa en ciencias básicas y de la ingeniería, poseen una visión integral de los sistemas computacionales y la capacidad de resolver problemas desafiantes, de manera profesional, con sentido ético y de responsabilidad social. Así mismo, la formación en emprendimiento les permite identificar oportunidades de negocio en el sector tecnológico y desarrollar proyectos propios. Además, cuentan con habilidades de comunicación y liderazgo que le permiten trabajar colaborativamente en equipos multi e interdisciplinarios y adaptarse a entornos profesionales en constante evolución.","Quienes egresan de la carrera de de la Universidad de Talca son profesionales integrales, con enfoque en el área de la , capaces de idear, diseñar, desarrollar y desplegar soluciones de software innovadoras, considerando aspectos técnicos, económicos, sociales y/o ambientales. Gracias a su base formativa en ciencias básicas y de la ingeniería, poseen una visión integral de los sistemas computacionales y la capacidad de resolver problemas desafiantes, de manera profesional, con sentido ético y de responsabilidad social. Así mismo, la formación en emprendimiento les permite identificar oportunidades de negocio en el sector tecnológico y desarrollar proyectos propios. Además, cuentan con habilidades de comunicación y liderazgo que le permiten trabajar colaborativamente en equipos multi e interdisciplinarios y adaptarse a entornos profesionales en constante evolución.",Universidad de Talca,Ingeniería Civil en Computación,https://admision.utalca.cl/carreras/ingenieria-civil-en-computacion/
9,Informática,1,1,True,"[""Ingeniera en Informática""]","[""Informática""]",Título Profesional: Ingeniero / Ingeniera en Informática Empresarial Área de Conocimiento: Ciencias Sociales Grado Académico: Licenciado/Licenciada en Ciencias de la Gestión y Tecnologías de la Información Título Técnico que se otorga: Técnico/a de Nivel Superior en Informática Empresarial Régimen de Estudio: Período de Formación: 5 Años (9 trimestres más 4 semestres) Jornada: Diurna Modalidad: Presencial Campus: Campus Lircay **El campus indicado corresponde a la sede principal de la carrera. Algunas asignaturas o actividades académicas podrán desarrollarse en otros campus o dependencias de la Universidad. Vacantes: 55 NEM: 20% Ranking: 30% Comprensión Lectora: 10% Matemática 1: 25% Historia y Cs. Sociales: – Ciencias: – Historia y Cs Sociales o Ciencias: 10% Matemática 2: 5% Deciles 1 a 6: Gratuidad Decil 7: $5.313.000 Decil 8 y 9: $5.313.000 Decil 10: $5.529.000 Arancel de Matrícula 2026 $272.000 Deciles según situación socioeconómica determinada a través del instrumento de acreditación socioeconómica validado por MINEDUC. ** Los aranceles correspondientes al proceso de Admisión 2027 serán actualizados y publicados durante el mes de noviembre de 2026 .,Título Profesional: Ingeniero / Empresarial Área de Conocimiento: Ciencias Sociales Grado Académico: Licenciado/Licenciada en Ciencias de la Gestión y Tecnologías de la Información Título Técnico que se otorga: Técnico/a de Nivel Superior en Empresarial Régimen de Estudio: Período de Formación: 5 Años (9 trimestres más 4 semestres) Jornada: Diurna Modalidad: Presencial Campus: Campus Lircay **El campus indicado corresponde a la sede principal de la carrera. Algunas asignaturas o actividades académicas podrán desarrollarse en otros campus o dependencias de la Universidad. Vacantes: 55 NEM: 20% Ranking: 30% Comprensión Lectora: 10% Matemática 1: 25% Historia y Cs. Sociales: – Ciencias: – Historia y Cs Sociales o Ciencias: 10% Matemática 2: 5% Deciles 1 a 6: Gratuidad Decil 7: $5.313.000 Decil 8 y 9: $5.313.000 Decil 10: $5.529.000 Arancel de Matrícula 2026 $272.000 Deciles según situación socioeconómica determinada a través del instrumento de acreditación socioeconómica validado por MINEDUC. ** Los aranceles correspondientes al proceso de Admisión 2027 serán actualizados y publicados durante el mes de noviembre de 2026 .,Universidad de Talca,Ingeniería en Informática Empresarial,https://admision.utalca.cl/carreras/ingenieria-en-informatica-empresarial/
10,Civil,0,7,True,[],"[""civil"", ""informático"", ""informática"", ""informáticos"", ""civil"", ""informática"", ""informática""]","El/la ingenier/a civil informático de la Universidad del Bío-Bío es un/a profesional capacitado/a para comprender la problemática organizacional en el ámbito de la informática y, a partir de ello, plantear y desarrollar soluciones pertinentes. Lo anterior se traduce en la formulación, evaluación, e implementación de proyectos de tecnologías de información y comunicación. Este profesional trabaja colaborativamente, lidera equipos multidisciplinarios en forma ética, proactiva, responsable y autónoma, respetando la diversidad de quienes conforman los equipos en que participa. El sello distintivo del o la egresado/a de esta carrera lo constituye su conocimiento de la gestión organizacional y su disposición hacia el logro de metas, optimizando los recursos informáticos disponibles en la organización en la que se desenvuelva. La formación profesional del ingeniero/a civil en informática contempla las áreas de: ciencias básicas, ciencias de la ingeniería, sistemas computacionales, ingeniería de software y base de datos y gestión de informática. Además, se distingue por el compromiso permanente con su aprendizaje, manejo del idioma inglés para apoyar el desarrollo de su trabajo y asumir su quehacer profesional y ciudadano, sirviendo a la sociedad con innovación, excelencia y responsabilidad social.","El/la ingenier/a de la Universidad del Bío-Bío es un/a profesional capacitado/a para comprender la problemática organizacional en el ámbito de la y, a partir de ello, plantear y desarrollar soluciones pertinentes. Lo anterior se traduce en la formulación, evaluación, e implementación de proyectos de tecnologías de información y comunicación. Este profesional trabaja colaborativamente, lidera equipos multidisciplinarios en forma ética, proactiva, responsable y autónoma, respetando la diversidad de quienes conforman los equipos en que participa. El sello distintivo del o la egresado/a de esta carrera lo constituye su conocimiento de la gestión organizacional y su disposición hacia el logro de metas, optimizando los recursos disponibles en la organización en la que se desenvuelva. La formación profesional del ingeniero/a en contempla las áreas de: ciencias básicas, ciencias de la ingeniería, sistemas computacionales, ingeniería de software y base de datos y gestión de . Además, se distingue por el compromiso permanente con su aprendizaje, manejo del idioma inglés para apoyar el desarrollo de su trabajo y asumir su quehacer profesional y ciudadano, sirviendo a la sociedad con innovación, excelencia y responsabilidad social.",Universidad del Biobío,Ingeniería Civil en Informática,https://ubiobio.cl/admision/Todas_las_Carreras/17/Ingenieria_Civil_en_Informatica_Concepcion/
