feature,tfidf_mean,tfidf_std,tokens_proxy_potenciales,es_proxy_potencial
ingeniería,0.0669591953067488,0.0402860495746299,,False
informática,0.0639096858651883,0.0358319356158766,informatica,True
información,0.0574038467393278,0.0442943698427717,,False
soluciones,0.0559496326659259,0.0463971546010278,,False
tecnologías,0.0494832303797522,0.0337023603049876,,False
software,0.0482291571521957,0.0413892552631314,,False
civil,0.0472811824673911,0.0569146696075895,civil,True
desarrollo,0.0470517219134127,0.0454640346379019,,False
datos,0.0462338020272127,0.0475612156943793,,False
conocimientos,0.0461250739844913,0.0562064655270611,,False
ciencias,0.0452707229227499,0.0510947014083896,,False
universidad,0.04377949915838,0.0389121821938171,,False
capacidad,0.0429731127846904,0.0616418344911122,,False
tecnologías información,0.0398472464946447,0.0402474408794761,,False
organizaciones,0.0390952194158569,0.0491942278887235,,False
problemas,0.0384214369440894,0.0447467884644215,,False
equipos,0.0383743736043494,0.0423214334959754,,False
trabajo,0.038245006123389,0.0444719048361187,,False
carrera,0.037618367727743,0.0477907044211404,,False
diseñar,0.0370531164617993,0.0529119980348388,,False
forma,0.0365297782644504,0.0579504634353449,,False
innovación,0.0364470047619243,0.0459170059068786,,False
capaz,0.0358839928484929,0.0543760179044621,,False
social,0.0357014272090014,0.0430404458804595,,False
gestionar,0.0342649312319524,0.0469579463470164,,False
ingeniería civil,0.0329678204289269,0.0620238976009222,civil,True
permite,0.032884719484097,0.0490613393604587,,False
calidad,0.0324143634030293,0.0526242006898185,,False
implementar,0.0321490354280158,0.0494230165265819,,False
resolver,0.0321395208592674,0.0436844893046528,,False
desarrollar,0.0314823196046213,0.0441895135467686,,False
desempeñarse,0.0311858591689517,0.0603657938640707,,False
posee,0.0296247109695946,0.0488112909833671,,False
computacionales,0.0295690875991139,0.0640890510804199,,False
informática universidad,0.0292447530164652,0.0448732246123331,informatica,True
multidisciplinarios,0.0286973359996696,0.043852525792146,,False
necesidades,0.0282535670465085,0.0458733216121203,,False
capaces,0.0282049970479952,0.0669769922720085,,False
ingeniero civil,0.0281354909612265,0.049259213737924,civil,True
inteligencia,0.0280952363319046,0.0514981718095312,,False
perfil,0.0270463937365108,0.0409318755712129,,False
diseño,0.0269249020612462,0.0481869614985685,,False
ciencias básicas,0.0262831835967173,0.0437479684472469,,False
básicas,0.0262831835967173,0.0437479684472469,,False
servicios,0.0261375451268261,0.0457239662581398,,False
responsabilidad,0.0261215430503933,0.042128309097782,,False
proyectos informáticos,0.0259206945328511,0.0463294477897259,informaticos,True
ética,0.0254562675637787,0.0425636582322637,,False
así,0.025277934267403,0.0500168734559811,,False
áreas,0.0251046222252897,0.0504905188718592,,False
tecnológicos,0.0249608553129233,0.0427167311001385,,False
egreso,0.0248312937839224,0.0499505170007234,,False
soluciones tecnológicas,0.0246360857532815,0.0524788242522849,,False
innovadoras,0.0245529192907753,0.0463474154140264,,False
ciencias ingeniería,0.0243820699653714,0.0450444333118261,,False
contexto,0.0242834395517332,0.0480233986933804,,False
principios,0.0240769511602848,0.0470133008052178,,False
nivel,0.0240455278701158,0.0493977362746387,,False
sistemas información,0.0240329531835314,0.050065332356437,,False
herramientas,0.0239531107905371,0.0430771077021555,,False
decisiones,0.0237994650886319,0.0430287035053371,,False
estándares,0.0237052750114871,0.0513075736784973,,False
programa,0.0236649500122271,0.0543675750346344,,False
mejora,0.0235400807498449,0.0540105849802944,,False
sistemas informáticos,0.0233761475470565,0.0477219726727728,informaticos,True
redes,0.0231301397468351,0.0502610007189699,,False
integral,0.0230223114735714,0.0455135151023038,,False
ingeniería software,0.0230010551748418,0.0442251780256107,,False
sólida,0.0229962810687914,0.0461743121128703,,False
eficiencia,0.0227673645110217,0.0464825601431713,,False
compromiso,0.0226749840667478,0.0436815798539559,,False
equipos multidisciplinarios,0.0225824442105062,0.0431541915940349,,False
manera,0.0225362453764534,0.0430530065343621,,False
visión,0.0225006479405684,0.0427791371730929,,False
considerando,0.022279823065668,0.0477018952684058,,False
sólida formación,0.0222663531573042,0.0468970813801338,,False
civil computación,0.0219825701644867,0.056487020541515,civil,True
complejos,0.0218172346497438,0.0446335265683971,,False
egresado,0.0218034846701573,0.0441301139449036,,False
evaluar,0.021545824047245,0.048473033166363,,False
ciencia,0.0214273290480996,0.0488445936808605,,False
carrera ingeniería,0.0211280656924171,0.044956706871178,,False
vida,0.0208805755312047,0.0498849119742376,,False
empresas,0.0207078453067148,0.0504551794101103,,False
aprendizaje,0.02059135812654,0.0388096166230146,,False
analizar,0.0204942648670477,0.0460847927781884,,False
uso,0.0204608443153283,0.0429131803254949,,False
gestionar proyectos,0.0203607620801192,0.0476886680043071,,False
desarrolla,0.0201820351312795,0.0464859857913003,,False
equipos trabajo,0.0198859445428386,0.0437040189306475,,False
sociales,0.0198651688612756,0.0569697625828331,,False
profesionales capaces,0.019653400740805,0.0738511066063305,,False
capacitado,0.0195542026290765,0.0464953796773693,,False
metodologías,0.0194385276750494,0.0454303846353706,,False
digital,0.0190194590382359,0.0466456871375277,,False
ingeniero informática,0.0189616382230485,0.0466318201568482,informatica,True
negocios,0.0188855573707731,0.0461311208759842,,False
digitales,0.0187795391190057,0.0439158624764806,,False
problemas complejos,0.0187425754334171,0.0450801867703024,,False
conocimiento,0.0187127303844881,0.0501760365169868,,False
inglés,0.0186587405507377,0.0456902906404037,,False
privadas,0.0186346991998946,0.0506502144894964,,False
públicas privadas,0.0186346991998946,0.0506502144894964,,False
distintas,0.0184693424655101,0.055337176329904,,False
productos,0.018463854185431,0.0440127028275784,,False
aplicando,0.018404874218274,0.0451464627231192,,False
personas,0.0183009907953966,0.0383735873116475,,False
soluciones informáticas,0.0182908133623921,0.0418867221442165,informaticas,True
sistemas computacionales,0.0182846480325996,0.0543660969396524,,False
análisis,0.0182641262683281,0.0430129247880341,,False
trabajar,0.0182263196503116,0.0448047738519213,,False
sello,0.0181988379369322,0.0429771029556797,,False
ejecución,0.018147345865067,0.0609937493520924,ejecucion,True
entorno,0.0181245381370925,0.0409299866273004,,False
permanente,0.0180633864344653,0.0396659594014156,,False
gestión proyectos,0.017925177244871,0.0439300652204099,,False
informático,0.0178621290400414,0.0432297615831733,informatico,True
persona,0.0176551030601985,0.0487158702418192,,False
desafíos,0.0176074164217341,0.0473840277449438,,False
formación ciencias,0.017551770552259,0.0472284704089282,,False
propios,0.0174651322844927,0.0495693692514023,,False
tecnología,0.0174520670338328,0.0428011892103767,,False
base,0.017382607152646,0.0418604718792115,,False
éticos,0.0173811692347526,0.0466429219784113,,False
técnicas,0.0173174260145476,0.0495558577300028,,False
puede,0.0173111639973662,0.0513482911353214,,False
diversidad,0.0172661233937841,0.0484842022082888,,False
evaluación,0.0172536980048075,0.0479884747359537,,False
identificar,0.0172020507176099,0.0536189297583475,,False
católica,0.0171861728265226,0.0463019202454202,,False
crítico,0.0171793462632044,0.0428571399561303,,False
según,0.0170209661556991,0.0405151580332674,,False
está,0.0168620813305442,0.0532752653427978,,False
mediante,0.0168319396995563,0.0412868092263149,,False
medio,0.016764714277731,0.0431353841122459,,False
telecomunicaciones,0.0166848135725146,0.0567178693529292,,False
transformación digital,0.0165355699119024,0.0384902294767524,,False
criterios,0.0165048147295457,0.0496664043486889,,False
sostenible,0.0164285144438115,0.0400007299120288,,False
bases,0.016350350514306,0.039110549696144,,False
básicas ingeniería,0.016314761437682,0.050842929986444,,False
común,0.016237670316523,0.038557021646898,,False
diversos,0.0161656803569274,0.038522624566961,,False
global,0.016076728619563,0.0414596235372643,,False
liderar equipos,0.0159343205451263,0.0415571133881808,,False
comunicarse,0.0158326626617293,0.0431817663621654,,False
universidad católica,0.0158124969511735,0.0415608205874392,,False
bases datos,0.0157664789191394,0.0398938894791092,,False
equipo,0.0157371591017495,0.0421952559616708,,False
ingenieros,0.0156860065496279,0.0504633124743773,,False
idioma,0.0156285544524262,0.0459851236189096,,False
planificar,0.0155719619064598,0.0438050389933156,,False
campo,0.0155554183545777,0.0450164779886869,,False
disciplina,0.0154476296016163,0.0421158193593315,,False
pensamiento,0.0154128267093999,0.0392438679265224,,False
aplicada,0.0152824504794956,0.0366511250736108,,False
país,0.0152772948913239,0.0438676657732045,,False
diseña,0.0151108806951584,0.0501741456271391,,False
prácticas,0.0150911729146222,0.0444973103179373,,False
plan,0.0150496824291018,0.0522097229493001,,False
básicas ciencias,0.0150202986881411,0.0379827828685479,,False
información comunicaciones,0.0149002978165575,0.0404939039253345,,False
evolución,0.0147410075056421,0.0383075016281199,,False
ciberseguridad,0.0146466367535787,0.0607596835095004,,False
bien,0.0146396138365934,0.0370379971638302,,False
diseñar desarrollar,0.0146285155805945,0.0425915144842021,,False
tic,0.0145200869205557,0.0433556590817395,,False
impacto,0.0145194351884999,0.0453597961187704,,False
nuevas,0.0145096069173499,0.0409141846822018,,False
especialidad,0.0144093140744396,0.0496358264095957,,False
comunicación efectiva,0.014346357930294,0.0366486081583784,,False
malla,0.0142609155075992,0.0573439407577355,,False
plataformas,0.0141553233207792,0.0405882309336579,,False
ámbitos,0.014015612072898,0.0414430054393836,,False
junto,0.0140143161596465,0.0438025714623465,,False
año,0.0139886869049925,0.0514946936681932,,False
chile,0.0139836156249226,0.044701230364283,,False
2026,0.0139357559771532,0.0564944085323703,,False
partir,0.0138721274442214,0.0429115088127261,,False
ingeniera,0.013869596269378,0.044973281509881,,False
idioma inglés,0.0138583482273251,0.0422135241480575,,False
permitan,0.0138508372235543,0.0371926487661767,,False
profesión,0.0138115878418838,0.0398691189750162,,False
mantención,0.0137661084537583,0.0433432330548957,,False
desempeño,0.0137504883079303,0.0332936063799652,,False
autónoma,0.0137306680660734,0.0410432095041466,,False
acuerdo,0.0136744329137054,0.0440762599093089,,False
pensamiento crítico,0.013631695183538,0.0398628769130548,,False
admisión,0.0136130368378001,0.0570419905504448,,False
distintos,0.0136128019060301,0.0391571109395209,,False
respeto,0.0135910247631909,0.0397261271485563,,False
sentido,0.013590762547847,0.03549096532666,,False
calidad seguridad,0.0135650190086074,0.048274918490957,,False
relacionados,0.0135540709566422,0.0463419492184291,,False
técnicos,0.0135203442122305,0.0403949758185042,,False
humana,0.0134633536266572,0.046801726512536,,False
diversas,0.0134154551730329,0.040643210522554,,False
bien común,0.0134153113434585,0.0364585759585702,,False
comprometido,0.0134015253583429,0.0385090936699181,,False
eficiente,0.0133779273099151,0.0493310072020393,,False
técnico,0.0133584365913629,0.0444840390751955,,False
ingeniero ejecución,0.0132347040182749,0.0460217455847503,ejecucion,True
civil informático,0.0131196106049636,0.0412611602811223,civil; informatico,True
laboral,0.0130907612557007,0.0457679689250031,,False
alto,0.0130218678139043,0.041040716843687,,False
semestres,0.0129093808208162,0.0400175700553497,,False
emprendimientos,0.0128940011783201,0.0404962386556066,,False
basadas,0.0128906984238147,0.0443164834062556,,False
contribuyendo,0.0128481694903371,0.0384346254700878,,False
ambiental,0.0127596537471408,0.0411959614967114,,False
constante,0.0127419648992462,0.0376101244351173,,False
000,0.0127027452618105,0.0597993138686745,,False
ello,0.0125127267042715,0.0450534509569306,,False
responsable,0.0124512570264815,0.0370142241197427,,False
concebir,0.0124059272128157,0.0431915198915779,,False
evaluar gestionar,0.0123916953233463,0.0424527907718141,,False
crear,0.0122723081212722,0.0402229161171284,,False
estudiantes,0.0122651129173277,0.0573471593007901,,False
contribuir,0.0122361303789215,0.0396318264374373,,False
diversa,0.0122178431024193,0.042231463412263,,False
informático universidad,0.0122117038589675,0.0398607258241479,informatico,True
administrar,0.011984920162253,0.0438341435686785,,False
problemáticas,0.0118873532838631,0.0359599027872983,,False
concepción,0.0118757410159787,0.0407663158650255,,False
buenas,0.0118665497185559,0.0407456840309846,,False
buenas prácticas,0.0118665497185559,0.0407456840309846,,False
apoyar,0.0117409398564788,0.0402785454286866,,False
académico,0.0117165242277824,0.0373305016281631,,False
as,0.0117007195015587,0.0607112102837706,,False
aplicaciones,0.01163205789188,0.0345664074116064,,False
profesional ingeniero,0.01146698483189,0.0399546498992139,,False
formación permite,0.0114146779524596,0.0363543332184312,,False
desenvolverse,0.0114012887586468,0.0363491577647154,,False
planificación,0.0113923460940265,0.0439518351153654,,False
quehacer profesional,0.0112454501093062,0.040922897306139,,False
santiago,0.0112393732599406,0.0385462686684563,,False
privado,0.0112016612938145,0.0380976287513535,,False
modelos,0.0111299795367984,0.0403958797376516,,False
asimismo,0.0111125962733498,0.0325367850833453,,False
oportunidades,0.0110936031247106,0.0353445044967035,,False
ciclo vida,0.0110741045118494,0.0431308320765877,,False
análisis datos,0.0110577302369569,0.0364144341914362,,False
fin,0.0108989936086229,0.036542838398088,,False
región,0.0108860277770269,0.0411753256918359,,False
integrales,0.0107967855240418,0.0392890275783327,,False
gestiona,0.0107727389961305,0.0381312802448402,,False
promoción,0.0107342035509225,0.0373795878826134,,False
implementar soluciones,0.0107246097529764,0.034002348462293,,False
aplica,0.0106905529375926,0.0390202092933446,,False
capacidades,0.0106027204616779,0.0347706138950261,,False
operar,0.0105094953771575,0.0329992516599189,,False
proyectos ingeniería,0.0104446746296481,0.0342040137814897,,False
sede,0.0104415730089052,0.0410215597010049,,False
lenguajes programación,0.010376730070268,0.0378656347727443,,False
desempeña,0.0099881916782752,0.03893911379256,,False
implementa,0.0098010697634932,0.0348851935444251,,False
énfasis,0.0097919718367669,0.0390524828014015,,False
carreras,0.0097852319210983,0.0500559200613269,,False
desarrollo sostenible,0.0097246093209888,0.0336541294763255,,False
estrategias,0.009697334985883,0.0343966984019679,,False
estándares calidad,0.009668373054694,0.0351029959498036,,False
ejercicio,0.0095308195227303,0.0304556925167912,,False
asociados,0.0093414480167372,0.0305906899822497,,False
arancel,0.0093107335173745,0.0430713798262819,,False
normativa,0.0092866416916209,0.0384040367965233,,False
negocio,0.0091605451435505,0.0329905844608237,,False
25,0.0086957813139152,0.039521675960901,,False
compromiso ético,0.0084745238234708,0.0307386987230835,,False
educación,0.0081896609284072,0.0329631630661855,,False
vanguardia,0.0081762599610325,0.0325581081024853,,False
resolución problemas,0.0081472868526936,0.0280282216098445,,False
reconoce,0.0079425653270739,0.0323118229944687,,False
años,0.0078206948206411,0.0357056550167785,,False
experiencia,0.007227617745075,0.0325299781411952,,False
universitario,0.0072000772514038,0.0358059281680238,,False
normativa legal,0.0060044803359449,0.0280343497167899,,False
legal,0.0060044803359449,0.0280343497167899,,False
legal vigente,0.0060044803359449,0.0280343497167899,,False
liderando,0.0056116701183269,0.0261359209147513,,False
