condicion,fold,feature,idf
Original,1,000,3.751535313041949
Original,1,10,2.904237452654745
Original,1,2026,3.463853240590168
Original,1,25,3.751535313041949
Original,1,académico,3.2407096892759584
Original,1,acciones,3.2407096892759584
Original,1,acreditación,3.751535313041949
Original,1,actitud,3.0583881324820035
Original,1,actualización,3.0583881324820035
Original,1,adaptarse,2.904237452654745
Original,1,además,2.0169342576538423
Original,1,administración,3.0583881324820035
Original,1,administrar,3.0583881324820035
Original,1,admisión,3.463853240590168
Original,1,alto,3.0583881324820035
Original,1,ambiental,2.904237452654745
Original,1,ambiente,3.0583881324820035
Original,1,amplio,3.2407096892759584
Original,1,analizar,2.547562508716013
Original,1,analítica,3.2407096892759584
Original,1,anual,3.751535313041949
Original,1,análisis,2.6529230243738393
Original,1,análisis datos,3.0583881324820035
Original,1,aplica,3.2407096892759584
Original,1,aplicaciones,2.904237452654745
Original,1,aplicación,2.6529230243738393
Original,1,aplicada,2.7707060600302227
Original,1,aplicando,2.7707060600302227
Original,1,aplicar,2.3652409519220585
Original,1,aprendizaje,2.2110902720948
Original,1,arancel,3.751535313041949
Original,1,arancel anual,3.751535313041949
Original,1,aranceles,3.751535313041949
Original,1,artificial,2.285198244248522
Original,1,as,3.463853240590168
Original,1,asimismo,3.0583881324820035
Original,1,asociados,3.0583881324820035
Original,1,así,2.3652409519220585
Original,1,año,3.0583881324820035
Original,1,años,3.751535313041949
Original,1,basadas,3.463853240590168
Original,1,base,2.547562508716013
Original,1,bases,2.904237452654745
Original,1,bases datos,3.0583881324820035
Original,1,bien,2.904237452654745
Original,1,bien común,3.0583881324820035
Original,1,buenas,3.463853240590168
Original,1,buenas prácticas,3.463853240590168
Original,1,básicas,2.0775588794702773
Original,1,básicas ciencias,2.7707060600302227
Original,1,básicas ingeniería,3.0583881324820035
Original,1,calidad,2.0169342576538423
Original,1,calidad seguridad,3.463853240590168
Original,1,campo,2.904237452654745
Original,1,campus,3.463853240590168
Original,1,capaces,2.547562508716013
Original,1,capacidad,1.714653385780909
Original,1,capacidad trabajar,3.0583881324820035
Original,1,capacidades,2.904237452654745
Original,1,capacitado,2.7707060600302227
Original,1,capaz,2.0169342576538423
Original,1,capaz concebir,3.463853240590168
Original,1,carrera,1.672093771362113
Original,1,carrera ingeniería,2.3652409519220585
Original,1,carreras,3.463853240590168
Original,1,católica,2.904237452654745
Original,1,ciberseguridad,3.2407096892759584
Original,1,ciencia,2.6529230243738393
Original,1,ciencia datos,3.0583881324820035
Original,1,ciencias,1.672093771362113
Original,1,ciencias básicas,2.0775588794702773
Original,1,ciencias ingeniería,2.4522523289116878
Original,1,civil,1.672093771362113
Original,1,civil computación,2.904237452654745
Original,1,civil informática,2.142097400607849
Original,1,competencias,1.9057086225436182
Original,1,complejos,2.4522523289116878
Original,1,compromiso,2.285198244248522
Original,1,compromiso ético,3.2407096892759584
Original,1,computacionales,2.547562508716013
Original,1,computación,1.9057086225436182
Original,1,computación informática,2.3652409519220585
Original,1,comunicaciones,2.547562508716013
Original,1,comunicación,1.8056251639866356
Original,1,comunicación efectiva,2.6529230243738393
Original,1,comunicarse,2.904237452654745
Original,1,común,2.7707060600302227
Original,1,concebir,3.0583881324820035
Original,1,concebir diseñar,3.2407096892759584
Original,1,conocimiento,2.7707060600302227
Original,1,conocimientos,1.6312717768418579
Original,1,considerando,2.4522523289116878
Original,1,constante,2.904237452654745
Original,1,construir,3.0583881324820035
Original,1,consultor,3.0583881324820035
Original,1,contexto,2.285198244248522
Original,1,contexto global,3.463853240590168
Original,1,contextos,2.3652409519220585
Original,1,continua,3.0583881324820035
Original,1,continuo,3.0583881324820035
Original,1,contribuir,3.0583881324820035
Original,1,contribuyendo,3.0583881324820035
Original,1,creación,3.2407096892759584
Original,1,crear,3.0583881324820035
Original,1,criterios,2.904237452654745
Original,1,crítico,2.7707060600302227
Original,1,cuenta,2.7707060600302227
Original,1,datos,1.672093771362113
Original,1,decisiones,2.285198244248522
Original,1,desafíos,2.6529230243738393
Original,1,desarrolla,2.904237452654745
Original,1,desarrollar,1.959775843813894
Original,1,desarrollar soluciones,3.0583881324820035
Original,1,desarrollo,1.5543107357057295
Original,1,desarrollo sostenible,3.0583881324820035
Original,1,desempeñarse,2.3652409519220585
Original,1,desempeño,2.6529230243738393
Original,1,diferentes,3.2407096892759584
Original,1,digital,2.904237452654745
Original,1,digitales,2.7707060600302227
Original,1,dirección,3.463853240590168
Original,1,disciplina,2.6529230243738393
Original,1,disciplinar,3.2407096892759584
Original,1,diseñar,1.9057086225436182
Original,1,diseñar desarrollar,3.0583881324820035
Original,1,diseñar implementar,2.4522523289116878
Original,1,diseño,2.3652409519220585
Original,1,distintas,2.904237452654745
Original,1,distintos,2.904237452654745
Original,1,diversa,3.2407096892759584
Original,1,diversas,2.904237452654745
Original,1,diversidad,2.904237452654745
Original,1,diversos,2.7707060600302227
Original,1,docente,3.463853240590168
Original,1,duración,3.0583881324820035
Original,1,económico,3.0583881324820035
Original,1,educación,3.2407096892759584
Original,1,educación superior,3.751535313041949
Original,1,efectiva,2.3652409519220585
Original,1,eficiencia,2.547562508716013
Original,1,eficiente,3.0583881324820035
Original,1,eficientes,3.0583881324820035
Original,1,egresado,2.547562508716013
Original,1,egreso,2.285198244248522
Original,1,ejecución,3.2407096892759584
Original,1,ejercicio,2.904237452654745
Original,1,ello,3.0583881324820035
Original,1,emergentes,3.0583881324820035
Original,1,emprender,3.0583881324820035
Original,1,emprendimiento,2.6529230243738393
Original,1,empresarial,3.463853240590168
Original,1,empresariales,3.751535313041949
Original,1,empresas,2.4522523289116878
Original,1,enfoque,2.7707060600302227
Original,1,entorno,2.547562508716013
Original,1,equipo,2.6529230243738393
Original,1,equipos,1.672093771362113
Original,1,equipos multidisciplinarios,2.547562508716013
Original,1,equipos trabajo,2.3652409519220585
Original,1,especialidad,2.904237452654745
Original,1,estrategias,3.0583881324820035
Original,1,estudiantes,3.463853240590168
Original,1,estudios,2.904237452654745
Original,1,está,3.2407096892759584
Original,1,estándares,2.6529230243738393
Original,1,estándares calidad,3.463853240590168
Original,1,evaluación,3.0583881324820035
Original,1,evaluar,2.6529230243738393
Original,1,evaluar gestionar,3.463853240590168
Original,1,evolución,2.7707060600302227
Original,1,experiencia,3.463853240590168
Original,1,fin,2.904237452654745
Original,1,forma,1.959775843813894
Original,1,formación,1.672093771362113
Original,1,formación ciencias,2.904237452654745
Original,1,formar,2.904237452654745
Original,1,formativo,3.2407096892759584
Original,1,generación,3.0583881324820035
Original,1,generar,2.904237452654745
Original,1,genéricas,3.0583881324820035
Original,1,gestiona,3.463853240590168
Original,1,gestionar,2.0169342576538423
Original,1,gestionar proyectos,3.0583881324820035
Original,1,gestión,1.672093771362113
Original,1,gestión información,3.463853240590168
Original,1,gestión proyectos,2.547562508716013
Original,1,global,2.904237452654745
Original,1,habilidades,2.2110902720948
Original,1,hardware,2.7707060600302227
Original,1,herramientas,2.142097400607849
Original,1,herramientas tecnológicas,3.2407096892759584
Original,1,identificar,2.904237452654745
Original,1,idioma,2.7707060600302227
Original,1,idioma inglés,2.7707060600302227
Original,1,impacto,2.904237452654745
Original,1,implementa,3.463853240590168
Original,1,implementación,2.547562508716013
Original,1,implementar,1.959775843813894
Original,1,implementar soluciones,2.904237452654745
Original,1,industria,2.7707060600302227
Original,1,información,1.2666286632539485
Original,1,información comunicaciones,2.7707060600302227
Original,1,información comunicación,2.6529230243738393
Original,1,informática instituto,3.2407096892759584
Original,1,informática universidad,2.0169342576538423
Original,1,informáticas,2.3652409519220585
Original,1,informático,2.6529230243738393
Original,1,informáticos,1.714653385780909
Original,1,ingeniera,3.0583881324820035
Original,1,ingeniero,1.4828517717235845
Original,1,ingeniero civil,2.285198244248522
Original,1,ingeniero informática,2.7707060600302227
Original,1,ingenieros,3.0583881324820035
Original,1,ingeniería,1.1124779834266902
Original,1,ingeniería civil,2.2110902720948
Original,1,ingeniería informática,2.0775588794702773
Original,1,ingeniería software,2.285198244248522
Original,1,inglés,2.547562508716013
Original,1,innovación,1.8056251639866356
Original,1,innovación tecnológica,3.0583881324820035
Original,1,innovador,3.463853240590168
Original,1,innovadoras,2.547562508716013
Original,1,instituciones,3.2407096892759584
Original,1,instituto,3.2407096892759584
Original,1,instituto profesional,3.2407096892759584
Original,1,integración,2.904237452654745
Original,1,integral,2.285198244248522
Original,1,integrar,2.547562508716013
Original,1,inteligencia,2.2110902720948
Original,1,inteligencia artificial,2.285198244248522
Original,1,interdisciplinarios,2.904237452654745
Original,1,internacionales,3.463853240590168
Original,1,investigación,2.904237452654745
Original,1,jefe,2.904237452654745
Original,1,junto,2.904237452654745
Original,1,laboral,3.0583881324820035
Original,1,legal,3.463853240590168
Original,1,legal vigente,3.463853240590168
Original,1,liderando,3.463853240590168
Original,1,liderar,2.7707060600302227
Original,1,liderar equipos,2.904237452654745
Original,1,liderazgo,2.285198244248522
Original,1,malla,3.2407096892759584
Original,1,manejo,3.0583881324820035
Original,1,manera,2.2110902720948
Original,1,mantención,3.2407096892759584
Original,1,mediante,2.6529230243738393
Original,1,medio,2.7707060600302227
Original,1,mejora,3.0583881324820035
Original,1,metodologías,2.7707060600302227
Original,1,modelos,3.0583881324820035
Original,1,multidisciplinarios,2.0775588794702773
Original,1,mundo,2.4522523289116878
Original,1,nacional,2.904237452654745
Original,1,necesidades,2.0775588794702773
Original,1,negocio,3.0583881324820035
Original,1,negocios,2.6529230243738393
Original,1,nivel,2.7707060600302227
Original,1,normativa,3.2407096892759584
Original,1,normativa legal,3.463853240590168
Original,1,nuevas,2.904237452654745
Original,1,nuevos,3.0583881324820035
Original,1,objetivos,3.0583881324820035
Original,1,operar,2.904237452654745
Original,1,oportunidades,2.904237452654745
Original,1,organizacional,3.2407096892759584
Original,1,organizacionales,2.6529230243738393
Original,1,organizaciones,1.8544153281560676
Original,1,organización,2.3652409519220585
Original,1,partir,3.2407096892759584
Original,1,país,2.7707060600302227
Original,1,pensamiento,2.904237452654745
Original,1,perfil,2.0169342576538423
