feature,tfidf_mean,tfidf_std,es_proxy_directo
informática,0.060212996081952,0.038602907623041,True
civil,0.0459896384523272,0.0560161153606477,True
informáticos,0.0398617032099064,0.0498599520246512,True
informática universidad,0.031433762838071,0.0489611069976023,True
ingeniero civil,0.0286665404562874,0.0472485527386157,True
civil informática,0.0281668060826844,0.0544543046327519,True
computación informática,0.0275297252011284,0.0593434285348826,True
ingeniería civil,0.0266818296336447,0.0557338857058316,True
civil computación,0.0224140524569326,0.0557558018775806,True
informático,0.0209495888701019,0.0510349834508345,True
ingeniero informática,0.0178812832734342,0.0432177085809052,True
civil informático,0.0171871104707007,0.0508272299161792,True
ejecución,0.0166427323678201,0.0533388482344217,True
ingeniero ejecución,0.0129122512706787,0.0454235212744673,True
ingeniera civil,0.0126065102649989,0.0500447099745954,True
ejecución informática,0.010166503614015,0.0401460239486088,True
