condicion,fold,n_test,f1_macro,accuracy,f1_civil,f1_ejecucion,f1_informatica
Original,1,13,0.888888888888889,0.8461538461538461,0.8333333333333334,1.0,0.8333333333333334
Original,2,12,0.7222222222222222,0.75,0.8333333333333334,0.6666666666666666,0.6666666666666666
Original,3,12,0.8777777777777779,0.8333333333333334,0.8333333333333334,1.0,0.8
Original,4,12,0.7286324786324787,0.75,0.7692307692307693,0.6666666666666666,0.75
Original,5,12,0.44047619047619047,0.6666666666666666,0.75,0.0,0.5714285714285714
Enmascarado,1,13,0.6444444444444445,0.6923076923076923,0.6,0.5,0.8333333333333334
Enmascarado,2,12,0.7962962962962963,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8888888888888888
Enmascarado,3,12,0.4603174603174603,0.6666666666666666,0.7142857142857143,0.0,0.6666666666666666
Enmascarado,4,12,0.23809523809523805,0.3333333333333333,0.42857142857142855,0.0,0.2857142857142857
Enmascarado,5,12,0.34640522875817,0.5833333333333334,0.7058823529411765,0.0,0.3333333333333333
