grado,termino,log2_ratio_prevalencia,documentos_grado,total_documentos_grado,documentos_resto,total_documentos_resto,prevalencia_grado,prevalencia_resto,motivo_exclusion
Civil,academico,-0.044394119358453395,3,32,3,31,0.09375,0.0967741935483871,prevalencia_suavizada_no_superior_al_resto
Civil,actualizacion,-0.8923910259134035,2,32,4,31,0.0625,0.12903225806451613,prevalencia_suavizada_no_superior_al_resto
Civil,adaptarse,-0.4069641987431617,3,32,4,31,0.09375,0.12903225806451613,prevalencia_suavizada_no_superior_al_resto
Civil,ademas,-0.2048587915516995,8,32,9,31,0.25,0.2903225806451613,prevalencia_suavizada_no_superior_al_resto
Civil,ambito,-0.4918530963296749,5,32,7,31,0.15625,0.22580645161290322,prevalencia_suavizada_no_superior_al_resto
Civil,ambitos,-0.04439411935845356,4,32,4,31,0.125,0.12903225806451613,prevalencia_suavizada_no_superior_al_resto
Civil,analisis datos,-0.044394119358453395,3,32,3,31,0.09375,0.0967741935483871,prevalencia_suavizada_no_superior_al_resto
Civil,analitica,-1.1818976431083883,2,32,5,31,0.0625,0.16129032258064516,prevalencia_suavizada_no_superior_al_resto
Civil,analizar,-0.28540221886224837,5,32,6,31,0.15625,0.1935483870967742,prevalencia_suavizada_no_superior_al_resto
Civil,aplicacion,-0.3339007365534385,4,32,5,31,0.125,0.16129032258064516,prevalencia_suavizada_no_superior_al_resto
Civil,aplicaciones,-0.4069641987431617,3,32,4,31,0.09375,0.12903225806451613,prevalencia_suavizada_no_superior_al_resto
Civil,aplicando,-1.1439297929093677,3,32,7,31,0.09375,0.22580645161290322,prevalencia_suavizada_no_superior_al_resto
Civil,apoyar,-0.5298209465286953,2,32,3,31,0.0625,0.0967741935483871,prevalencia_suavizada_no_superior_al_resto
Civil,aprendizaje,-0.22496636500027437,7,32,8,31,0.21875,0.25806451612903225,prevalencia_suavizada_no_superior_al_resto
Civil,area,-0.7813597135246597,4,32,7,31,0.125,0.22580645161290322,prevalencia_suavizada_no_superior_al_resto
Civil,asimismo,-1.1818976431083883,2,32,5,31,0.0625,0.16129032258064516,prevalencia_suavizada_no_superior_al_resto
Civil,asociados,-0.8923910259134035,2,32,4,31,0.0625,0.12903225806451613,prevalencia_suavizada_no_superior_al_resto
Civil,autonoma,-0.4069641987431617,3,32,4,31,0.09375,0.12903225806451613,prevalencia_suavizada_no_superior_al_resto
Civil,bajo,-0.5298209465286953,2,32,3,31,0.0625,0.0967741935483871,prevalencia_suavizada_no_superior_al_resto
Civil,basadas,-0.5298209465286953,2,32,3,31,0.0625,0.0967741935483871,prevalencia_suavizada_no_superior_al_resto
Civil,bases,-1.8099288657214305,2,32,8,31,0.0625,0.25806451612903225,prevalencia_suavizada_no_superior_al_resto
Civil,bases datos,-1.6293566200796095,2,32,7,31,0.0625,0.22580645161290322,prevalencia_suavizada_no_superior_al_resto
Civil,basicas ingenieria,1.8300749985576876,5,32,1,31,0.15625,0.03225806451612903,denominacion_grado
Civil,bien,-0.9374789154419416,3,32,6,31,0.09375,0.1935483870967742,prevalencia_suavizada_no_superior_al_resto
Civil,bien comun,-0.6964708159381465,3,32,5,31,0.09375,0.16129032258064516,prevalencia_suavizada_no_superior_al_resto
Civil,calidad,-1.2019353963449335,6,32,14,31,0.1875,0.45161290322580644,prevalencia_suavizada_no_superior_al_resto
Civil,campo,-0.04439411935845356,4,32,4,31,0.125,0.12903225806451613,prevalencia_suavizada_no_superior_al_resto
Civil,capacidad,-0.5652262826598938,11,32,16,31,0.34375,0.5161290322580645,prevalencia_suavizada_no_superior_al_resto
Civil,capacidad trabajar,-0.8923910259134035,2,32,4,31,0.0625,0.12903225806451613,prevalencia_suavizada_no_superior_al_resto
Civil,capacidades,-0.044394119358453395,3,32,3,31,0.09375,0.0967741935483871,prevalencia_suavizada_no_superior_al_resto
Civil,capacitado,-0.5749088360572334,4,32,6,31,0.125,0.1935483870967742,prevalencia_suavizada_no_superior_al_resto
Civil,carrera ingenieria,0.16205675810897274,7,32,6,31,0.21875,0.1935483870967742,denominacion_grado
Civil,catolica,-0.9374789154419416,3,32,6,31,0.09375,0.1935483870967742,prevalencia_suavizada_no_superior_al_resto
Civil,chile,-0.8923910259134035,2,32,4,31,0.0625,0.12903225806451613,contexto_institucional_geografico
