grado,termino,log2_ratio_prevalencia,documentos_grado,total_documentos_grado,documentos_resto,total_documentos_resto,prevalencia_grado,prevalencia_resto,ranking
Civil,estudios,3.656045598782639,6,32,0,31,0.1875,0.0,1
Civil,destacan,3.415037499278844,5,32,0,31,0.15625,0.0,2
Civil,fundamentos,3.415037499278844,5,32,0,31,0.15625,0.0,3
Civil,basicas ciencias,2.4581062211707296,8,32,1,31,0.25,0.03225806451612903,4
Civil,disciplina,2.277533975528909,7,32,1,31,0.21875,0.03225806451612903,5
Civil,formacion ciencias,2.277533975528909,7,32,1,31,0.21875,0.03225806451612903,6
Civil,basicas,2.102447268970818,15,32,3,31,0.46875,0.0967741935483871,7
Civil,ciencias basicas,2.102447268970818,15,32,3,31,0.46875,0.0967741935483871,8
Civil,alto,2.0710830980614823,6,32,1,31,0.1875,0.03225806451612903,9
Civil,responsable,2.0710830980614823,6,32,1,31,0.1875,0.03225806451612903,10
Civil,ciencias,1.8698760066156628,24,32,6,31,0.75,0.1935483870967742,11
Civil,junto,1.8300749985576876,5,32,1,31,0.15625,0.03225806451612903,12
Civil,ingles,1.7211406270045235,8,32,2,31,0.25,0.06451612903225806,13
Civil,problemas complejos,1.7211406270045235,8,32,2,31,0.25,0.06451612903225806,14
Civil,sostenible,1.7211406270045235,8,32,2,31,0.25,0.06451612903225806,15
Ejecución,cristiana,3.297680548640685,3,5,3,58,0.6,0.05172413793103448,1
Ejecución,desenvolverse,3.297680548640685,3,5,3,58,0.6,0.05172413793103448,2
Ejecución,respeto,2.9351104692559766,3,5,4,58,0.6,0.06896551724137931,3
Ejecución,concepcion,2.8122537214704435,2,5,3,58,0.4,0.05172413793103448,4
Ejecución,lenguajes programacion,2.8122537214704435,2,5,3,58,0.4,0.05172413793103448,5
Ejecución,promocion,2.8122537214704435,2,5,3,58,0.4,0.05172413793103448,6
Ejecución,proyectos software,2.8122537214704435,2,5,3,58,0.4,0.05172413793103448,7
Ejecución,implementar soluciones,2.449683642085735,2,5,4,58,0.4,0.06896551724137931,8
Ejecución,lenguajes,2.449683642085735,2,5,4,58,0.4,0.06896551724137931,9
Ejecución,mantencion,2.449683642085735,2,5,4,58,0.4,0.06896551724137931,10
Ejecución,partir,2.449683642085735,2,5,4,58,0.4,0.06896551724137931,11
Ejecución,catolica,2.404595752557197,3,5,6,58,0.6,0.10344827586206896,12
Ejecución,sello,2.198144875089771,3,5,7,58,0.6,0.1206896551724138,13
Ejecución,comprometido,2.1601770248907504,2,5,5,58,0.4,0.08620689655172414,14
Ejecución,diversas,2.1601770248907504,2,5,5,58,0.4,0.08620689655172414,15
Informática,laboral,4.19347972942121,6,26,0,37,0.23076923076923078,0.0,1
Informática,buenas,3.9524716299174143,5,26,0,37,0.19230769230769232,0.0,2
Informática,buenas practicas,3.9524716299174143,5,26,0,37,0.19230769230769232,0.0,3
Informática,componentes,3.9524716299174143,5,26,0,37,0.19230769230769232,0.0,4
Informática,contribuyendo,2.608517228700053,6,26,1,37,0.23076923076923078,0.02702702702702703,5
Informática,desarrollar soluciones,2.608517228700053,6,26,1,37,0.23076923076923078,0.02702702702702703,6
Informática,disenar desarrollar,2.608517228700053,6,26,1,37,0.23076923076923078,0.02702702702702703,7
Informática,distintas,2.608517228700053,6,26,1,37,0.23076923076923078,0.02702702702702703,8
Informática,practicas,2.608517228700053,6,26,1,37,0.23076923076923078,0.02702702702702703,9
Informática,proyectos tecnologicos,2.608517228700053,6,26,1,37,0.23076923076923078,0.02702702702702703,10
Informática,metodologias,2.4190394298363405,9,26,2,37,0.34615384615384615,0.05405405405405406,11
Informática,acuerdo,2.3675091291962578,5,26,1,37,0.19230769230769232,0.02702702702702703,12
Informática,industria,2.2585747576430943,8,26,2,37,0.3076923076923077,0.05405405405405406,13
Informática,generar,2.078002512001273,7,26,2,37,0.2692307692307692,0.05405405405405406,14
Informática,permitan,2.078002512001273,7,26,2,37,0.2692307692307692,0.05405405405405406,15
