grado,termino,log2_ratio_prevalencia,documentos_grado,total_documentos_grado,documentos_resto,total_documentos_resto,prevalencia_grado,prevalencia_resto,ranking
Civil,disciplina,3.6546360285279675,6,31,0,30,0.1935483870967742,0.0,1
Civil,fundamentos,3.6546360285279675,6,31,0,30,0.1935483870967742,0.0,2
Civil,semestres,3.1241213118291875,4,31,0,30,0.12903225806451613,0.0,3
Civil,comunicarse,2.0696735278068115,6,31,1,30,0.1935483870967742,0.03333333333333333,4
Civil,economico,2.0696735278068115,6,31,1,30,0.1935483870967742,0.03333333333333333,5
Civil,estudios,2.0696735278068115,6,31,1,30,0.1935483870967742,0.03333333333333333,6
Civil,ingles,2.0696735278068115,6,31,1,30,0.1935483870967742,0.03333333333333333,7
Civil,identificar,1.8286654283030164,5,31,1,30,0.16129032258064516,0.03333333333333333,8
Civil,idioma ingles,1.8286654283030164,5,31,1,30,0.16129032258064516,0.03333333333333333,9
Civil,solida formacion,1.8286654283030164,5,31,1,30,0.16129032258064516,0.03333333333333333,10
Civil,basicas,1.790697578103996,12,31,3,30,0.3870967741935484,0.1,11
Civil,ciencias basicas,1.790697578103996,12,31,3,30,0.3870967741935484,0.1,12
Civil,ciencias,1.6800213469478809,21,31,6,30,0.6774193548387096,0.2,13
Civil,medio,1.5391588111080314,7,31,2,30,0.22580645161290322,0.06666666666666667,14
Civil,colaborativa,1.5391588111080314,4,31,1,30,0.12903225806451613,0.03333333333333333,15
Ejecución,instituciones,3.733354340613827,3,5,2,56,0.6,0.03571428571428571,1
Ejecución,desenvolverse,3.2479275134435857,3,5,3,56,0.6,0.05357142857142857,2
Ejecución,respeto,3.2479275134435857,3,5,3,56,0.6,0.05357142857142857,3
Ejecución,automatizacion,2.762500686273344,2,5,3,56,0.4,0.05357142857142857,4
Ejecución,comprometido,2.762500686273344,2,5,3,56,0.4,0.05357142857142857,5
Ejecución,concepcion,2.762500686273344,2,5,3,56,0.4,0.05357142857142857,6
Ejecución,cristiana,2.762500686273344,2,5,3,56,0.4,0.05357142857142857,7
Ejecución,promocion,2.762500686273344,2,5,3,56,0.4,0.05357142857142857,8
Ejecución,bien,2.3999306068886357,2,5,4,56,0.4,0.07142857142857142,9
Ejecución,bien comun,2.3999306068886357,2,5,4,56,0.4,0.07142857142857142,10
Ejecución,lenguajes,2.3999306068886357,2,5,4,56,0.4,0.07142857142857142,11
Ejecución,lenguajes programacion,2.3999306068886357,2,5,4,56,0.4,0.07142857142857142,12
Ejecución,partir,2.3999306068886357,2,5,4,56,0.4,0.07142857142857142,13
Ejecución,privadas,2.3999306068886357,2,5,4,56,0.4,0.07142857142857142,14
Ejecución,publicas,2.3999306068886357,2,5,4,56,0.4,0.07142857142857142,15
Informática,distintas,4.20945336562895,6,25,0,36,0.24,0.0,1
Informática,laboral,4.20945336562895,6,25,0,36,0.24,0.0,2
Informática,buenas,3.968445266125155,5,25,0,36,0.2,0.0,3
Informática,buenas practicas,3.968445266125155,5,25,0,36,0.2,0.0,4
Informática,componentes,3.968445266125155,5,25,0,36,0.2,0.0,5
Informática,mercado,3.968445266125155,5,25,0,36,0.2,0.0,6
Informática,metodologias,2.8309417423752197,7,25,1,36,0.28,0.027777777777777776,7
Informática,practicas,2.8309417423752197,7,25,1,36,0.28,0.027777777777777776,8
Informática,podra,2.6244908649077936,6,25,1,36,0.24,0.027777777777777776,9
Informática,proyectos tecnologicos,2.6244908649077936,6,25,1,36,0.24,0.027777777777777776,10
Informática,soluciones innovadoras,2.6244908649077936,6,25,1,36,0.24,0.027777777777777776,11
Informática,contribuyendo,2.3834827654039983,5,25,1,36,0.2,0.027777777777777776,12
Informática,desarrollar soluciones,2.3834827654039983,5,25,1,36,0.2,0.027777777777777776,13
Informática,problematicas,2.3834827654039983,5,25,1,36,0.2,0.027777777777777776,14
Informática,resolucion,2.3834827654039983,5,25,1,36,0.2,0.027777777777777776,15
