feature,tfidf_mean,tfidf_std
ingeniería,0.06695919530674888,0.040286049574629966
informática,0.06390968586518839,0.03583193561587665
información,0.05740384673932781,0.04429436984277179
soluciones,0.055949632665925945,0.046397154601027876
tecnologías,0.049483230379752295,0.033702360304987675
software,0.048229157152195716,0.04138925526313142
civil,0.04728118246739116,0.056914669607589584
desarrollo,0.04705172191341273,0.045464034637901926
datos,0.046233802027212785,0.04756121569437931
conocimientos,0.046125073984491324,0.05620646552706119
ciencias,0.04527072292274997,0.05109470140838964
universidad,0.04377949915838008,0.03891218219381713
capacidad,0.042973112784690494,0.06164183449111226
tecnologías información,0.0398472464946447,0.04024744087947619
organizaciones,0.03909521941585697,0.04919422788872356
problemas,0.03842143694408942,0.04474678846442159
equipos,0.03837437360434946,0.04232143349597544
trabajo,0.038245006123389,0.04447190483611874
carrera,0.03761836772774306,0.0477907044211404
diseñar,0.037053116461799346,0.05291199803483885
forma,0.03652977826445042,0.05795046343534491
innovación,0.03644700476192434,0.04591700590687863
capaz,0.03588399284849296,0.054376017904462136
social,0.03570142720900148,0.04304044588045956
gestionar,0.03426493123195242,0.04695794634701645
ingeniería civil,0.03296782042892693,0.06202389760092227
permite,0.03288471948409704,0.049061339360458714
calidad,0.032414363403029396,0.052624200689818566
implementar,0.03214903542801588,0.049423016526581924
resolver,0.032139520859267474,0.043684489304652824
desarrollar,0.03148231960462139,0.04418951354676866
desempeñarse,0.03118585916895174,0.06036579386407072
posee,0.0296247109695946,0.048811290983367166
computacionales,0.029569087599113957,0.0640890510804199
informática universidad,0.029244753016465227,0.044873224612333194
multidisciplinarios,0.0286973359996696,0.04385252579214604
necesidades,0.028253567046508516,0.045873321612120314
capaces,0.02820499704799521,0.0669769922720085
ingeniero civil,0.028135490961226507,0.04925921373792402
inteligencia,0.02809523633190466,0.051498171809531236
perfil,0.027046393736510882,0.040931875571212965
diseño,0.02692490206124627,0.04818696149856854
ciencias básicas,0.02628318359671739,0.04374796844724696
básicas,0.02628318359671739,0.04374796844724696
servicios,0.026137545126826176,0.04572396625813983
responsabilidad,0.026121543050393346,0.04212830909778202
proyectos informáticos,0.02592069453285115,0.046329447789725954
ética,0.025456267563778747,0.042563658232263796
así,0.025277934267403032,0.0500168734559811
áreas,0.025104622225289763,0.050490518871859236
tecnológicos,0.024960855312923386,0.04271673110013854
egreso,0.02483129378392248,0.04995051700072347
soluciones tecnológicas,0.024636085753281564,0.05247882425228496
innovadoras,0.024552919290775382,0.04634741541402645
ciencias ingeniería,0.024382069965371487,0.04504443331182618
contexto,0.024283439551733205,0.04802339869338047
principios,0.024076951160284805,0.047013300805217866
nivel,0.024045527870115876,0.04939773627463876
sistemas información,0.024032953183531488,0.050065332356437085
herramientas,0.02395311079053711,0.043077107702155545
decisiones,0.023799465088631972,0.043028703505337114
estándares,0.023705275011487194,0.0513075736784973
programa,0.023664950012227116,0.054367575034634415
mejora,0.023540080749844993,0.05401058498029441
sistemas informáticos,0.023376147547056574,0.04772197267277283
redes,0.023130139746835122,0.050261000718969925
integral,0.023022311473571474,0.045513515102303885
ingeniería software,0.02300105517484186,0.04422517802561074
sólida,0.022996281068791414,0.04617431211287037
eficiencia,0.02276736451102173,0.04648256014317137
compromiso,0.022674984066747828,0.04368157985395599
equipos multidisciplinarios,0.0225824442105062,0.04315419159403493
manera,0.02253624537645341,0.04305300653436216
visión,0.022500647940568486,0.04277913717309292
considerando,0.02227982306566801,0.0477018952684058
sólida formación,0.022266353157304207,0.04689708138013385
civil computación,0.021982570164486726,0.056487020541515
complejos,0.02181723464974388,0.04463352656839712
egresado,0.021803484670157337,0.04413011394490366
evaluar,0.021545824047245015,0.04847303316636305
ciencia,0.021427329048099686,0.04884459368086057
carrera ingeniería,0.021128065692417177,0.044956706871178025
vida,0.020880575531204752,0.04988491197423763
empresas,0.020707845306714896,0.05045517941011035
aprendizaje,0.020591358126540043,0.038809616623014624
analizar,0.020494264867047796,0.04608479277818846
uso,0.020460844315328363,0.042913180325494994
gestionar proyectos,0.02036076208011925,0.047688668004307176
desarrolla,0.02018203513127952,0.046485985791300394
