indice,feature,seleccionada
0,000,1
1,10,0
2,2026,1
3,25,1
4,académico,1
5,acreditación,0
6,actualización,0
7,acuerdo,1
8,adaptarse,0
9,además,0
10,administrar,1
11,admisión,1
12,alto,1
13,ambiental,1
14,analista,0
15,analizar,1
16,analítica,0
17,anual,0
18,análisis,1
19,análisis datos,1
20,aplica,1
21,aplicaciones,1
22,aplicación,0
23,aplicada,1
24,aplicando,1
25,aplicar,0
26,apoyar,1
27,aprendizaje,1
28,arancel,1
29,arancel anual,0
30,aranceles,0
31,artificial,0
32,as,1
33,asimismo,1
34,asociados,1
35,así,1
36,autónoma,1
37,año,1
38,años,1
39,basadas,1
40,base,1
41,bases,1
42,bases datos,1
43,bien,1
44,bien común,1
45,buenas,1
46,buenas prácticas,1
47,básicas,1
48,básicas ciencias,1
49,básicas ingeniería,1
50,calidad,1
51,calidad seguridad,1
52,campo,1
53,campus,0
54,capaces,1
55,capacidad,1
56,capacidades,1
57,capacitado,1
58,capaz,1
59,carrera,1
60,carrera ingeniería,1
61,carreras,1
62,católica,1
63,chile,1
64,ciberseguridad,1
65,ciclo,0
66,ciclo vida,1
67,ciencia,1
68,ciencia datos,0
69,ciencias,1
70,ciencias básicas,1
71,ciencias ingeniería,1
72,civil,1
73,civil computación,1
74,civil informática,0
75,civil informático,1
76,competencias,0
77,complejos,1
78,comprometido,1
79,compromiso,1
80,compromiso ético,1
81,computacionales,1
82,computación,0
83,computación informática,0
84,comunicaciones,0
85,comunicación,0
86,comunicación efectiva,1
87,comunicarse,1
88,común,1
89,concebir,1
90,concebir diseñar,0
91,concepción,1
92,conocimiento,1
93,conocimientos,1
94,considerando,1
95,constante,1
96,consultor,0
97,contexto,1
98,contextos,0
99,continua,0
100,contribuir,1
101,contribuyendo,1
102,creación,0
103,crear,1
104,cristiana,0
105,criterios,1
106,crítico,1
107,cuenta,0
108,datos,1
109,decisiones,1
110,desafíos,1
111,desarrolla,1
112,desarrollar,1
113,desarrollar soluciones,0
114,desarrollo,1
115,desarrollo software,0
116,desarrollo sostenible,1
117,desempeña,1
118,desempeñarse,1
119,desempeño,1
120,desenvolverse,1
121,diferentes,0
122,digital,1
123,digitales,1
124,disciplina,1
125,disciplinar,0
126,diseña,1
127,diseñar,1
128,diseñar desarrollar,1
129,diseñar implementar,0
130,diseño,1
131,distintas,1
132,distintos,1
133,diversa,1
134,diversas,1
135,diversidad,1
136,diversos,1
137,duración,0
138,económico,0
139,educación,1
140,efectiva,0
141,eficiencia,1
142,eficiente,1
143,eficientes,0
144,egresado,1
145,egreso,1
146,ejecución,1
147,ejercicio,1
148,ello,1
149,emergentes,0
150,emprendimiento,0
151,emprendimientos,1
152,empresarial,0
153,empresas,1
154,enfoque,0
155,entorno,1
156,equipo,1
157,equipos,1
158,equipos multidisciplinarios,1
159,equipos trabajo,1
160,especialidad,1
161,estrategias,1
162,estudiantes,1
163,está,1
164,estándares,1
165,estándares calidad,1
166,evaluación,1
167,evaluar,1
168,evaluar gestionar,1
169,evolución,1
170,experiencia,1
171,fin,1
172,forma,1
173,formación,0
174,formación ciencias,1
175,formación integral,0
176,formación permite,1
177,formar,0
178,generación,0
179,generar,0
180,generar soluciones,0
181,gestiona,1
182,gestionar,1
183,gestionar proyectos,1
184,gestión,0
185,gestión proyectos,1
186,global,1
187,habilidades,0
188,hardware,0
189,herramientas,1
190,humana,1
191,identificar,1
192,idioma,1
193,idioma inglés,1
194,impacto,1
195,implementa,1
196,implementación,0
197,implementar,1
198,implementar soluciones,1
199,industria,0
200,información,1
