fold,n_test,F1_macro,F1_macro_3clases,Accuracy,F1_Civil,F1_Ejecucion,F1_Informatica,SMOTE_k,clases_reales_test,contiene_3_clases
1,7,1.0,1.0,1.0,1.0,1.0,1.0,2,Civil/Ejecución/Informática,True
2,6,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,2,Civil/Informática,False
3,6,0.4523809523809524,0.4523809523809524,0.6666666666666666,0.8571428571428571,0.0,0.5,2,Civil/Informática,False
4,6,0.8285714285714285,0.5523809523809523,0.8333333333333334,0.8571428571428571,0.0,0.8,2,Civil/Informática,False
5,6,0.625,0.4166666666666667,0.6666666666666666,0.5,0.0,0.75,2,Civil/Informática,False
6,6,0.4857142857142857,0.3238095238095238,0.5,0.5714285714285714,0.0,0.4,2,Civil/Informática,False
7,6,1.0,1.0,1.0,1.0,1.0,1.0,2,Civil/Ejecución/Informática,True
8,6,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.75,1.0,0.0,2,Civil/Ejecución/Informática,True
9,6,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.6666666666666666,1.0,0.5,2,Civil/Ejecución/Informática,True
10,6,0.6190476190476191,0.6190476190476191,0.8333333333333334,0.8571428571428571,0.0,1.0,2,Civil/Ejecución/Informática,True
