feature,tfidf_mean,tfidf_std
ingeniería,0.06298519926871637,0.045660179928674154
informática,0.06021299608195205,0.03860290762304107
soluciones,0.05604932779016088,0.05024188070651147
tecnologías,0.04906616290005598,0.038918926749016744
desarrollo,0.047597351912949615,0.04546230649828849
ingeniero,0.04715087171198666,0.04242027959788316
civil,0.04598963845232727,0.056016115360647774
software,0.045831028597517316,0.04136433478878249
gestión,0.04571866367339054,0.05396530216631648
capacidad,0.04373515056822309,0.06183886457875325
ciencias,0.04361408088251971,0.0541195775915104
conocimientos,0.04262206351276098,0.05725506923204641
tecnologías información,0.04049858836277503,0.046542372999476396
formación,0.040099203328500185,0.051055523285909246
informáticos,0.03986170320990643,0.04985995202465121
computación,0.03926472201650047,0.0681899966159103
organizaciones,0.03913461639711485,0.04822794741389727
equipos,0.037994708482770825,0.0393653743939744
profesionales,0.03721898385002761,0.06421932268391375
diseñar,0.036651020960378033,0.05576760155674518
social,0.03612087743827742,0.04378632853478841
comunicación,0.035746386816474116,0.05167556269430214
forma,0.0349469227143591,0.05857090045394103
capaz,0.03486089083479516,0.0533521886567291
procesos,0.03438494116417675,0.04588927100210066
permite,0.0320421625981028,0.05076966870752284
informática universidad,0.03143376283807103,0.048961106997602304
además,0.0312815263187365,0.05623407260676128
calidad,0.030860253975194218,0.061116503807321976
servicios,0.030347028140250636,0.06012013956225695
posee,0.030223208966756454,0.04828327440597766
multidisciplinarios,0.02954133512153181,0.04384760161091452
habilidades,0.0294195803875512,0.06916851227123082
empresas,0.029243983235898562,0.06834049060741774
necesidades,0.029141394335886053,0.04716692300889414
competencias,0.029124284111198127,0.04687961554658215
ingeniero civil,0.02866654045628745,0.04724855273861579
responsabilidad,0.028212731553766992,0.04624439577928812
civil informática,0.02816680608268441,0.05445430463275191
desempeñarse,0.02803603242132257,0.06185847250742374
soluciones tecnológicas,0.027943099724208432,0.055429307754433804
contexto,0.027812204558324935,0.047924246602405594
así,0.027676651311733143,0.057951185566202906
ética,0.027531343355033048,0.04767847372041934
computación informática,0.027529725201128404,0.05934342853488269
ingeniería civil,0.026681829633644703,0.055733885705831696
aplicar,0.02620342432894251,0.06471065553443289
tecnológica,0.02553139489562558,0.04816048706854513
través,0.02505767140621898,0.045754063844888504
inteligencia,0.024991601918877823,0.0514141612406318
computacionales,0.024771204606066622,0.06178541142710571
sociedad,0.024573563403807213,0.05291796473904307
ciencias ingeniería,0.024046717354973685,0.04571805816682849
mejora,0.024035593064489397,0.049493415087529816
herramientas,0.023872659340850786,0.04695921543847412
ciencias básicas,0.023490257955104874,0.04336069344357
básicas,0.023490257955104874,0.04336069344357
inteligencia artificial,0.02335249678426361,0.052965046985321465
ámbito,0.023238799689319682,0.05276119834668281
egreso,0.023193000294241473,0.05059282596471686
diseñar implementar,0.023091498241421544,0.050481975543150974
ingeniería software,0.02264909342399445,0.046608433815071994
contextos,0.022601282771063325,0.045469618916299484
implementación,0.022487114954416878,0.05026502744029626
ético,0.02244881722005633,0.057929094573403
civil computación,0.022414052456932614,0.05575580187758064
resolver problemas,0.022362793528665947,0.041747292084118905
principios,0.022328007636563008,0.04469918967608184
equipos multidisciplinarios,0.02216729015567778,0.04326265452650583
toma,0.02171146567497826,0.04285419453611006
organizacionales,0.021686088088299697,0.049558280530209435
considerando,0.02164606125123897,0.0514425538318064
digital,0.0212996443610785,0.05353157168569141
informático,0.020949588870101964,0.05103498345083454
equipos trabajo,0.020526561234618552,0.04160900944798911
eficiencia,0.02014615476685745,0.04386320476301103
emprendimiento,0.019967982947896524,0.04575319001281069
perfil egreso,0.019925268254671166,0.043953732418403786
éticos,0.019921026090115323,0.05100629017628791
ciencia,0.019838353584989542,0.04799456459469333
profesionales capaces,0.019817244785666387,0.06993845001281178
requerimientos,0.019809733930903288,0.04969500629805361
diversos,0.019610088747606245,0.041934795074053385
personas,0.019437248356304147,0.04046392937594491
sector,0.019422254216263927,0.05289115730541952
egresado,0.019372073018626475,0.044792203067367885
chile,0.019354404234973067,0.05174371213618235
desarrollo software,0.019343880859622978,0.048726479647151995
país,0.01921669178143303,0.04675571509127077
integrar,0.018882638117144038,0.04755204094764091
vida,0.018588333491738242,0.047143798567728004
analizar,0.01847136462485932,0.04311965312577444
aplicando,0.01807688478417596,0.04985726045531732
realizar,0.017965741533186527,0.047558649579267545
ingeniero informática,0.0178812832734342,0.04321770858090524
continua,0.01786907579662678,0.043587497270241915
tecnología,0.017804136852477573,0.04356899102303162
ingeniera,0.017751607501708903,0.055275358516559715
conocimiento,0.01756951563496798,0.04800622644538437
crítico,0.017436946339681555,0.040843199582804246
permanente,0.01734807687418267,0.03915433130386778
entorno,0.01733800984815159,0.04050095030019723
diferentes,0.017262625313462013,0.05494377199763467
civil informático,0.017187110470700713,0.05082722991617924
sistemas información,0.01709519563284647,0.040793709591163616
generar,0.017050592396922658,0.046944031583448884
distintas,0.016939219163883846,0.05501356615121378
eficientes,0.016885445608042077,0.046249101248751256
proceso,0.01686207586771758,0.04592283992414191
identificar,0.016814194348655814,0.054708523443945674
comunicaciones,0.016780800686812647,0.04419223269697708
ejecución,0.016642732367820146,0.0533388482344217
global,0.016549023135382764,0.04192678741677316
análisis,0.01654692430434681,0.04154366234775355
cualquier,0.016544785917480816,0.04833847875304951
tecnológico,0.016506447699898036,0.04434213899814552
inglés,0.016504248685145627,0.04689768994441062
telecomunicaciones,0.016427070614689385,0.053270333120821016
