Fold,rol,fila_datos,grupo_cv,grado
1,train,1,grupo_001,Ejecución
1,train,2,grupo_002,Civil
1,train,4,grupo_004,Civil
1,train,5,grupo_005,Civil
1,train,6,grupo_006,Civil
1,train,7,grupo_007,Civil
1,train,8,grupo_008,Civil
1,train,10,grupo_010,Civil
1,train,11,grupo_011,Ejecución
1,train,12,grupo_012,Informática
1,train,13,grupo_013,Civil
1,train,14,grupo_014,Civil
1,train,15,grupo_015,Informática
1,train,16,grupo_016,Civil
1,train,17,grupo_017,Informática
1,train,20,grupo_020,Informática
1,train,21,grupo_021,Civil
1,train,22,grupo_022,Informática
1,train,23,grupo_023,Civil
1,train,25,grupo_025,Informática
1,train,26,grupo_026,Informática
1,train,27,grupo_027,Civil
1,train,28,grupo_028,Civil
1,train,31,grupo_031,Informática
1,train,32,grupo_032,Informática
1,train,35,grupo_035,Civil
1,train,37,grupo_037,Informática
1,train,39,grupo_039,Civil
1,train,40,grupo_040,Informática
1,train,41,grupo_041,Civil
1,train,42,grupo_042,Civil
1,train,43,grupo_043,Civil
1,train,44,grupo_044,Civil
1,train,45,grupo_045,Civil
1,train,47,grupo_047,Civil
1,train,48,grupo_048,Informática
1,train,52,grupo_052,Informática
1,train,53,grupo_053,Informática
1,train,54,grupo_054,Informática
1,train,55,grupo_055,Ejecución
1,train,57,grupo_056,Informática
1,train,58,grupo_057,Civil
1,train,59,grupo_058,Informática
1,train,61,grupo_060,Informática
1,train,62,grupo_061,Informática
1,train,63,grupo_062,Civil
1,test,3,grupo_003,Informática
1,test,9,grupo_009,Informática
1,test,18,grupo_018,Civil
1,test,19,grupo_019,Civil
1,test,24,grupo_024,Civil
1,test,29,grupo_029,Ejecución
1,test,30,grupo_030,Civil
1,test,33,grupo_033,Civil
1,test,34,grupo_034,Informática
1,test,36,grupo_036,Informática
1,test,38,grupo_038,Civil
1,test,46,grupo_046,Civil
1,test,49,grupo_049,Informática
1,test,50,grupo_050,Informática
1,test,51,grupo_051,Informática
1,test,56,grupo_029,Ejecución
1,test,60,grupo_059,Civil
2,train,3,grupo_003,Informática
2,train,4,grupo_004,Civil
2,train,5,grupo_005,Civil
2,train,6,grupo_006,Civil
2,train,8,grupo_008,Civil
2,train,9,grupo_009,Informática
2,train,10,grupo_010,Civil
2,train,11,grupo_011,Ejecución
2,train,12,grupo_012,Informática
2,train,17,grupo_017,Informática
2,train,18,grupo_018,Civil
2,train,19,grupo_019,Civil
2,train,21,grupo_021,Civil
2,train,22,grupo_022,Informática
2,train,23,grupo_023,Civil
2,train,24,grupo_024,Civil
2,train,25,grupo_025,Informática
2,train,29,grupo_029,Ejecución
2,train,30,grupo_030,Civil
2,train,32,grupo_032,Informática
2,train,33,grupo_033,Civil
2,train,34,grupo_034,Informática
2,train,35,grupo_035,Civil
2,train,36,grupo_036,Informática
2,train,37,grupo_037,Informática
2,train,38,grupo_038,Civil
2,train,39,grupo_039,Civil
2,train,41,grupo_041,Civil
2,train,42,grupo_042,Civil
2,train,43,grupo_043,Civil
2,train,44,grupo_044,Civil
2,train,45,grupo_045,Civil
2,train,46,grupo_046,Civil
2,train,47,grupo_047,Civil
2,train,48,grupo_048,Informática
2,train,49,grupo_049,Informática
2,train,50,grupo_050,Informática
2,train,51,grupo_051,Informática
2,train,52,grupo_052,Informática
2,train,54,grupo_054,Informática
2,train,55,grupo_055,Ejecución
2,train,56,grupo_029,Ejecución
2,train,57,grupo_056,Informática
2,train,58,grupo_057,Civil
2,train,59,grupo_058,Informática
2,train,60,grupo_059,Civil
2,train,61,grupo_060,Informática
2,test,1,grupo_001,Ejecución
2,test,2,grupo_002,Civil
2,test,7,grupo_007,Civil
2,test,13,grupo_013,Civil
2,test,14,grupo_014,Civil
2,test,15,grupo_015,Informática
2,test,16,grupo_016,Civil
2,test,20,grupo_020,Informática
2,test,26,grupo_026,Informática
2,test,27,grupo_027,Civil
2,test,28,grupo_028,Civil
2,test,31,grupo_031,Informática
2,test,40,grupo_040,Informática
2,test,53,grupo_053,Informática
2,test,62,grupo_061,Informática
2,test,63,grupo_062,Civil
3,train,1,grupo_001,Ejecución
3,train,2,grupo_002,Civil
3,train,3,grupo_003,Informática
3,train,5,grupo_005,Civil
3,train,6,grupo_006,Civil
3,train,7,grupo_007,Civil
3,train,8,grupo_008,Civil
3,train,9,grupo_009,Informática
3,train,11,grupo_011,Ejecución
3,train,12,grupo_012,Informática
3,train,13,grupo_013,Civil
3,train,14,grupo_014,Civil
3,train,15,grupo_015,Informática
3,train,16,grupo_016,Civil
3,train,17,grupo_017,Informática
3,train,18,grupo_018,Civil
3,train,19,grupo_019,Civil
3,train,20,grupo_020,Informática
3,train,22,grupo_022,Informática
3,train,24,grupo_024,Civil
3,train,25,grupo_025,Informática
3,train,26,grupo_026,Informática
3,train,27,grupo_027,Civil
3,train,28,grupo_028,Civil
3,train,29,grupo_029,Ejecución
3,train,30,grupo_030,Civil
3,train,31,grupo_031,Informática
3,train,32,grupo_032,Informática
3,train,33,grupo_033,Civil
3,train,34,grupo_034,Informática
3,train,35,grupo_035,Civil
3,train,36,grupo_036,Informática
3,train,38,grupo_038,Civil
3,train,39,grupo_039,Civil
3,train,40,grupo_040,Informática
3,train,42,grupo_042,Civil
3,train,45,grupo_045,Civil
3,train,46,grupo_046,Civil
3,train,49,grupo_049,Informática
3,train,50,grupo_050,Informática
3,train,51,grupo_051,Informática
3,train,53,grupo_053,Informática
3,train,56,grupo_029,Ejecución
3,train,57,grupo_056,Informática
3,train,58,grupo_057,Civil
3,train,60,grupo_059,Civil
3,train,62,grupo_061,Informática
3,train,63,grupo_062,Civil
3,test,4,grupo_004,Civil
3,test,10,grupo_010,Civil
3,test,21,grupo_021,Civil
3,test,23,grupo_023,Civil
3,test,37,grupo_037,Informática
3,test,41,grupo_041,Civil
3,test,43,grupo_043,Civil
3,test,44,grupo_044,Civil
3,test,47,grupo_047,Civil
3,test,48,grupo_048,Informática
3,test,52,grupo_052,Informática
3,test,54,grupo_054,Informática
3,test,55,grupo_055,Ejecución
3,test,59,grupo_058,Informática
3,test,61,grupo_060,Informática
4,train,1,grupo_001,Ejecución
4,train,2,grupo_002,Civil
4,train,3,grupo_003,Informática
4,train,4,grupo_004,Civil
4,train,7,grupo_007,Civil
4,train,9,grupo_009,Informática
4,train,10,grupo_010,Civil
4,train,13,grupo_013,Civil
4,train,14,grupo_014,Civil
4,train,15,grupo_015,Informática
4,train,16,grupo_016,Civil
4,train,18,grupo_018,Civil
4,train,19,grupo_019,Civil
4,train,20,grupo_020,Informática
4,train,21,grupo_021,Civil
4,train,23,grupo_023,Civil
4,train,24,grupo_024,Civil
4,train,26,grupo_026,Informática
4,train,27,grupo_027,Civil
4,train,28,grupo_028,Civil
4,train,29,grupo_029,Ejecución
4,train,30,grupo_030,Civil
4,train,31,grupo_031,Informática
4,train,33,grupo_033,Civil
4,train,34,grupo_034,Informática
4,train,36,grupo_036,Informática
4,train,37,grupo_037,Informática
4,train,38,grupo_038,Civil
4,train,40,grupo_040,Informática
4,train,41,grupo_041,Civil
4,train,43,grupo_043,Civil
4,train,44,grupo_044,Civil
4,train,46,grupo_046,Civil
4,train,47,grupo_047,Civil
4,train,48,grupo_048,Informática
4,train,49,grupo_049,Informática
4,train,50,grupo_050,Informática
4,train,51,grupo_051,Informática
4,train,52,grupo_052,Informática
4,train,53,grupo_053,Informática
4,train,54,grupo_054,Informática
4,train,55,grupo_055,Ejecución
4,train,56,grupo_029,Ejecución
4,train,59,grupo_058,Informática
4,train,60,grupo_059,Civil
4,train,61,grupo_060,Informática
4,train,62,grupo_061,Informática
4,train,63,grupo_062,Civil
4,test,5,grupo_005,Civil
4,test,6,grupo_006,Civil
4,test,8,grupo_008,Civil
4,test,11,grupo_011,Ejecución
4,test,12,grupo_012,Informática
4,test,17,grupo_017,Informática
4,test,22,grupo_022,Informática
4,test,25,grupo_025,Informática
4,test,32,grupo_032,Informática
4,test,35,grupo_035,Civil
4,test,39,grupo_039,Civil
4,test,42,grupo_042,Civil
4,test,45,grupo_045,Civil
4,test,57,grupo_056,Informática
4,test,58,grupo_057,Civil
