fila_datos,grupo_cv,grado,criterio,indice_fuente,universidad,carrera,url,Fold,grado_real,grado_predicho,correcto
1,grupo_001,Ejecución,perfil individual,1,Universidad de Santiago de Chile,Ingeniería de Ejecución en Computación e Informática,https://admision.usach.cl/carreras/ingenieria-de-ejecucion-en-computacion-e-informatica,2,Ejecución,Ejecución,True
2,grupo_002,Civil,perfil individual,2,Universidad de Santiago de Chile,Ingeniería Civil en Informática,https://admision.usach.cl/carreras/ingenieria-civil-en-informatica-plan-comun,2,Civil,Civil,True
3,grupo_003,Informática,perfil individual,3,Universidad de Valparaíso,Ingeniería en Informática,https://admision.uv.cl/carreras/ingenieria-en-informatica,1,Informática,Ejecución,False
4,grupo_004,Civil,perfil individual,4,Universidad de Valparaíso,Ingeniería Civil en Informática,https://admision.uv.cl/carreras/ingenieria-civil-informatica,3,Civil,Informática,False
5,grupo_005,Civil,perfil individual,5,Universidad de Chile,Ingeniería Civil en Computación,https://admisionuchile.cl/career/ingenieria-civil-en-computacion/,4,Civil,Informática,False
6,grupo_006,Civil,perfil individual,6,Universidad de Atacama,Ingeniería Civil en Computación e Informática,https://admision.uda.cl/index.php/ingenieria-civil-en-computacion-e-informatica/,4,Civil,Civil,True
7,grupo_007,Civil,perfil individual,7,Universidad de la Serena,Ingeniería Civil en Computación e Informática,https://admision.userena.cl/carreras/ingenieria-civil-en-computacion-e-informatica,2,Civil,Civil,True
8,grupo_008,Civil,perfil individual,8,Universidad de Talca,Ingeniería Civil en Computación,https://admision.utalca.cl/carreras/ingenieria-civil-en-computacion/,4,Civil,Civil,True
9,grupo_009,Informática,perfil individual,9,Universidad de Talca,Ingeniería en Informática Empresarial,https://admision.utalca.cl/carreras/ingenieria-en-informatica-empresarial/,1,Informática,Civil,False
10,grupo_010,Civil,perfil individual,10,Universidad del Biobío,Ingeniería Civil en Informática,https://ubiobio.cl/admision/Todas_las_Carreras/17/Ingenieria_Civil_en_Informatica_Concepcion/,3,Civil,Civil,True
11,grupo_011,Ejecución,perfil individual,11,Universidad del Biobío,Ingenieria de Ejecución en Computación e Informática,https://ubiobio.cl/admision/Ciencias_Empresariales/21/Ingenieria_de_Ejecucion_en_Computacion_e_Informatica/,4,Ejecución,Civil,False
12,grupo_012,Informática,perfil individual,12,Universidad de la Frontera,Ingenieria Informática,https://admision.ufro.cl/ingenieria-informatica/,4,Informática,Civil,False
13,grupo_013,Civil,perfil individual,13,Universidad de la Frontera,Ingenieria Civil Informatica,https://admision.ufro.cl/ingenieria-civil-informatica/,2,Civil,Civil,True
14,grupo_014,Civil,perfil individual,14,Universidad de los Lagos,Ingenieria Civil en Informatica,https://admision.ulagos.cl/Carreras/ingenieria-civil-en-informatica/,2,Civil,Civil,True
15,grupo_015,Informática,perfil individual,15,Universidad de Magallanes,Ingenieria en Computacion e Informatica,https://admision.umag.cl/?page_id=35,2,Informática,Civil,False
16,grupo_016,Civil,perfil individual,16,Universidad de Magallanes,Ingenieria Civil en Computacion e Informatica,https://admision.umag.cl/?page_id=27,2,Civil,Civil,True
17,grupo_017,Informática,perfil individual,17,Universidad Tecnologica Metropolitana,Ingenieria en Informatica,https://conocetucarrera.utem.cl/ingenieria-en-informatica/,4,Informática,Civil,False
18,grupo_018,Civil,perfil individual,18,Universidad Tecnologica Metropolitana,Ingenieria Civil en Computacion mencion Informatica,https://conocetucarrera.utem.cl/ingenieria-civil-en-computacion-mencion-informatica/,1,Civil,Civil,True
19,grupo_019,Civil,perfil individual,19,Universidad de Ohiggins,Ingenieria Civil en Computacion,https://www.uoh.cl/escuela-de-ingenieria/carreras/ingenieria-civil-en-computacion/,1,Civil,Civil,True
20,grupo_020,Informática,perfil individual,20,Universidad de Bernardo Ohiggins,Ingenieria Informatica,https://www.ubo.cl/facultades/facultad-de-ingenieria-ciencia-y-tecnologia/ingenieria-en-informatica/,2,Informática,Civil,False
21,grupo_021,Civil,perfil individual,21,Universidad de Aysen,Ingenieria Civil Informatica,https://uaysen.cl/departamentos/ciencias-naturales-y-tecnologia/ingenieria-civil-informatica/,3,Civil,Civil,True
22,grupo_022,Informática,perfil individual,22,Pontificia Universidad Catolica de Valparaiso,Ingenieria en Informatica,https://www.pucv.cl/pucv/pregrado/ingenieria-en-informatica,4,Informática,Civil,False
23,grupo_023,Civil,perfil individual,23,Universidad de Concepcion,Ingenieria Civil Informatica,https://admision.udec.cl/ingenieria-civil-informatica/,3,Civil,Civil,True
24,grupo_024,Civil,perfil individual,24,Universidad Tecnica Federico Santa Maria,Ingenieria Civil Informatica,https://usm.cl/admision/carreras/ingenieria-civil-informatica/,1,Civil,Civil,True
25,grupo_025,Informática,perfil individual,25,Universidad Tecnica Federico Santa Maria,Ingenieria Informatica,https://usm.cl/admision/carreras/ingenieria-en-informatica/,4,Informática,Civil,False
26,grupo_026,Informática,perfil individual,26,Universidad Catolica del Norte,Ingenieria en Computacion e Informatica,https://admision.ucn.cl/carreras/tecnologia-computacion/ingenieria-en-computacion-e-informatica/,2,Informática,Civil,False
27,grupo_027,Civil,perfil individual,27,Universidad Catolica del Norte,Ingenieria Civil en Computacion e Informatica,https://admision.ucn.cl/carreras/tecnologia-computacion/ingenieria-civil-en-computacion-e-informatica/,2,Civil,Civil,True
28,grupo_028,Civil,perfil individual,28,Universidad de la Santisima Concepcion,Ingenieria Civil Informatica,https://ingenieria.ucsc.cl/carreras/ingenieria-civil-informatica/,2,Civil,Ejecución,False
29,grupo_029,Ejecución,grupo:ucsc_ejecucion_informatica,29,Universidad de la Santisima Concepcion,Ingenieria de Ejecucion en Informatica,https://it.ucsc.cl/carreras/ingenieria-de-ejecucion-en-informatica/,1,Ejecución,Civil,False
30,grupo_030,Civil,perfil individual,30,Universidad Catolica de Temuco,Ingenieria Civil en Informatica,https://admision.uct.cl/ing-civil-informatica/,1,Civil,Civil,True
31,grupo_031,Informática,perfil individual,31,Universidad de las Américas,Ingenieria en Informatica,https://ingenieria.udla.cl/carreras/ingenieria-en-informatica/,2,Informática,Civil,False
32,grupo_032,Informática,perfil individual,32,Universidad Andres Bello,Ingenieria en Computacion e Informatica,https://admision.unab.cl/carreras/ingenieria-en-computacion-e-informatica/,4,Informática,Informática,True
33,grupo_033,Civil,perfil individual,33,Universidad Autonoma de Chile,Ingenieria Civil Informatica,https://admision.uautonoma.cl/carreras/ingenieria-civil-informatica/,1,Civil,Civil,True
