indice,grado,denominaciones_enmascaradas,texto_modificado
0,Informática,0,False
1,Informática,1,True
2,Informática,1,True
3,Informática,2,True
4,Informática,1,True
5,Informática,1,True
6,Informática,1,True
7,Informática,1,True
8,Informática,27,True
9,Informática,0,False
10,Civil,1,True
11,Civil,0,False
12,Informática,0,False
13,Civil,1,True
14,Informática,0,False
15,Civil,3,True
16,Civil,0,False
17,Ejecución,0,False
18,Ejecución,0,False
19,Civil,0,False
20,Informática,0,False
21,Informática,0,False
22,Civil,1,True
23,Informática,1,True
24,Civil,1,True
25,Civil,2,True
26,Civil,0,False
27,Informática,0,False
28,Civil,3,True
29,Informática,1,True
30,Civil,0,False
31,Informática,1,True
32,Informática,1,True
33,Civil,1,True
34,Civil,2,True
35,Civil,2,True
36,Informática,5,True
37,Civil,0,False
38,Civil,2,True
39,Civil,1,True
40,Informática,0,False
41,Civil,0,False
42,Civil,0,False
43,Ejecución,1,True
44,Civil,0,False
45,Civil,1,True
46,Informática,1,True
47,Informática,0,False
48,Civil,1,True
49,Civil,5,True
50,Informática,1,True
51,Ejecución,0,False
52,Civil,1,True
53,Civil,0,False
54,Informática,1,True
55,Civil,0,False
56,Civil,0,False
57,Ejecución,0,False
58,Civil,0,False
59,Civil,1,True
60,Civil,1,True
