grado_real,grado_predicho,correcto
Informática,Informática,True
Informática,Informática,True
Informática,Informática,True
Informática,Informática,True
Informática,Civil,False
Informática,Informática,True
Informática,Informática,True
Informática,Informática,True
Informática,Civil,False
Informática,Informática,True
Civil,Informática,False
Civil,Civil,True
Informática,Informática,True
Civil,Informática,False
Informática,Informática,True
Civil,Civil,True
Civil,Civil,True
Ejecución,Ejecución,True
Ejecución,Civil,False
Civil,Civil,True
Informática,Civil,False
Informática,Informática,True
Civil,Civil,True
Informática,Informática,True
Civil,Civil,True
Civil,Civil,True
Civil,Civil,True
Informática,Civil,False
Civil,Informática,False
Informática,Informática,True
Civil,Informática,False
Informática,Ejecución,False
Informática,Civil,False
Civil,Civil,True
Civil,Civil,True
Civil,Civil,True
Informática,Civil,False
Civil,Civil,True
Civil,Ejecución,False
Civil,Ejecución,False
Informática,Ejecución,False
Civil,Civil,True
Civil,Civil,True
Ejecución,Civil,False
Civil,Informática,False
Civil,Civil,True
Informática,Civil,False
Informática,Informática,True
Civil,Informática,False
Civil,Civil,True
Informática,Civil,False
Ejecución,Ejecución,True
Civil,Ejecución,False
Civil,Civil,True
Informática,Informática,True
Civil,Civil,True
Civil,Civil,True
Ejecución,Ejecución,True
Civil,Civil,True
Civil,Civil,True
Civil,Civil,True
