fold_externo,condicion,n_train,n_test,modelo,n_features,smote_k,F1_macro,Accuracy
1,Original,46,17,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.47338935574229696,0.6470588235294118
1,Solo_titulos,46,17,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.47338935574229696,0.6470588235294118
1,Seleccion_anidada,46,17,ComplementNB_SMOTE_alpha=0.5,400,2.0,0.47338935574229696,0.6470588235294118
1,Agresivo,46,17,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.39999999999999997,0.5294117647058824
2,Original,47,16,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.5604288499025342,0.625
2,Solo_titulos,47,16,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.5253411306042884,0.5625
2,Seleccion_anidada,47,16,LogisticRegression_balanced_C=0.5,400,,0.6037037037037037,0.625
2,Agresivo,47,16,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.5253411306042884,0.5625
3,Original,48,15,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.9027777777777778,0.8666666666666667
3,Solo_titulos,48,15,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.548076923076923,0.8
3,Seleccion_anidada,48,15,ComplementNB_sinSMOTE_alpha=0.1,400,,0.9027777777777778,0.8666666666666667
3,Agresivo,48,15,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.548076923076923,0.8
4,Original,48,15,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.3055555555555555,0.5333333333333333
4,Solo_titulos,48,15,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.2740740740740741,0.4666666666666667
4,Seleccion_anidada,48,15,ComplementNB_SMOTE_alpha=0.1,400,2.0,0.3055555555555555,0.5333333333333333
4,Agresivo,48,15,ComplementNB_SMOTE_alpha=1.0,400,2.0,0.2740740740740741,0.4666666666666667
