fold_externo,modelo,fold_interno,f1_macro,smote_k
1,ComplementNB_SMOTE_alpha=0.1,1,0.3988095238095238,1.0
1,ComplementNB_SMOTE_alpha=0.1,2,0.7270955165692007,1.0
1,ComplementNB_SMOTE_alpha=0.1,3,0.39015151515151514,1.0
1,ComplementNB_SMOTE_alpha=0.5,1,0.4157509157509158,1.0
1,ComplementNB_SMOTE_alpha=0.5,2,0.5511695906432749,1.0
1,ComplementNB_SMOTE_alpha=0.5,3,0.5707070707070706,1.0
1,ComplementNB_SMOTE_alpha=1.0,1,0.4157509157509158,1.0
1,ComplementNB_SMOTE_alpha=1.0,2,0.5511695906432749,1.0
1,ComplementNB_SMOTE_alpha=1.0,3,0.4349206349206349,1.0
1,ComplementNB_sinSMOTE_alpha=0.1,1,0.3444444444444444,
1,ComplementNB_sinSMOTE_alpha=0.1,2,0.4456140350877193,
1,ComplementNB_sinSMOTE_alpha=0.1,3,0.375,
1,ComplementNB_sinSMOTE_alpha=0.5,1,0.38611111111111107,
1,ComplementNB_sinSMOTE_alpha=0.5,2,0.4456140350877193,
1,ComplementNB_sinSMOTE_alpha=0.5,3,0.404040404040404,
1,ComplementNB_sinSMOTE_alpha=1.0,1,0.4257703081232493,
1,ComplementNB_sinSMOTE_alpha=1.0,2,0.3814814814814815,
1,ComplementNB_sinSMOTE_alpha=1.0,3,0.404040404040404,
1,LogisticRegression_balanced_C=0.5,1,0.38611111111111107,
1,LogisticRegression_balanced_C=0.5,2,0.4456140350877193,
1,LogisticRegression_balanced_C=0.5,3,0.404040404040404,
1,LogisticRegression_balanced_C=1.0,1,0.38611111111111107,
1,LogisticRegression_balanced_C=1.0,2,0.4456140350877193,
1,LogisticRegression_balanced_C=1.0,3,0.404040404040404,
1,LogisticRegression_balanced_C=5.0,1,0.4257703081232493,
1,LogisticRegression_balanced_C=5.0,2,0.4456140350877193,
1,LogisticRegression_balanced_C=5.0,3,0.404040404040404,
1,LinearSVC_balanced_C=0.1,1,0.39057239057239057,
1,LinearSVC_balanced_C=0.1,2,0.3055555555555555,
1,LinearSVC_balanced_C=0.1,3,0.3814814814814815,
1,LinearSVC_balanced_C=0.5,1,0.4678362573099415,
1,LinearSVC_balanced_C=0.5,2,0.4456140350877193,
1,LinearSVC_balanced_C=0.5,3,0.34385964912280703,
1,LinearSVC_balanced_C=1.0,1,0.42735042735042733,
1,LinearSVC_balanced_C=1.0,2,0.4456140350877193,
1,LinearSVC_balanced_C=1.0,3,0.34385964912280703,
1,Ridge_balanced_alpha=0.5,1,0.4257703081232493,
1,Ridge_balanced_alpha=0.5,2,0.4456140350877193,
1,Ridge_balanced_alpha=0.5,3,0.404040404040404,
1,Ridge_balanced_alpha=1.0,1,0.4257703081232493,
1,Ridge_balanced_alpha=1.0,2,0.4456140350877193,
1,Ridge_balanced_alpha=1.0,3,0.404040404040404,
1,Ridge_balanced_alpha=2.0,1,0.38611111111111107,
1,Ridge_balanced_alpha=2.0,2,0.4456140350877193,
1,Ridge_balanced_alpha=2.0,3,0.404040404040404,
2,ComplementNB_SMOTE_alpha=0.1,1,0.37606837606837606,2.0
2,ComplementNB_SMOTE_alpha=0.1,2,0.3891402714932127,1.0
2,ComplementNB_SMOTE_alpha=0.1,3,0.43333333333333335,2.0
2,ComplementNB_SMOTE_alpha=0.5,1,0.3545454545454545,2.0
2,ComplementNB_SMOTE_alpha=0.5,2,0.34640522875817,1.0
2,ComplementNB_SMOTE_alpha=0.5,3,0.43333333333333335,2.0
2,ComplementNB_SMOTE_alpha=1.0,1,0.3545454545454545,2.0
