fold_externo,condicion,feature,idf
1,Original,000,3.751535313041949
1,Original,10,2.904237452654745
1,Original,2026,3.463853240590168
1,Original,25,3.751535313041949
1,Original,académico,3.2407096892759584
1,Original,acciones,3.2407096892759584
1,Original,acreditación,3.751535313041949
1,Original,actitud,3.0583881324820035
1,Original,actualización,3.0583881324820035
1,Original,adaptarse,2.904237452654745
1,Original,además,2.0169342576538423
1,Original,administración,3.0583881324820035
1,Original,administrar,3.0583881324820035
1,Original,admisión,3.463853240590168
1,Original,alto,3.0583881324820035
1,Original,ambiental,2.904237452654745
1,Original,ambiente,3.0583881324820035
1,Original,amplio,3.2407096892759584
1,Original,analizar,2.547562508716013
1,Original,analítica,3.2407096892759584
1,Original,anual,3.751535313041949
1,Original,análisis,2.6529230243738393
1,Original,análisis datos,3.0583881324820035
1,Original,aplica,3.2407096892759584
1,Original,aplicaciones,2.904237452654745
1,Original,aplicación,2.6529230243738393
1,Original,aplicada,2.7707060600302227
1,Original,aplicando,2.7707060600302227
1,Original,aplicar,2.3652409519220585
1,Original,aprendizaje,2.2110902720948
1,Original,arancel,3.751535313041949
1,Original,arancel anual,3.751535313041949
1,Original,aranceles,3.751535313041949
1,Original,artificial,2.285198244248522
1,Original,as,3.463853240590168
1,Original,asimismo,3.0583881324820035
1,Original,asociados,3.0583881324820035
1,Original,así,2.3652409519220585
1,Original,año,3.0583881324820035
1,Original,años,3.751535313041949
1,Original,basadas,3.463853240590168
1,Original,base,2.547562508716013
1,Original,bases,2.904237452654745
1,Original,bases datos,3.0583881324820035
1,Original,bien,2.904237452654745
1,Original,bien común,3.0583881324820035
1,Original,buenas,3.463853240590168
1,Original,buenas prácticas,3.463853240590168
1,Original,básicas,2.0775588794702773
1,Original,básicas ciencias,2.7707060600302227
1,Original,básicas ingeniería,3.0583881324820035
1,Original,calidad,2.0169342576538423
1,Original,calidad seguridad,3.463853240590168
1,Original,campo,2.904237452654745
1,Original,campus,3.463853240590168
1,Original,capaces,2.547562508716013
1,Original,capacidad,1.714653385780909
1,Original,capacidad trabajar,3.0583881324820035
1,Original,capacidades,2.904237452654745
1,Original,capacitado,2.7707060600302227
1,Original,capaz,2.0169342576538423
1,Original,capaz concebir,3.463853240590168
1,Original,carrera,1.672093771362113
1,Original,carrera ingeniería,2.3652409519220585
1,Original,carreras,3.463853240590168
1,Original,católica,2.904237452654745
1,Original,ciberseguridad,3.2407096892759584
1,Original,ciencia,2.6529230243738393
1,Original,ciencia datos,3.0583881324820035
1,Original,ciencias,1.672093771362113
1,Original,ciencias básicas,2.0775588794702773
1,Original,ciencias ingeniería,2.4522523289116878
1,Original,civil,1.672093771362113
1,Original,civil computación,2.904237452654745
1,Original,civil informática,2.142097400607849
1,Original,competencias,1.9057086225436182
1,Original,complejos,2.4522523289116878
1,Original,compromiso,2.285198244248522
1,Original,compromiso ético,3.2407096892759584
1,Original,computacionales,2.547562508716013
1,Original,computación,1.9057086225436182
1,Original,computación informática,2.3652409519220585
1,Original,comunicaciones,2.547562508716013
1,Original,comunicación,1.8056251639866356
1,Original,comunicación efectiva,2.6529230243738393
1,Original,comunicarse,2.904237452654745
1,Original,común,2.7707060600302227
1,Original,concebir,3.0583881324820035
1,Original,concebir diseñar,3.2407096892759584
1,Original,conocimiento,2.7707060600302227
1,Original,conocimientos,1.6312717768418579
1,Original,considerando,2.4522523289116878
1,Original,constante,2.904237452654745
1,Original,construir,3.0583881324820035
1,Original,consultor,3.0583881324820035
1,Original,contexto,2.285198244248522
1,Original,contexto global,3.463853240590168
1,Original,contextos,2.3652409519220585
1,Original,continua,3.0583881324820035
1,Original,continuo,3.0583881324820035
1,Original,contribuir,3.0583881324820035
1,Original,contribuyendo,3.0583881324820035
1,Original,creación,3.2407096892759584
1,Original,crear,3.0583881324820035
1,Original,criterios,2.904237452654745
1,Original,crítico,2.7707060600302227
1,Original,cuenta,2.7707060600302227
1,Original,datos,1.672093771362113
1,Original,decisiones,2.285198244248522
1,Original,desafíos,2.6529230243738393
1,Original,desarrolla,2.904237452654745
1,Original,desarrollar,1.959775843813894
1,Original,desarrollar soluciones,3.0583881324820035
1,Original,desarrollo,1.5543107357057295
1,Original,desarrollo sostenible,3.0583881324820035
1,Original,desempeñarse,2.3652409519220585
1,Original,desempeño,2.6529230243738393
1,Original,diferentes,3.2407096892759584
1,Original,digital,2.904237452654745
1,Original,digitales,2.7707060600302227
1,Original,dirección,3.463853240590168
1,Original,disciplina,2.6529230243738393
1,Original,disciplinar,3.2407096892759584
1,Original,diseñar,1.9057086225436182
1,Original,diseñar desarrollar,3.0583881324820035
1,Original,diseñar implementar,2.4522523289116878
1,Original,diseño,2.3652409519220585
1,Original,distintas,2.904237452654745
1,Original,distintos,2.904237452654745
1,Original,diversa,3.2407096892759584
1,Original,diversas,2.904237452654745
1,Original,diversidad,2.904237452654745
1,Original,diversos,2.7707060600302227
1,Original,docente,3.463853240590168
1,Original,duración,3.0583881324820035
1,Original,económico,3.0583881324820035
1,Original,educación,3.2407096892759584
1,Original,educación superior,3.751535313041949
1,Original,efectiva,2.3652409519220585
1,Original,eficiencia,2.547562508716013
1,Original,eficiente,3.0583881324820035
1,Original,eficientes,3.0583881324820035
1,Original,egresado,2.547562508716013
1,Original,egreso,2.285198244248522
1,Original,ejecución,3.2407096892759584
1,Original,ejercicio,2.904237452654745
1,Original,ello,3.0583881324820035
1,Original,emergentes,3.0583881324820035
1,Original,emprender,3.0583881324820035
1,Original,emprendimiento,2.6529230243738393
1,Original,empresarial,3.463853240590168
1,Original,empresariales,3.751535313041949
1,Original,empresas,2.4522523289116878
1,Original,enfoque,2.7707060600302227
1,Original,entorno,2.547562508716013
1,Original,equipo,2.6529230243738393
1,Original,equipos,1.672093771362113
1,Original,equipos multidisciplinarios,2.547562508716013
1,Original,equipos trabajo,2.3652409519220585
1,Original,especialidad,2.904237452654745
1,Original,estrategias,3.0583881324820035
1,Original,estudiantes,3.463853240590168
1,Original,estudios,2.904237452654745
1,Original,está,3.2407096892759584
1,Original,estándares,2.6529230243738393
1,Original,estándares calidad,3.463853240590168
1,Original,evaluación,3.0583881324820035
1,Original,evaluar,2.6529230243738393
1,Original,evaluar gestionar,3.463853240590168
1,Original,evolución,2.7707060600302227
1,Original,experiencia,3.463853240590168
1,Original,fin,2.904237452654745
1,Original,forma,1.959775843813894
1,Original,formación,1.672093771362113
1,Original,formación ciencias,2.904237452654745
1,Original,formar,2.904237452654745
1,Original,formativo,3.2407096892759584
1,Original,generación,3.0583881324820035
1,Original,generar,2.904237452654745
1,Original,genéricas,3.0583881324820035
1,Original,gestiona,3.463853240590168
1,Original,gestionar,2.0169342576538423
1,Original,gestionar proyectos,3.0583881324820035
1,Original,gestión,1.672093771362113
1,Original,gestión información,3.463853240590168
1,Original,gestión proyectos,2.547562508716013
1,Original,global,2.904237452654745
1,Original,habilidades,2.2110902720948
1,Original,hardware,2.7707060600302227
1,Original,herramientas,2.142097400607849
1,Original,herramientas tecnológicas,3.2407096892759584
1,Original,identificar,2.904237452654745
1,Original,idioma,2.7707060600302227
1,Original,idioma inglés,2.7707060600302227
1,Original,impacto,2.904237452654745
1,Original,implementa,3.463853240590168
1,Original,implementación,2.547562508716013
1,Original,implementar,1.959775843813894
1,Original,implementar soluciones,2.904237452654745
1,Original,industria,2.7707060600302227
1,Original,información,1.2666286632539485
1,Original,información comunicaciones,2.7707060600302227
1,Original,información comunicación,2.6529230243738393
1,Original,informática instituto,3.2407096892759584
1,Original,informática universidad,2.0169342576538423
1,Original,informáticas,2.3652409519220585
1,Original,informático,2.6529230243738393
1,Original,informáticos,1.714653385780909
1,Original,ingeniera,3.0583881324820035
1,Original,ingeniero,1.4828517717235845
1,Original,ingeniero civil,2.285198244248522
1,Original,ingeniero informática,2.7707060600302227
1,Original,ingenieros,3.0583881324820035
1,Original,ingeniería,1.1124779834266902
1,Original,ingeniería civil,2.2110902720948
1,Original,ingeniería informática,2.0775588794702773
1,Original,ingeniería software,2.285198244248522
1,Original,inglés,2.547562508716013
1,Original,innovación,1.8056251639866356
1,Original,innovación tecnológica,3.0583881324820035
1,Original,innovador,3.463853240590168
1,Original,innovadoras,2.547562508716013
1,Original,instituciones,3.2407096892759584
1,Original,instituto,3.2407096892759584
1,Original,instituto profesional,3.2407096892759584
1,Original,integración,2.904237452654745
1,Original,integral,2.285198244248522
1,Original,integrar,2.547562508716013
1,Original,inteligencia,2.2110902720948
1,Original,inteligencia artificial,2.285198244248522
1,Original,interdisciplinarios,2.904237452654745
1,Original,internacionales,3.463853240590168
1,Original,investigación,2.904237452654745
1,Original,jefe,2.904237452654745
1,Original,junto,2.904237452654745
1,Original,laboral,3.0583881324820035
1,Original,legal,3.463853240590168
1,Original,legal vigente,3.463853240590168
1,Original,liderando,3.463853240590168
1,Original,liderar,2.7707060600302227
1,Original,liderar equipos,2.904237452654745
1,Original,liderazgo,2.285198244248522
1,Original,malla,3.2407096892759584
1,Original,manejo,3.0583881324820035
1,Original,manera,2.2110902720948
1,Original,mantención,3.2407096892759584
1,Original,mediante,2.6529230243738393
1,Original,medio,2.7707060600302227
1,Original,mejora,3.0583881324820035
1,Original,metodologías,2.7707060600302227
1,Original,modelos,3.0583881324820035
1,Original,multidisciplinarios,2.0775588794702773
1,Original,mundo,2.4522523289116878
1,Original,nacional,2.904237452654745
1,Original,necesidades,2.0775588794702773
1,Original,negocio,3.0583881324820035
1,Original,negocios,2.6529230243738393
1,Original,nivel,2.7707060600302227
1,Original,normativa,3.2407096892759584
1,Original,normativa legal,3.463853240590168
1,Original,nuevas,2.904237452654745
1,Original,nuevos,3.0583881324820035
1,Original,objetivos,3.0583881324820035
1,Original,operar,2.904237452654745
1,Original,oportunidades,2.904237452654745
1,Original,organizacional,3.2407096892759584
1,Original,organizacionales,2.6529230243738393
1,Original,organizaciones,1.8544153281560676
1,Original,organización,2.3652409519220585
1,Original,partir,3.2407096892759584
1,Original,país,2.7707060600302227
1,Original,pensamiento,2.904237452654745
1,Original,perfil,2.0169342576538423
1,Original,perfil egreso,2.3652409519220585
1,Original,permanente,2.4522523289116878
1,Original,permitan,2.6529230243738393
1,Original,permite,2.142097400607849
1,Original,personas,2.3652409519220585
1,Original,plan,3.0583881324820035
1,Original,planificación,3.2407096892759584
1,Original,planificar,2.7707060600302227
1,Original,plataformas,2.904237452654745
1,Original,podrá,3.2407096892759584
1,Original,posee,2.0775588794702773
1,Original,principios,2.6529230243738393
1,Original,privadas,3.0583881324820035
1,Original,privado,2.904237452654745
1,Original,problemas,1.7591051483517428
1,Original,problemas complejos,2.7707060600302227
1,Original,problemáticas,2.904237452654745
1,Original,procesos,1.8544153281560676
1,Original,productivo,3.2407096892759584
1,Original,productos,2.3652409519220585
1,Original,profesional,1.2666286632539485
1,Original,profesional capaz,3.0583881324820035
1,Original,profesional ingeniero,3.2407096892759584
1,Original,profesional integral,3.0583881324820035
1,Original,profesionales,1.959775843813894
1,Original,profesionales capaces,3.2407096892759584
1,Original,profesión,3.0583881324820035
1,Original,programa,2.3652409519220585
1,Original,propios,2.904237452654745
1,Original,proyectos,1.2666286632539485
1,Original,proyectos informáticos,2.4522523289116878
1,Original,proyectos ingeniería,3.0583881324820035
1,Original,proyectos tecnologías,3.2407096892759584
1,Original,proyectos tecnológicos,2.904237452654745
1,Original,prácticas,3.0583881324820035
1,Original,puede,2.904237452654745
1,Original,públicas,3.0583881324820035
1,Original,públicas privadas,3.0583881324820035
1,Original,público,3.0583881324820035
1,Original,quehacer,2.7707060600302227
1,Original,quehacer profesional,3.0583881324820035
1,Original,reconoce,3.2407096892759584
1,Original,recursos,2.4522523289116878
1,Original,redes,2.547562508716013
1,Original,región,3.0583881324820035
1,Original,requerimientos,3.0583881324820035
1,Original,resolución,3.0583881324820035
1,Original,resolución problemas,3.2407096892759584
1,Original,resolver,1.9057086225436182
1,Original,resolver problemas,2.142097400607849
1,Original,respeto,3.0583881324820035
1,Original,responsabilidad,2.0169342576538423
1,Original,responsabilidad social,2.285198244248522
1,Original,responsable,2.904237452654745
1,Original,riesgos,3.0583881324820035
1,Original,rol,3.463853240590168
1,Original,santiago,3.0583881324820035
1,Original,sector,2.6529230243738393
1,Original,sector público,3.2407096892759584
1,Original,sede,3.463853240590168
1,Original,seguridad,2.2110902720948
1,Original,según,3.0583881324820035
1,Original,sello,2.904237452654745
1,Original,semestres,3.0583881324820035
1,Original,sentido,2.6529230243738393
1,Original,servicios,2.142097400607849
1,Original,siendo,2.904237452654745
1,Original,siendo capaz,3.0583881324820035
1,Original,sistemas,1.3844116989103321
1,Original,sistemas computacionales,3.0583881324820035
1,Original,sistemas información,2.285198244248522
1,Original,sistemas informáticos,2.3652409519220585
1,Original,social,1.672093771362113
1,Original,sociales,2.904237452654745
1,Original,sociedad,2.547562508716013
1,Original,software,1.4828517717235845
1,Original,soluciones,1.4828517717235845
1,Original,soluciones informáticas,2.7707060600302227
1,Original,soluciones innovadoras,3.0583881324820035
1,Original,soluciones tecnológicas,2.547562508716013
1,Original,sostenible,2.547562508716013
1,Original,superior,3.463853240590168
1,Original,sustentable,3.0583881324820035
1,Original,sólida,2.3652409519220585
1,Original,sólida formación,2.4522523289116878
1,Original,sólidos,3.0583881324820035
1,Original,tecnología,2.6529230243738393
1,Original,tecnologías,1.2666286632539485
1,Original,tecnologías información,1.5179430915348546
1,Original,tecnológica,2.285198244248522
1,Original,tecnológicas,2.2110902720948
1,Original,tecnológico,2.904237452654745
1,Original,tecnológicos,2.142097400607849
1,Original,telecomunicaciones,3.2407096892759584
1,Original,tic,2.6529230243738393
1,Original,toma,2.6529230243738393
1,Original,toma decisiones,2.6529230243738393
1,Original,trabajar,2.6529230243738393
1,Original,trabajo,1.6312717768418579
1,Original,trabajo equipo,2.904237452654745
1,Original,transformación,2.4522523289116878
1,Original,transformación digital,2.904237452654745
1,Original,través,2.142097400607849
1,Original,trayectoria,3.0583881324820035
1,Original,técnicas,2.7707060600302227
