fold_externo,fold_interno,feature,idf
1,1,2026,3.3353749158170367
1,1,académico,3.3353749158170367
1,1,acciones,3.3353749158170367
1,1,acreditación,3.3353749158170367
1,1,adaptarse,3.0476928433652555
1,1,además,2.0360919316867756
1,1,administración,2.8245492920510458
1,1,administrar,2.8245492920510458
1,1,admisión,3.3353749158170367
1,1,alto,2.6422277352570913
1,1,ambiental,3.0476928433652555
1,1,ambiente,3.0476928433652555
1,1,amplio,3.0476928433652555
1,1,analizar,2.488077055429833
1,1,análisis,2.6422277352570913
1,1,aplicaciones,2.6422277352570913
1,1,aplicación,3.0476928433652555
1,1,aplicada,2.488077055429833
1,1,aplicando,2.8245492920510458
1,1,aplicar,2.35454566280531
1,1,aprendizaje,2.236762627148927
1,1,aprendizaje continuo,2.8245492920510458
1,1,artificial,2.236762627148927
1,1,as,3.0476928433652555
1,1,asimismo,2.8245492920510458
1,1,asociados,3.0476928433652555
1,1,así,2.6422277352570913
1,1,autoaprendizaje,2.8245492920510458
1,1,año,3.0476928433652555
1,1,bajo,3.0476928433652555
1,1,basadas,3.3353749158170367
1,1,base,2.6422277352570913
1,1,bien,2.6422277352570913
1,1,bien común,2.8245492920510458
1,1,básicas,2.236762627148927
1,1,básicas ciencias,2.8245492920510458
1,1,básicas ingeniería,3.0476928433652555
1,1,calidad,1.949080554697146
1,1,campo,2.8245492920510458
1,1,campus,3.3353749158170367
1,1,capaces,2.6422277352570913
1,1,capaces aplicar,3.3353749158170367
1,1,capacidad,1.7949298748698876
1,1,capacitado,2.488077055429833
1,1,capaz,1.949080554697146
1,1,capaz analizar,3.0476928433652555
1,1,caracteriza,2.8245492920510458
1,1,carrera,1.7259370033829362
1,1,carrera universidad,2.8245492920510458
1,1,carreras,3.3353749158170367
1,1,católica,3.0476928433652555
1,1,centrado,3.0476928433652555
1,1,certificación,3.0476928433652555
1,1,ciberseguridad,3.0476928433652555
1,1,ciencia,2.488077055429833
1,1,ciencias,1.7949298748698876
1,1,ciencias básicas,2.236762627148927
1,1,ciencias ingeniería,2.488077055429833
1,1,ciudadanía,3.0476928433652555
1,1,civil,2.488077055429833
1,1,civil computación,2.8245492920510458
1,1,competencias,1.949080554697146
1,1,competencias genéricas,3.0476928433652555
1,1,complejos,2.488077055429833
1,1,comprometido,3.0476928433652555
1,1,compromiso,2.6422277352570913
1,1,computacionales,2.8245492920510458
1,1,computación,1.949080554697146
1,1,computación informática,2.236762627148927
1,1,computadores,3.3353749158170367
1,1,comunicaciones,2.8245492920510458
1,1,comunicación,1.7949298748698876
1,1,comunicación efectiva,2.6422277352570913
1,1,comunicarse,2.6422277352570913
1,1,común,2.488077055429833
1,1,concebir,3.0476928433652555
1,1,concebir diseñar,3.3353749158170367
1,1,concepción,3.0476928433652555
1,1,conocimiento,2.8245492920510458
1,1,conocimientos,1.7259370033829362
1,1,conocimientos ciencia,3.0476928433652555
1,1,considerando,2.6422277352570913
1,1,construir,2.6422277352570913
1,1,consultor,2.8245492920510458
1,1,contexto,2.236762627148927
1,1,contexto global,3.3353749158170367
1,1,contextos,2.236762627148927
1,1,continua,3.3353749158170367
1,1,continuar,3.0476928433652555
1,1,continuo,2.6422277352570913
1,1,contribuir,2.8245492920510458
1,1,contribuyendo,3.0476928433652555
1,1,contribuyendo desarrollo,3.0476928433652555
1,1,coquimbo,3.3353749158170367
1,1,creación,3.3353749158170367
1,1,crear,2.8245492920510458
1,1,cristiana,3.3353749158170367
1,1,criterios,2.488077055429833
1,1,crítico,3.0476928433652555
1,1,cualquier,3.0476928433652555
1,1,cuenta,2.488077055429833
1,1,cultura,3.0476928433652555
1,1,curricular,3.3353749158170367
1,1,cursos,3.3353749158170367
1,1,dar,3.0476928433652555
1,1,datos,1.7259370033829362
1,1,decisiones,2.236762627148927
1,1,demostrando,3.0476928433652555
1,1,demuestra,2.8245492920510458
1,1,departamento,3.3353749158170367
1,1,desafíos,2.6422277352570913
1,1,desarrolla,3.0476928433652555
1,1,desarrollar,2.0360919316867756
1,1,desarrollar soluciones,3.0476928433652555
1,1,desarrollo,1.60077386042893
1,1,desarrollo software,3.0476928433652555
1,1,desarrollo sostenible,2.6422277352570913
1,1,desempeñarse,2.236762627148927
1,1,desempeño,2.6422277352570913
1,1,digital,2.8245492920510458
1,1,digitales,2.6422277352570913
1,1,disciplina,2.488077055429833
1,1,disciplinar,3.0476928433652555
1,1,diseñar,1.8690378470236095
1,1,diseñar desarrollar,2.8245492920510458
1,1,diseñar implementar,2.6422277352570913
1,1,diseño,2.488077055429833
1,1,distintas,2.8245492920510458
1,1,distintos,2.8245492920510458
1,1,diversa,3.0476928433652555
1,1,diversa índole,3.3353749158170367
1,1,diversas,3.3353749158170367
1,1,diversidad,2.8245492920510458
1,1,duración,3.0476928433652555
1,1,económico,2.8245492920510458
1,1,económico social,3.3353749158170367
1,1,económicos,3.0476928433652555
1,1,educación,3.0476928433652555
1,1,efectiva,2.488077055429833
1,1,eficiencia,2.488077055429833
1,1,eficiente,3.0476928433652555
1,1,eficientes,3.0476928433652555
1,1,egresado,3.0476928433652555
1,1,egreso,2.1314021114911004
1,1,ejecución,3.3353749158170367
1,1,ejercer,3.3353749158170367
1,1,ejercicio,2.6422277352570913
1,1,ello,3.0476928433652555
1,1,emergentes,3.0476928433652555
1,1,emprendedora,3.0476928433652555
1,1,emprender,3.0476928433652555
1,1,emprendimiento,2.488077055429833
1,1,empresarial,3.3353749158170367
1,1,empresas,2.236762627148927
1,1,empresas organizaciones,3.0476928433652555
1,1,enfocado,3.3353749158170367
1,1,enfoque,3.0476928433652555
1,1,entorno,2.236762627148927
1,1,entregar,3.0476928433652555
1,1,entregar soluciones,3.3353749158170367
1,1,equipo,2.236762627148927
1,1,equipos,1.949080554697146
1,1,equipos multidisciplinarios,2.8245492920510458
1,1,equipos trabajo,2.488077055429833
1,1,especialidad,3.3353749158170367
1,1,estudiantes,3.0476928433652555
1,1,estudios,2.6422277352570913
1,1,está,2.8245492920510458
1,1,estándares,2.488077055429833
1,1,evaluar,2.8245492920510458
1,1,evolución,2.8245492920510458
1,1,forma,2.0360919316867756
1,1,formación,1.7259370033829362
1,1,formación ciencias,2.8245492920510458
1,1,formación integral,3.0476928433652555
1,1,formar,2.6422277352570913
1,1,frontera,3.3353749158170367
1,1,generación,3.0476928433652555
1,1,gestionar,2.1314021114911004
1,1,gestionar desarrollar,3.0476928433652555
1,1,gestión,1.6613984822453651
1,1,gestión proyectos,2.488077055429833
1,1,global,2.6422277352570913
1,1,habilidades,2.1314021114911004
1,1,herramientas,2.1314021114911004
1,1,humana,3.0476928433652555
1,1,humanos,3.0476928433652555
1,1,identificar,3.0476928433652555
1,1,idioma,2.8245492920510458
1,1,idioma inglés,2.8245492920510458
1,1,impacto,3.3353749158170367
1,1,implementación,2.8245492920510458
1,1,implementar,1.949080554697146
1,1,implementar soluciones,3.0476928433652555
1,1,inclusión,3.0476928433652555
1,1,incorporando,3.0476928433652555
1,1,independiente,3.0476928433652555
1,1,industria,2.6422277352570913
1,1,industrial,3.3353749158170367
1,1,información,1.2984929885559966
1,1,información comunicación,2.6422277352570913
1,1,informática,1.5436154465889818
1,1,informática universidad,2.35454566280531
1,1,informáticas,2.1314021114911004
1,1,informático,3.0476928433652555
1,1,informáticos,1.7259370033829362
1,1,ingeniera,3.0476928433652555
1,1,ingenieras,3.3353749158170367
1,1,ingeniero,1.7259370033829362
1,1,ingeniero civil,2.488077055429833
1,1,ingeniero informática,3.3353749158170367
1,1,ingenieros,2.8245492920510458
1,1,ingeniería,1.3429447511268304
1,1,ingeniería aplicada,3.0476928433652555
1,1,ingeniería ciencias,3.0476928433652555
1,1,ingeniería software,2.236762627148927
1,1,inglés,2.488077055429833
1,1,ingreso,3.3353749158170367
1,1,innovación,1.8690378470236095
1,1,innovación emprendimiento,3.0476928433652555
1,1,innovadoras,2.8245492920510458
1,1,instituto,3.0476928433652555
1,1,instituto profesional,3.0476928433652555
1,1,integra,3.0476928433652555
1,1,integración,3.0476928433652555
1,1,integral,2.35454566280531
1,1,integrar,2.488077055429833
1,1,inteligencia,2.1314021114911004
1,1,inteligencia artificial,2.236762627148927
1,1,intereses,3.0476928433652555
1,1,internacionales,3.3353749158170367
1,1,investigación,2.8245492920510458
1,1,jefe,2.8245492920510458
1,1,junto,2.6422277352570913
1,1,laboral,2.8245492920510458
1,1,lidera,3.3353749158170367
1,1,lidera proyectos,3.3353749158170367
1,1,liderar,2.8245492920510458
1,1,liderar equipos,3.0476928433652555
1,1,liderazgo,2.35454566280531
1,1,malla,3.3353749158170367
1,1,manera,2.236762627148927
1,1,mantención,3.0476928433652555
1,1,mantener,3.0476928433652555
1,1,mediante,2.488077055429833
1,1,medio,3.0476928433652555
1,1,medio ambiente,3.0476928433652555
1,1,mejora,3.0476928433652555
1,1,mercado,3.0476928433652555
1,1,metodologías,3.0476928433652555
1,1,metropolitana,3.3353749158170367
1,1,modelos,3.0476928433652555
1,1,multidisciplinarios,2.236762627148927
1,1,mundo,2.35454566280531
1,1,nacional,3.0476928433652555
1,1,necesidades,2.0360919316867756
1,1,negocios,2.8245492920510458
1,1,nivel,2.6422277352570913
1,1,normas,3.0476928433652555
1,1,nuevas,2.6422277352570913
1,1,nuevas tecnologías,2.8245492920510458
1,1,nuevos,2.8245492920510458
1,1,operación,3.0476928433652555
1,1,oportunidades,2.8245492920510458
1,1,organizacional,3.0476928433652555
1,1,organizacionales,2.8245492920510458
1,1,organizaciones,1.8690378470236095
1,1,organizaciones sector,3.0476928433652555
1,1,organización,2.488077055429833
1,1,otorga,3.0476928433652555
1,1,pace,3.3353749158170367
1,1,país,2.8245492920510458
1,1,pensamiento,3.0476928433652555
1,1,perfil,1.949080554697146
1,1,perfil egreso,2.236762627148927
1,1,perfil profesional,3.0476928433652555
1,1,permanente,2.35454566280531
1,1,permitan,2.6422277352570913
1,1,permite,2.236762627148927
1,1,permitirá,3.3353749158170367
1,1,persona,2.8245492920510458
1,1,personas,2.488077055429833
1,1,plan,2.8245492920510458
1,1,plan común,3.3353749158170367
1,1,planificación,3.3353749158170367
1,1,planificar,2.8245492920510458
1,1,plataformas,3.0476928433652555
1,1,podrá,3.0476928433652555
1,1,posee,2.236762627148927
1,1,principios,2.488077055429833
1,1,principios éticos,3.3353749158170367
1,1,privadas,3.3353749158170367
1,1,privado,3.0476928433652555
1,1,problemas,1.949080554697146
1,1,problemas complejos,2.6422277352570913
1,1,proceso,3.0476928433652555
1,1,procesos,1.8690378470236095
1,1,productivo,3.0476928433652555
1,1,productos,2.35454566280531
1,1,productos software,3.0476928433652555
1,1,profesional,1.2559333741372007
1,1,profesional capaz,2.8245492920510458
1,1,profesional integral,2.8245492920510458
1,1,profesionales,2.0360919316867756
1,1,profesionales capaces,2.8245492920510458
1,1,profesión,2.6422277352570913
1,1,programa,2.236762627148927
1,1,programas,3.3353749158170367
1,1,promoción,3.0476928433652555
1,1,promoviendo,3.0476928433652555
1,1,propósito,3.0476928433652555
1,1,proyectos,1.2559333741372007
1,1,proyectos informáticos,2.236762627148927
1,1,proyectos tecnológicos,2.8245492920510458
1,1,prácticas,3.3353749158170367
1,1,puede,2.488077055429833
1,1,puede desempeñarse,2.8245492920510458
1,1,público,3.0476928433652555
1,1,quehacer,2.8245492920510458
1,1,reconoce,2.8245492920510458
1,1,recursos,2.488077055429833
1,1,redes,2.6422277352570913
1,1,requerimientos,2.8245492920510458
1,1,resolver,2.0360919316867756
1,1,resolver problemas,2.236762627148927
1,1,respeto,2.8245492920510458
1,1,responsabilidad,2.0360919316867756
1,1,responsabilidad social,2.488077055429833
1,1,responsable,2.8245492920510458
1,1,riesgos,2.8245492920510458
1,1,santiago,3.0476928433652555
1,1,sector,2.6422277352570913
1,1,sector público,3.3353749158170367
1,1,seguridad,2.1314021114911004
1,1,seguridad información,3.0476928433652555
1,1,según,2.8245492920510458
1,1,sello,3.0476928433652555
1,1,sentido,2.6422277352570913
1,1,servicios,2.1314021114911004
1,1,siendo,2.8245492920510458
1,1,siendo capaz,3.0476928433652555
1,1,siguiendo,3.3353749158170367
1,1,sistemas,1.4895482253187058
1,1,sistemas computacionales,3.3353749158170367
1,1,sistemas información,2.1314021114911004
1,1,sistemas informáticos,2.35454566280531
1,1,situaciones,2.8245492920510458
1,1,social,1.8690378470236095
1,1,sociales,3.0476928433652555
1,1,sociedad,2.6422277352570913
1,1,software,1.5436154465889818
1,1,soluciones,1.7259370033829362
1,1,soluciones eficientes,3.3353749158170367
1,1,soluciones informáticas,2.6422277352570913
1,1,soluciones tecnológicas,2.488077055429833
1,1,sostenible,2.35454566280531
1,1,sustentable,3.0476928433652555
1,1,sólida,2.35454566280531
1,1,sólida formación,2.488077055429833
1,1,tales,3.0476928433652555
1,1,tecnología,2.488077055429833
1,1,tecnologías,1.3429447511268304
1,1,tecnologías información,1.6613984822453651
1,1,tecnológica,2.35454566280531
1,1,tecnológicas,2.1314021114911004
1,1,tecnológico,2.8245492920510458
1,1,tecnológicos,2.1314021114911004
1,1,tic,2.8245492920510458
1,1,toma,2.6422277352570913
1,1,toma decisiones,2.6422277352570913
1,1,trabajar,2.8245492920510458
1,1,trabajo,1.60077386042893
1,1,trabajo equipo,2.488077055429833
1,1,trabajo multidisciplinarios,3.0476928433652555
1,1,transformación,2.488077055429833
1,1,transformación digital,2.8245492920510458
1,1,través,2.0360919316867756
1,1,trayectoria,2.8245492920510458
1,1,técnicas,3.0476928433652555
1,1,técnicos,3.0476928433652555
1,1,título,3.0476928433652555
1,1,título profesional,3.0476928433652555
1,1,universidad,1.60077386042893
1,1,universidad católica,3.0476928433652555
1,1,universidad frontera,3.3353749158170367
1,1,uso,2.35454566280531
1,1,utilizando,2.8245492920510458
1,1,valor,2.35454566280531
1,1,valores,3.3353749158170367
1,1,vanguardia,3.0476928433652555
1,1,vida,2.6422277352570913
1,1,visión,2.8245492920510458
1,1,ámbito,2.8245492920510458
1,1,ámbitos,2.8245492920510458
1,1,área,2.6422277352570913
1,1,áreas,2.236762627148927
1,1,ética,2.35454566280531
1,1,ético,2.8245492920510458
1,1,éticos,2.6422277352570913
1,1,índole,3.3353749158170367
1,2,000,3.367123614131617
1,2,10,2.8562979903656265
1,2,acciones,3.0794415416798357
1,2,actualización,2.8562979903656265
1,2,acuerdo,3.367123614131617
1,2,adaptarse,2.8562979903656265
1,2,además,1.9007865453381898
1,2,ambiental,2.6739764335716716
1,2,ambiente,2.8562979903656265
1,2,amplio,3.0794415416798357
1,2,analizar,2.386294361119891
1,2,analítica,2.8562979903656265
1,2,análisis,2.519825753744413
1,2,análisis datos,2.6739764335716716
1,2,aplica,3.367123614131617
1,2,aplicaciones,3.367123614131617
1,2,aplicación,2.6739764335716716
1,2,aplicada,2.8562979903656265
1,2,aplicando,2.6739764335716716
1,2,aplicando conocimientos,3.0794415416798357
1,2,aplicar,2.386294361119891
1,2,aprendizaje,2.268511325463507
1,2,artificial,2.386294361119891
1,2,asociados,3.0794415416798357
1,2,así,2.268511325463507
1,2,autoaprendizaje,3.0794415416798357
1,2,autogestión,3.367123614131617
1,2,autónoma,3.0794415416798357
1,2,año,2.8562979903656265
1,2,años,3.367123614131617
1,2,bajo,2.8562979903656265
1,2,basadas,3.367123614131617
1,2,base,2.386294361119891
1,2,bases,2.6739764335716716
1,2,bases datos,2.8562979903656265
1,2,bien,2.8562979903656265
1,2,bien común,3.0794415416798357
1,2,buenas,3.367123614131617
1,2,buenas prácticas,3.367123614131617
1,2,básicas,1.9808292530117262
1,2,básicas ciencias,2.6739764335716716
1,2,básicas ingeniería,2.8562979903656265
1,2,bío,3.367123614131617
1,2,búsqueda,3.367123614131617
1,2,calidad,2.163150809805681
1,2,calidad seguridad,3.367123614131617
1,2,cambio,3.0794415416798357
1,2,campo,2.8562979903656265
1,2,capaces,2.519825753744413
1,2,capacidad,1.6931471805599454
1,2,capacidades,2.8562979903656265
1,2,capacitado,2.6739764335716716
1,2,capaz,1.9808292530117262
1,2,carrera,1.5753641449035618
1,2,carrera universidad,2.386294361119891
1,2,ciberseguridad,3.367123614131617
1,2,ciencia,2.6739764335716716
1,2,ciencia datos,2.8562979903656265
1,2,ciencias,1.6325225587435104
1,2,ciencias básicas,1.9808292530117262
1,2,ciencias ingeniería,2.386294361119891
1,2,civil,2.6739764335716716
1,2,civil computación,2.8562979903656265
1,2,colaborativo,3.0794415416798357
1,2,competencias,1.9007865453381898
1,2,complejos,2.386294361119891
1,2,compromiso,2.0678406300013563
1,2,compromiso ético,3.0794415416798357
1,2,computacionales,2.268511325463507
1,2,computación,2.0678406300013563
1,2,computación informática,2.268511325463507
1,2,comunicaciones,2.386294361119891
1,2,comunicación,1.6931471805599454
1,2,comunicación efectiva,2.6739764335716716
1,2,común,2.8562979903656265
1,2,conocimiento,2.519825753744413
1,2,conocimientos,1.5753641449035618
1,2,considerando,2.268511325463507
1,2,constante,2.6739764335716716
1,2,consultor,2.8562979903656265
1,2,contexto,2.268511325463507
1,2,contextos,2.519825753744413
1,2,continua,2.8562979903656265
1,2,crítico,2.6739764335716716
1,2,cuenta,2.8562979903656265
1,2,cultura,3.0794415416798357
1,2,datos,1.5753641449035618
1,2,decisiones,2.0678406300013563
1,2,definidos,3.367123614131617
1,2,demostrando,3.0794415416798357
1,2,departamento,3.0794415416798357
1,2,desafíos,2.519825753744413
1,2,desarrolla,2.8562979903656265
1,2,desarrollar,1.826678573184468
1,2,desarrollar proyectos,3.0794415416798357
1,2,desarrollar soluciones,3.0794415416798357
1,2,desarrollo,1.5753641449035618
1,2,desarrollo sostenible,3.0794415416798357
1,2,desempeñarse,2.163150809805681
1,2,desempeño,2.519825753744413
1,2,destacan,3.0794415416798357
1,2,diferentes,3.367123614131617
1,2,digital,2.519825753744413
1,2,digitales,2.519825753744413
1,2,disciplina,3.0794415416798357
1,2,disciplinar,3.0794415416798357
1,2,disciplinares,3.0794415416798357
1,2,diseña,3.367123614131617
1,2,diseñar,1.9808292530117262
1,2,diseñar implementar,2.386294361119891
1,2,diseño,2.386294361119891
1,2,disposición,3.0794415416798357
1,2,distingue,3.0794415416798357
1,2,distintas,2.6739764335716716
1,2,distintos,2.8562979903656265
1,2,diversa,2.8562979903656265
1,2,diversa índole,3.0794415416798357
1,2,diversas,2.6739764335716716
1,2,diversas problemáticas,3.367123614131617
1,2,diversos,2.519825753744413
1,2,docente,3.367123614131617
1,2,duración,3.0794415416798357
1,2,educación,3.367123614131617
1,2,efectiva,2.268511325463507
1,2,eficiencia,2.6739764335716716
1,2,eficiente,2.8562979903656265
1,2,egresado,2.268511325463507
1,2,egreso,2.386294361119891
1,2,ejercicio,2.8562979903656265
1,2,ello,2.8562979903656265
1,2,emergentes,3.0794415416798357
1,2,emprendimiento,2.6739764335716716
1,2,emprendimientos,3.0794415416798357
1,2,empresarial,3.0794415416798357
1,2,empresariales,3.367123614131617
1,2,empresas,2.163150809805681
1,2,enfocado,3.367123614131617
1,2,enfoque,2.6739764335716716
1,2,equipo,2.519825753744413
1,2,equipos,1.5753641449035618
1,2,equipos multidisciplinarios,2.386294361119891
1,2,equipos trabajo,2.386294361119891
1,2,especialidad,2.8562979903656265
1,2,específicas,3.0794415416798357
1,2,estrategias,2.8562979903656265
1,2,estratégicas,2.8562979903656265
