Condicion,Fold,N_features,F1_macro,Accuracy,F1_Civil,F1_Ejecucion,F1_Informatica
Original,1,400,0.888888888888889,0.8461538461538461,0.8333333333333334,1.0,0.8333333333333334
Original,2,400,0.75,0.8333333333333334,1.0,0.5,0.75
Original,3,400,0.8777777777777779,0.8333333333333334,0.8333333333333334,1.0,0.8
Original,4,400,0.38888888888888884,0.5833333333333334,0.6666666666666666,0.0,0.5
Original,5,400,0.3611111111111111,0.5833333333333334,0.75,0.0,0.3333333333333333
Solo_titulos_enmascarados,1,400,0.6444444444444445,0.6923076923076923,0.6,0.5,0.8333333333333334
Solo_titulos_enmascarados,2,400,0.765993265993266,0.8333333333333334,0.9090909090909091,0.5,0.8888888888888888
Solo_titulos_enmascarados,3,400,0.4051282051282052,0.5833333333333334,0.6153846153846154,0.0,0.6
Solo_titulos_enmascarados,4,400,0.7380952380952381,0.6666666666666666,0.7142857142857143,1.0,0.5
Solo_titulos_enmascarados,5,400,0.31746031746031744,0.5,0.6666666666666666,0.0,0.2857142857142857
Enmascaramiento_agresivo,1,400,0.6444444444444445,0.6923076923076923,0.6,0.5,0.8333333333333334
Enmascaramiento_agresivo,2,400,0.7000000000000001,0.75,0.8,0.5,0.8
Enmascaramiento_agresivo,3,400,0.4051282051282052,0.5833333333333334,0.6153846153846154,0.0,0.6
Enmascaramiento_agresivo,4,400,0.25925925925925924,0.3333333333333333,0.3333333333333333,0.0,0.4444444444444444
Enmascaramiento_agresivo,5,400,0.31746031746031744,0.5,0.6666666666666666,0.0,0.2857142857142857
