Outer_Fold,Modelo,F1_inner_media,F1_inner_std,Scores_inner
1,LinearSVC_balanced_C=0.5,0.4830301764512291,0.08833265856821824,0.602778|0.453968|0.392344
1,ComplementNB_sinSMOTE_alpha=1.0,0.47458313291646625,0.09735201802237153,0.602778|0.453968|0.367003
1,ComplementNB_sinSMOTE_alpha=0.5,0.46248892433102956,0.09919919959708139,0.602778|0.392344|0.392344
1,LogisticRegression_balanced_C=5.0,0.45743841928052453,0.1029564275122943,0.602778|0.377193|0.392344
1,LinearSVC_balanced_C=1.0,0.45743841928052453,0.1029564275122943,0.602778|0.377193|0.392344
1,Ridge_balanced_alpha=0.5,0.44471787147225744,0.11386475517129453,0.602778|0.339031|0.392344
1,Ridge_balanced_alpha=1.0,0.44471787147225744,0.11386475517129453,0.602778|0.339031|0.392344
1,ComplementNB_sinSMOTE_alpha=0.1,0.4316140544468718,0.12680061702450415,0.602778|0.299720|0.392344
1,LogisticRegression_balanced_C=1.0,0.4312203228869895,0.12142229788002656,0.602778|0.339031|0.351852
1,ComplementNB_SMOTE_alpha=0.5,0.4232807211135385,0.11560517568215581,0.577778|0.299720|0.392344
1,ComplementNB_SMOTE_alpha=1.0,0.41875931659213395,0.12661083203130116,0.577778|0.267974|0.410526
1,LogisticRegression_balanced_C=0.5,0.41750600525110326,0.1315161901934621,0.602778|0.339031|0.310709
1,Ridge_balanced_alpha=2.0,0.41750600525110326,0.1315161901934621,0.602778|0.339031|0.310709
1,LinearSVC_balanced_C=0.1,0.40774380152717304,0.08255550642459263,0.515670|0.315217|0.392344
1,ComplementNB_SMOTE_alpha=0.1,0.4036339735256144,0.12350464602624912,0.560224|0.258333|0.392344
2,ComplementNB_sinSMOTE_alpha=0.1,0.488393834885063,0.19965751699758616,0.416667|0.287749|0.760766
2,LinearSVC_balanced_C=0.1,0.4298454631787965,0.06619856228925071,0.455556|0.339031|0.494949
2,ComplementNB_SMOTE_alpha=0.1,0.42708623410377794,0.21242022146051817,0.328042|0.230994|0.722222
2,ComplementNB_SMOTE_alpha=0.5,0.41444911297852477,0.1208368605360419,0.338936|0.319444|0.584967
2,LogisticRegression_balanced_C=0.5,0.405026455026455,0.04546417716857687,0.416667|0.344444|0.453968
2,LogisticRegression_balanced_C=1.0,0.405026455026455,0.04546417716857687,0.416667|0.344444|0.453968
2,LogisticRegression_balanced_C=5.0,0.405026455026455,0.04546417716857687,0.416667|0.344444|0.453968
2,Ridge_balanced_alpha=0.5,0.405026455026455,0.04546417716857687,0.416667|0.344444|0.453968
2,Ridge_balanced_alpha=1.0,0.405026455026455,0.04546417716857687,0.416667|0.344444|0.453968
2,Ridge_balanced_alpha=2.0,0.405026455026455,0.04546417716857687,0.416667|0.344444|0.453968
2,ComplementNB_sinSMOTE_alpha=0.5,0.3943362193362194,0.030514917496499927,0.416667|0.351190|0.415152
2,ComplementNB_sinSMOTE_alpha=1.0,0.39208754208754204,0.03369443560194839,0.416667|0.344444|0.415152
2,LinearSVC_balanced_C=0.5,0.39011826953003426,0.06571023587092509,0.416667|0.299720|0.453968
2,LinearSVC_balanced_C=1.0,0.39011826953003426,0.06571023587092509,0.416667|0.299720|0.453968
2,ComplementNB_SMOTE_alpha=1.0,0.3875500860794978,0.11134941142022486,0.298643|0.319444|0.544563
3,ComplementNB_sinSMOTE_alpha=0.5,0.5837223778400249,0.1773847734985221,0.695612|0.722222|0.333333
3,ComplementNB_SMOTE_alpha=0.1,0.5833333333333333,0.17714005990471285,0.694444|0.722222|0.333333
3,ComplementNB_sinSMOTE_alpha=0.1,0.5833333333333333,0.17714005990471285,0.694444|0.722222|0.333333
3,LogisticRegression_balanced_C=0.5,0.567849361967009,0.1685740936079495,0.647993|0.722222|0.333333
3,LogisticRegression_balanced_C=1.0,0.567849361967009,0.1685740936079495,0.647993|0.722222|0.333333
3,Ridge_balanced_alpha=2.0,0.567849361967009,0.1685740936079495,0.647993|0.722222|0.333333
3,ComplementNB_sinSMOTE_alpha=1.0,0.5646722272109269,0.1640557483050492,0.695612|0.665072|0.333333
3,Ridge_balanced_alpha=0.5,0.5572169059011164,0.18641653456705504,0.652778|0.722222|0.296651
3,LinearSVC_balanced_C=0.1,0.5556336309959499,0.14751001212456147,0.731313|0.565217|0.370370
3,Ridge_balanced_alpha=1.0,0.555621823423681,0.1856107701392671,0.647993|0.722222|0.296651
3,ComplementNB_SMOTE_alpha=0.5,0.5375816993464052,0.15118279541469587,0.694444|0.584967|0.333333
3,ComplementNB_SMOTE_alpha=1.0,0.5293945648434812,0.16227973891167882,0.694444|0.584967|0.308772
3,LogisticRegression_balanced_C=5.0,0.5164761651603756,0.156926296859495,0.652778|0.600000|0.296651
3,LinearSVC_balanced_C=0.5,0.5164761651603756,0.156926296859495,0.652778|0.600000|0.296651
3,LinearSVC_balanced_C=1.0,0.5164761651603756,0.156926296859495,0.652778|0.600000|0.296651
4,Ridge_balanced_alpha=0.5,0.7089791300317616,0.0855489058237702,0.588394|0.777778|0.760766
4,LogisticRegression_balanced_C=0.5,0.6943292574871521,0.1062118852642879,0.544444|0.777778|0.760766
4,LogisticRegression_balanced_C=1.0,0.6943292574871521,0.1062118852642879,0.544444|0.777778|0.760766
4,LogisticRegression_balanced_C=5.0,0.6943292574871521,0.1062118852642879,0.544444|0.777778|0.760766
4,LinearSVC_balanced_C=1.0,0.6943292574871521,0.1062118852642879,0.544444|0.777778|0.760766
4,Ridge_balanced_alpha=1.0,0.6943292574871521,0.1062118852642879,0.544444|0.777778|0.760766
4,Ridge_balanced_alpha=2.0,0.6943292574871521,0.1062118852642879,0.544444|0.777778|0.760766
4,ComplementNB_sinSMOTE_alpha=0.5,0.6929885502640921,0.10517033562414617,0.544444|0.773756|0.760766
4,ComplementNB_sinSMOTE_alpha=1.0,0.6929885502640921,0.10517033562414617,0.544444|0.773756|0.760766
4,ComplementNB_sinSMOTE_alpha=0.1,0.691926649202191,0.13470800642571906,0.502024|0.773756|0.800000
