fold_externo,modelo,n_train,n_test,n_features,smote_k,F1_macro,accuracy,balanced_accuracy
1,Original_sin_GWO,46,17,400,2,0.47338935574229696,0.6470588235294118,0.48809523809523814
2,Original_sin_GWO,47,16,400,2,0.5604288499025342,0.625,0.7202380952380952
3,Original_sin_GWO,48,15,400,2,0.9027777777777778,0.8666666666666667,0.9027777777777778
4,Original_sin_GWO,48,15,400,2,0.3055555555555555,0.5333333333333333,0.34722222222222227
1,Enmascarado_sin_GWO,46,17,400,2,0.39999999999999997,0.5294117647058824,0.4047619047619048
1,Enmascarado_GWO_anidado,46,17,274,2,0.38888888888888884,0.5294117647058824,0.4047619047619048
2,Enmascarado_sin_GWO,47,16,400,2,0.5253411306042884,0.5625,0.6785714285714285
2,Enmascarado_GWO_anidado,47,16,273,2,0.5253411306042884,0.5625,0.6785714285714285
3,Enmascarado_sin_GWO,48,15,400,2,0.548076923076923,0.8,0.5694444444444445
3,Enmascarado_GWO_anidado,48,15,321,2,0.548076923076923,0.8,0.5694444444444445
4,Enmascarado_sin_GWO,48,15,400,2,0.2740740740740741,0.4666666666666667,0.3055555555555555
4,Enmascarado_GWO_anidado,48,15,324,2,0.21212121212121213,0.4666666666666667,0.2916666666666667
