fold_externo,fold_interno,rol,fila_datos,grupo_cv,grado
1,0,train,1,grupo_001,Ejecución
1,0,train,2,grupo_002,Civil
1,0,train,4,grupo_004,Civil
1,0,train,5,grupo_005,Civil
1,0,train,6,grupo_006,Civil
1,0,train,7,grupo_007,Civil
1,0,train,8,grupo_008,Civil
1,0,train,10,grupo_010,Civil
1,0,train,11,grupo_011,Ejecución
1,0,train,12,grupo_012,Informática
1,0,train,13,grupo_013,Civil
1,0,train,14,grupo_014,Civil
1,0,train,15,grupo_015,Informática
1,0,train,16,grupo_016,Civil
1,0,train,17,grupo_017,Informática
1,0,train,20,grupo_020,Informática
1,0,train,21,grupo_021,Civil
1,0,train,22,grupo_022,Informática
1,0,train,23,grupo_023,Civil
1,0,train,25,grupo_025,Informática
1,0,train,26,grupo_026,Informática
1,0,train,27,grupo_027,Civil
1,0,train,28,grupo_028,Civil
1,0,train,31,grupo_031,Informática
1,0,train,32,grupo_032,Informática
1,0,train,35,grupo_035,Civil
1,0,train,37,grupo_037,Informática
1,0,train,39,grupo_039,Civil
1,0,train,40,grupo_040,Informática
1,0,train,41,grupo_041,Civil
1,0,train,42,grupo_042,Civil
1,0,train,43,grupo_043,Civil
1,0,train,44,grupo_044,Civil
1,0,train,45,grupo_045,Civil
1,0,train,47,grupo_047,Civil
1,0,train,48,grupo_048,Informática
1,0,train,52,grupo_052,Informática
1,0,train,53,grupo_053,Informática
1,0,train,54,grupo_054,Informática
1,0,train,55,grupo_055,Ejecución
1,0,train,57,grupo_056,Informática
1,0,train,58,grupo_057,Civil
1,0,train,59,grupo_058,Informática
1,0,train,61,grupo_060,Informática
1,0,train,62,grupo_061,Informática
1,0,train,63,grupo_062,Civil
1,0,test,3,grupo_003,Informática
1,0,test,9,grupo_009,Informática
1,0,test,18,grupo_018,Civil
1,0,test,19,grupo_019,Civil
1,0,test,24,grupo_024,Civil
1,0,test,29,grupo_029,Ejecución
1,0,test,30,grupo_030,Civil
1,0,test,33,grupo_033,Civil
1,0,test,34,grupo_034,Informática
1,0,test,36,grupo_036,Informática
1,0,test,38,grupo_038,Civil
1,0,test,46,grupo_046,Civil
1,0,test,49,grupo_049,Informática
1,0,test,50,grupo_050,Informática
1,0,test,51,grupo_051,Informática
1,0,test,56,grupo_029,Ejecución
1,0,test,60,grupo_059,Civil
1,1,train,1,grupo_001,Ejecución
1,1,train,2,grupo_002,Civil
1,1,train,5,grupo_005,Civil
1,1,train,6,grupo_006,Civil
1,1,train,11,grupo_011,Ejecución
1,1,train,12,grupo_012,Informática
1,1,train,13,grupo_013,Civil
1,1,train,14,grupo_014,Civil
1,1,train,16,grupo_016,Civil
1,1,train,17,grupo_017,Informática
1,1,train,22,grupo_022,Informática
1,1,train,23,grupo_023,Civil
1,1,train,27,grupo_027,Civil
1,1,train,28,grupo_028,Civil
1,1,train,31,grupo_031,Informática
1,1,train,32,grupo_032,Informática
1,1,train,35,grupo_035,Civil
1,1,train,37,grupo_037,Informática
1,1,train,42,grupo_042,Civil
1,1,train,44,grupo_044,Civil
1,1,train,45,grupo_045,Civil
1,1,train,47,grupo_047,Civil
1,1,train,48,grupo_048,Informática
1,1,train,53,grupo_053,Informática
1,1,train,54,grupo_054,Informática
1,1,train,57,grupo_056,Informática
1,1,train,58,grupo_057,Civil
1,1,train,59,grupo_058,Informática
1,1,train,62,grupo_061,Informática
1,1,train,63,grupo_062,Civil
1,1,validacion,4,grupo_004,Civil
1,1,validacion,7,grupo_007,Civil
1,1,validacion,8,grupo_008,Civil
1,1,validacion,10,grupo_010,Civil
1,1,validacion,15,grupo_015,Informática
1,1,validacion,20,grupo_020,Informática
1,1,validacion,21,grupo_021,Civil
1,1,validacion,25,grupo_025,Informática
1,1,validacion,26,grupo_026,Informática
1,1,validacion,39,grupo_039,Civil
1,1,validacion,40,grupo_040,Informática
1,1,validacion,41,grupo_041,Civil
1,1,validacion,43,grupo_043,Civil
1,1,validacion,52,grupo_052,Informática
1,1,validacion,55,grupo_055,Ejecución
1,1,validacion,61,grupo_060,Informática
1,2,train,4,grupo_004,Civil
1,2,train,6,grupo_006,Civil
1,2,train,7,grupo_007,Civil
1,2,train,8,grupo_008,Civil
1,2,train,10,grupo_010,Civil
1,2,train,11,grupo_011,Ejecución
1,2,train,12,grupo_012,Informática
1,2,train,15,grupo_015,Informática
1,2,train,16,grupo_016,Civil
1,2,train,20,grupo_020,Informática
1,2,train,21,grupo_021,Civil
1,2,train,25,grupo_025,Informática
1,2,train,26,grupo_026,Informática
1,2,train,31,grupo_031,Informática
1,2,train,35,grupo_035,Civil
1,2,train,37,grupo_037,Informática
1,2,train,39,grupo_039,Civil
1,2,train,40,grupo_040,Informática
1,2,train,41,grupo_041,Civil
1,2,train,43,grupo_043,Civil
1,2,train,44,grupo_044,Civil
1,2,train,45,grupo_045,Civil
1,2,train,47,grupo_047,Civil
1,2,train,48,grupo_048,Informática
1,2,train,52,grupo_052,Informática
1,2,train,54,grupo_054,Informática
1,2,train,55,grupo_055,Ejecución
1,2,train,58,grupo_057,Civil
1,2,train,61,grupo_060,Informática
