Fold,Feature
1,000
1,10
1,2026
1,académico
1,actualización
1,acuerdo
1,adaptarse
1,además
1,admisión
1,analizar
1,analítica
1,análisis
1,aplica
1,aplicaciones
1,aplicación
1,aplicando
1,aplicar
1,aprendizaje
1,artificial
1,así
1,autónoma
1,año
1,bajo
1,bases
1,bases datos
1,bien
1,bien común
1,básicas
1,básicas ingeniería
1,calidad
1,campo
1,campus
1,capaces
1,capacidad
1,capacidad trabajar
1,capaz
1,capaz concebir
1,carrera
1,carrera computación
1,carrera universidad
1,católica
1,ciberseguridad
1,ciclo
1,ciclo vida
1,ciencia
1,ciencia datos
1,ciencias
1,ciencias básicas
1,ciencias computación
1,ciencias ingeniería
1,colaborativa
1,competencias
1,complejos
1,compromiso
1,computacionales
1,computación
1,computación universidad
1,comunicaciones
1,comunicación
1,comunicación efectiva
1,comunicarse
1,común
1,concebir
1,concebir diseñar
1,conocimiento
1,contextos
1,continua
1,contribuir
1,creación
1,crear
1,criterios
1,crítica
1,crítico
1,cualquier
1,cuenta
1,desafíos
1,desarrolla
1,desarrollar
1,desarrollo
1,desarrollo software
1,desarrollo sostenible
1,desempeñarse
1,desempeño
1,diferentes
1,digital
1,digitales
1,diseñar
1,diseñar desarrollar
1,diseño
1,distintas
1,diversa
1,diversas
1,diversos
1,docente
1,doctor
1,educación
1,eficiencia
1,eficientes
1,egresado
1,ello
1,emergentes
1,emprendimientos
1,empresarial
1,empresas
1,enfoque
1,entorno
1,entornos
1,equipos
1,equipos multidisciplinarios
1,equipos trabajo
1,escrita
1,escuela
1,especialización
1,estratégicas
1,estudios
1,está
1,estándares
1,evaluación
1,evaluar
1,evaluar gestionar
1,evolución
1,extraer
1,federico santa
1,forma
1,formación
1,formación ciencias
1,generación
1,generar
1,gestiona
1,gestionar
1,gestionar proyectos
1,gestión
1,gestión proyectos
1,gestión tecnologías
1,habilidades
1,identidad
1,idioma inglés
1,impacto
1,impacto acciones
1,implementación
1,implementar
1,implementar sistemas
1,in
1,industria
1,industrial
1,información
1,información comunicaciones
1,información comunicación
1,información organizaciones
1,ingeniero
1,ingeniero computación
1,ingeniero universidad
1,ingeniería aplicada
1,ingeniería ciencias
1,ingeniería software
1,ingeniería universidad
1,inglés
1,iniciativas
1,innovación
1,innovadoras
1,institucional
1,instituciones
1,instituto
1,integración
1,integral
1,inteligencia
1,inteligencia artificial
1,interdisciplinarios
1,internacionales
1,investigación
1,jefe
1,junto
1,liderar
1,manager
1,manera
1,manera efectiva
1,marcos
1,maría
1,mediante
1,medio
1,mejora
1,mención
1,metodologías
1,modelos
1,multidisciplinarios
1,mundo
1,necesidades
1,negocios
1,nivel
1,objetivos
1,operación
1,organizacionales
1,organizaciones
1,organizaciones públicas
1,organización
1,país
1,pensamiento
1,perfil
1,perfil egreso
1,permanente
1,permitan
1,persona
1,personas
1,perspectiva
1,pertinentes
1,phd
1,plan
1,podrá
1,posee
1,primer
1,principios éticos
1,privadas
1,privado
1,problemas
1,problemas complejos
1,proceso
1,procesos
1,productos
1,profesional
1,profesional integral
1,profesionales
1,profesionales capaces
1,profesión
1,programa
1,programación
1,promoción
1,propios
1,proyectos
1,proyectos considerando
1,proyectos tecnologías
1,prácticas
1,públicas
1,públicas privadas
1,público
1,quehacer
1,quehacer profesional
1,realizar
1,reconoce
1,recursos
1,región
1,relacionados
1,requerimientos
1,resolver problemas
1,respetando
1,respeto
1,responsabilidad
1,responsabilidad social
1,responsable
1,riesgos
1,rol
1,santa maría
1,santiago
1,sector
1,según
1,servicio
1,servicios
1,siendo
1,sistemas información
1,sistemas redes
1,social
1,social económico
1,sociedad
1,software
1,soluciones
1,soluciones eficientes
1,soluciones tecnológicas
1,sostenibilidad
1,sostenible
1,sólidos
1,tecnología
1,tecnologías información
1,tecnológica
1,tecnológico
1,tecnológicos
1,telecomunicaciones
1,tic
1,titulado
1,toma
1,toma decisiones
1,trabajar
1,trabajo
1,trabajo equipo
1,transformación
1,través
1,técnica
1,técnica federico
1,técnicas
1,universidad
1,universidad católica
1,universidad frontera
1,universidad mayor
1,universidad santiago
1,uso
1,utiliza
1,utilizando
1,valparaíso
1,vanguardia
1,ver
1,vida
1,visión
1,ámbito
1,ámbitos
1,área
1,áreas
1,énfasis
1,ética
1,ético
1,éticos
2,000
2,10
2,2026
2,acciones
2,acreditación
2,adaptarse
2,administración
2,admisión
2,ambientes
2,analista
2,analizar
2,analítica
2,análisis
2,aplica
2,aplicaciones
2,aplicación
2,aplicando
2,aplicar
2,apoyar
2,aprendizaje
2,artificial
2,as
2,asociados
2,así
2,año
2,basadas
2,base
2,bases
2,bases datos
2,buenas
2,buenas prácticas
2,campo
2,capacidad trabajar
2,capacitado
2,capaz
2,carrera
2,católica
2,chile
2,ciberseguridad
2,ciencia
2,ciencia datos
2,ciencias
2,ciencias básicas
2,ciencias ingeniería
2,colaborativamente
2,competencias
2,complejos
2,compromiso
2,computación
2,computación universidad
2,comunicaciones
2,comunicación
2,comunicación efectiva
2,comunicarse
2,común
2,conocimiento
2,conocimientos
2,considerando
2,constante
2,construir
2,consultor
2,contexto
2,contextos
2,continua
2,contribuyendo
2,creación
2,crear
2,cristiana
2,crítica
2,cualquier
