Fold,Condicion,N_test,N_features,F1_macro,Accuracy,F1_civil,F1_ejecucion,F1_informatica,Fitness_inner,Tiempo_GWO_seg
1,Original_sin_GWO,13,400,0.888888888888889,0.8461538461538461,0.8333333333333334,1.0,0.8333333333333334,,
1,Enmascarado_sin_GWO,13,400,0.6444444444444445,0.6923076923076923,0.6,0.5,0.8333333333333334,,
1,Enmascarado_GWO_anidado,13,308,0.4730769230769231,0.5384615384615384,0.25,0.4,0.7692307692307693,0.7249799583132917,66.82593369483948
2,Original_sin_GWO,12,400,0.75,0.8333333333333334,1.0,0.5,0.75,,
2,Enmascarado_sin_GWO,12,400,0.7000000000000001,0.75,0.8,0.5,0.8,,
2,Enmascarado_GWO_anidado,12,306,0.7313131313131315,0.75,0.7272727272727273,0.6666666666666666,0.8,0.6453703703703705,61.84215450286865
3,Original_sin_GWO,12,400,0.8777777777777779,0.8333333333333334,0.8333333333333334,1.0,0.8,,
3,Enmascarado_sin_GWO,12,400,0.4051282051282052,0.5833333333333334,0.6153846153846154,0.0,0.6,,
3,Enmascarado_GWO_anidado,12,274,0.35327635327635326,0.5,0.6153846153846154,0.0,0.4444444444444444,0.6645424836601307,61.294273853302
4,Original_sin_GWO,12,400,0.38888888888888884,0.5833333333333334,0.6666666666666666,0.0,0.5,,
4,Enmascarado_sin_GWO,12,400,0.25925925925925924,0.3333333333333333,0.3333333333333333,0.0,0.4444444444444444,,
4,Enmascarado_GWO_anidado,12,289,0.2871794871794872,0.4166666666666667,0.46153846153846156,0.0,0.4,0.7705393534340903,61.033937215805054
5,Original_sin_GWO,12,400,0.3611111111111111,0.5833333333333334,0.75,0.0,0.3333333333333333,,
5,Enmascarado_sin_GWO,12,400,0.4047619047619048,0.5833333333333334,0.7142857142857143,0.0,0.5,,
5,Enmascarado_GWO_anidado,12,317,0.31746031746031744,0.5,0.6666666666666666,0.0,0.2857142857142857,0.6992494433670903,57.38906383514404
