fila_datos,grado,PCA_1,PCA_2,LDA_1,LDA_2,indice_fuente,universidad,carrera,url
1,Ejecución,-0.189842178747479,-0.16578543111198818,-0.994347215357863,-4.626854541987589,1,Universidad de Santiago de Chile,Ingeniería de Ejecución en Computación e Informática,https://admision.usach.cl/carreras/ingenieria-de-ejecucion-en-computacion-e-informatica
2,Civil,-0.08944232798923615,0.20902205746113792,-2.7467892468949873,1.913637394612076,2,Universidad de Santiago de Chile,Ingeniería Civil en Informática,https://admision.usach.cl/carreras/ingenieria-civil-en-informatica-plan-comun
3,Informática,-0.2742099649989302,-0.23550878358426436,1.0728077622485928,-0.39320650749833236,3,Universidad de Valparaíso,Ingeniería en Informática,https://admision.uv.cl/carreras/ingenieria-en-informatica
4,Civil,-0.29612663664086053,-0.18471986741822582,-0.07599314920631561,0.38151349259381456,4,Universidad de Valparaíso,Ingeniería Civil en Informática,https://admision.uv.cl/carreras/ingenieria-civil-informatica
5,Civil,-0.0307498422455668,0.6446322801647877,-0.8122496526022734,0.3914403644998169,5,Universidad de Chile,Ingeniería Civil en Computación,https://admisionuchile.cl/career/ingenieria-civil-en-computacion/
6,Civil,0.02944692232596872,0.03173061531612252,-1.6140876519997036,1.8143295620938242,6,Universidad de Atacama,Ingeniería Civil en Computación e Informática,https://admision.uda.cl/index.php/ingenieria-civil-en-computacion-e-informatica/
7,Civil,-0.004657011039278012,-0.12495005150498126,-1.4051772450125148,0.5070662880036263,7,Universidad de la Serena,Ingeniería Civil en Computación e Informática,https://admision.userena.cl/carreras/ingenieria-civil-en-computacion-e-informatica
8,Civil,-0.16577166950053351,0.09684641791074004,-2.0740297686730633,0.5837175579515838,8,Universidad de Talca,Ingeniería Civil en Computación,https://admision.utalca.cl/carreras/ingenieria-civil-en-computacion/
9,Informática,-0.06795910167402956,0.5960095307337683,2.088131587425239,0.7131915337181649,9,Universidad de Talca,Ingeniería en Informática Empresarial,https://admision.utalca.cl/carreras/ingenieria-en-informatica-empresarial/
10,Civil,-0.15256379580264504,0.01511435723563202,-2.4220077408595437,-1.682507739986293,10,Universidad del Biobío,Ingeniería Civil en Informática,https://ubiobio.cl/admision/Todas_las_Carreras/17/Ingenieria_Civil_en_Informatica_Concepcion/
11,Ejecución,-0.18847687019737425,-0.03321704183583703,-1.1196632064320342,-0.17172950050119917,11,Universidad del Biobío,Ingenieria de Ejecución en Computación e Informática,https://ubiobio.cl/admision/Ciencias_Empresariales/21/Ingenieria_de_Ejecucion_en_Computacion_e_Informatica/
12,Informática,-0.2430329870806268,0.012102358984123974,2.326464954593309,0.010018203053930419,12,Universidad de la Frontera,Ingenieria Informática,https://admision.ufro.cl/ingenieria-informatica/
13,Civil,-0.03752370598191473,0.10001026794607819,-1.964154659298571,1.140741627003128,13,Universidad de la Frontera,Ingenieria Civil Informatica,https://admision.ufro.cl/ingenieria-civil-informatica/
14,Civil,-0.24283152328389374,-0.123613200804301,-2.4689227573592056,1.274082151506098,14,Universidad de los Lagos,Ingenieria Civil en Informatica,https://admision.ulagos.cl/Carreras/ingenieria-civil-en-informatica/
15,Informática,-0.19928308813819742,0.06602609553233986,2.5191126027018553,0.14233012708303378,15,Universidad de Magallanes,Ingenieria en Computacion e Informatica,https://admision.umag.cl/?page_id=35
